500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS89 	00:13:11,00 --> 00:13:16,50 	he's drawing a city skyline in pencil.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS214 	00:37:57,00 --> 00:38:02,50 	he draws on the inside of her wrist.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS545 	01:30:30,00 --> 01:30:35,50 	the sun shines on the line drawing city.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS310 	00:56:20,00 --> 00:56:25,50 	later someone draws on a chalk board as someone watches.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS316 	00:57:20,00 --> 00:57:25,50 	someone draws a slash through the stickman.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS305 	00:44:17,00 --> 00:44:21,50 	he draws a dagger.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS383 	00:53:49,00 --> 00:53:54,50 	someone draws his ax.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS95 	00:13:53,00 --> 00:13:58,50 	someone draws his gun.
BLINDDATING.srt 	BLINDDATING_DVS115 	00:31:22,00 --> 00:31:28,50 	someone draws a breath.
BLINDDATING.srt 	BLINDDATING_DVS150 	00:40:19,00 --> 00:40:29,50 	slowing her pace as she draws near.
BURLESQUE.srt 	BURLESQUE_DVS113 	00:15:13,00 --> 00:15:24,50 	now in black hot pants, the young hopeful collects a spent glass and draws a smile from someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS318 	01:00:13,00 --> 01:00:24,50 	hiding amid large mechanical parts, someone draws a pistol as he creeps around the factory's main floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1018 	01:39:00,00 --> 01:39:04,50 	someone draws a sharp breath.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS299 	01:11:59,00 --> 01:12:09,50 	as someone draws on his cigar, the tips glows bright orange.
COLOMBIANA.srt 	COLOMBIANA_DVS435 	00:38:24,00 --> 00:38:32,50 	someone's dead body bears an orchid design drawn on his chest underneath the word traitor.
COLOMBIANA.srt 	COLOMBIANA_DVS691 	01:05:15,00 --> 01:05:22,50 	then draws it into her arms and clutches it against her chest.
COLOMBIANA.srt 	COLOMBIANA_DVS881 	01:23:34,00 --> 01:23:40,50 	drawing a handgun, she proceeds through the foyer.
DEAR_JOHN.srt 	DEAR_JOHN_DVS362 	00:56:53,00 --> 00:57:05,50 	his pace slows as he draws closer.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS406 	01:41:07,00 --> 01:41:12,50 	he draws his sword.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS248 	01:07:41,00 --> 01:07:50,50 	cradling his head in her hand, she draws his mouth to hers again.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS259 	01:08:56,00 --> 01:09:04,50 	he draws her into a kiss and their interlocked hands drift off the mattress.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS261 	00:41:12,00 --> 00:41:28,50 	someone draws a gun.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS412 	01:00:06,00 --> 01:00:11,50 	our view draws near the side of his face.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS552 	01:18:38,00 --> 01:18:56,50 	the surrounding acolytes recoil as he draws near, his face a swirl of flames.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS578 	01:23:55,00 --> 01:24:07,50 	as he draws closer, he slings his glowing chain forward.
GREEN_ZONE.srt 	GREEN_ZONE_DVS466 	01:41:52,00 --> 01:41:57,50 	someone bridles then draws himself up.
