21_JUMP_STREET.srt 	21_JUMP_STREET_DVS346 	00:57:27,00 --> 00:57:47,50 	too revealing?"
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS654 	01:38:33,00 --> 01:38:41,50 	shoulder bleeding, someone reveals the other shot mashed into his bullet proof vest.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS709 	01:44:35,00 --> 01:44:41,50 	the front of a sweatshirt unzips revealing glittering skin underneath.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS112 	00:28:03,00 --> 00:28:08,50 	someone unzips his jacket to reveal the vest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS190 	00:49:41,00 --> 00:49:45,50 	he reveals his vest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS239 	00:57:24,00 --> 00:57:28,50 	he reveals his vest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS273 	01:04:33,00 --> 01:04:39,50 	the door swings open to reveal someone and someone in their ape masks.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS72 	00:39:10,00 --> 00:39:17,50 	in a window, the salesgirl bends over revealing her thong.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS160 	01:21:24,00 --> 01:21:30,50 	now, outside her house, she she removes her hands on his eyes to reveal a new mountain bike.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS77 	00:05:09,00 --> 00:05:15,50 	the target glides forward to reveal someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS441 	00:42:35,00 --> 00:42:41,50 	our view sharpens to reveal someone's brunette companion.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS662 	01:07:51,00 --> 01:08:05,50 	they shine flashlights into the large hidden chamber, revealing dozens of aluminum cases stacked throughout.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS184 	00:25:04,00 --> 00:25:17,50 	the dust clears revealing stibble's distorted, monstrous features.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS261 	00:38:13,00 --> 00:38:20,50 	the carriage rides off revealing someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	the steam dissipates to reveal someone clutching the ax handle.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS98 	00:14:21,00 --> 00:14:27,50 	someone rips open someone's shirt, revealing his mic.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS145 	00:22:32,00 --> 00:22:37,50 	she reveals a bald patch.
BLINDDATING.srt 	BLINDDATING_DVS303 	01:14:42,00 --> 01:15:00,50 	more flashes reveal dr.
BRUNO.srt 	BRUNO_DVS104 	00:23:11,00 --> 00:23:16,50 	someone removes his jacket, revealing a tight shirt with cut-off sleeves.
BRUNO.srt 	BRUNO_DVS252 	01:07:57,00 --> 01:08:02,50 	strips them off, revealing smaller briefs underneath.
BURLESQUE.srt 	BURLESQUE_DVS446 	01:01:08,00 --> 01:01:13,50 	they part the fans, revealing her naked form.
BURLESQUE.srt 	BURLESQUE_DVS535 	01:14:13,00 --> 01:14:20,50 	coat, revealing a black sparkling top with a matching cardigan and pants.
