30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS230 	00:54:44,00 --> 00:54:51,50 	now the mustang speeds over railroad tracks back at taco boy.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS308 	01:10:28,00 --> 01:10:34,50 	the van speeds down an industrial road at dusk.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS268 	00:23:13,00 --> 00:23:22,50 	a hundred yards ahead, the armored truck speeds down the street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS286 	00:24:41,00 --> 00:24:45,50 	he speeds in to traffic.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS289 	00:53:27,00 --> 00:53:36,50 	someone speeds off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS119 	00:16:25,00 --> 00:16:35,50 	the vehicle breaks the gate and speeds off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS534 	01:23:23,00 --> 01:23:28,50 	on the road, the car speeds toward a box truck.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS376 	01:07:52,00 --> 01:07:58,50 	someone speeds out of the facility in the car as more explosions tear through the compound.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS461 	01:22:43,00 --> 01:22:52,50 	they glide over the train as it speeds beneath them along the snow-covered track.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS511 	01:31:54,00 --> 01:32:01,50 	in a forest, someone kick-starts an armored motorcycle and speeds along a dirt road.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS597 	01:42:07,00 --> 01:42:13,50 	he speeds toward the open bay door and crashes into the plane's hold.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS403 	00:37:52,00 --> 00:37:58,50 	now, someone's van speeds along the coastal highway.
CHRONICLE.srt 	CHRONICLE_DVS454 	01:06:44,00 --> 01:06:52,50 	now, as someone drives amongst speeding emergency vehicles, a police car cuts him off.
