21_JUMP_STREET.srt 	21_JUMP_STREET_DVS419 	01:10:56,00 --> 01:11:03,50 	the car peels out dropping the biker and knocking over the motorcycles.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS474 	01:17:37,00 --> 01:17:43,50 	the stagehands drop them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS642 	01:37:01,00 --> 01:37:15,50 	spiraling, the bottle drops through someone's sunroof.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS191 	00:49:47,00 --> 00:49:52,50 	the officer drops his gun and flees.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS297 	01:07:24,00 --> 01:07:30,50 	someone barges into someone's bedroom and drops the bloody towel.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS317 	01:11:11,00 --> 01:11:15,50 	someone drops the bag.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS111 	00:22:33,00 --> 00:22:38,50 	he drops the mic and drunkenly downs another shot.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS139 	00:26:57,00 --> 00:27:02,50 	someone drops his head in embarrassment.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS380 	00:34:59,00 --> 00:35:11,50 	the intruders drop under the gunfire, but more stream in behind them.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS399 	00:36:32,00 --> 00:36:37,50 	someone drops it on the ground and stomps on it repeatedly, smashing it to pieces.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS156 	00:30:34,00 --> 00:30:39,50 	someone points at the doctor, then drops his hand.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS220 	00:43:09,00 --> 00:43:13,50 	two leaves drop off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS243 	00:47:06,00 --> 00:47:13,50 	her mouth drops open as she peers inside.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS401 	01:10:12,00 --> 01:10:18,50 	someone steps to the base of the tree and drops to his knees.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS425 	01:13:39,00 --> 01:13:44,50 	another leaf drops to the ground.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS432 	01:14:18,00 --> 01:14:23,50 	another leaf drops to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS210 	00:29:18,00 --> 00:29:25,50 	now at the store, someone drops a letter before him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS309 	00:44:42,00 --> 00:45:03,50 	he drops his dagger, catches it with his free hand, then slashes and leg sweeps his foe.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS390 	00:54:38,00 --> 00:55:09,50 	swinging at a third, someone drops his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS465 	01:06:08,00 --> 01:06:15,50 	the toy sword drops to the carpet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS514 	01:12:25,00 --> 01:12:36,50 	they drop their rifles.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS661 	01:33:14,00 --> 01:33:24,50 	as the vampire charges, someone drops the chain down the barrel of her gun.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS458 	01:12:24,00 --> 01:12:29,50 	with a cringe, someone drops a hand to the mat.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS650 	01:39:40,00 --> 01:39:47,50 	as they drop both russians, someone returns and shoots the ceiling.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS653 	01:39:56,00 --> 01:40:03,50 	someone convulses, then drops to the floor, revealing someone behind him.
BLINDDATING.srt 	BLINDDATING_DVS11 	00:03:51,00 --> 00:03:58,50 	she drops her skirt by her feet revealing someone thigh highs.
BRUNO.srt 	BRUNO_DVS216 	01:00:13,00 --> 01:00:20,50 	blinking uncomfortably, someone puffs a cigarette and drops his gaze.
BURLESQUE.srt 	BURLESQUE_DVS174 	00:25:10,00 --> 00:25:20,50 	she enters her ransacked studio apartment, then drops her purse and hurries into the bathroom.
BURLESQUE.srt 	BURLESQUE_DVS268 	00:37:50,00 --> 00:37:57,50 	someone drops her bag back on the floor and plops into her chair at the dressing table.
BURLESQUE.srt 	BURLESQUE_DVS534 	01:14:11,00 --> 01:14:16,50 	she drops the costumes, then removes her
BURLESQUE.srt 	BURLESQUE_DVS674 	01:44:57,00 --> 01:45:02,50 	smiling, she drops an envelope in front of him.
BURLESQUE.srt 	BURLESQUE_DVS712 	01:48:07,00 --> 01:48:13,50 	someone slaps her hands away, her jaw dropping in exasperation.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS331 	01:02:18,00 --> 01:02:24,50 	out in the yard, someone, an african-american gi, drops beside dugan inside the armored vehicle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS481 	01:24:49,00 --> 01:24:59,50 	someone drops the shield as he flies backward out of the train.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS586 	01:41:04,00 --> 01:41:11,50 	the bomb drops out of the plane with someone and the other trooper clinging to its canopy.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS626 	01:45:12,00 --> 01:45:19,50 	the cube drops onto the floor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS47 	00:03:21,00 --> 00:03:27,50 	as a 15-foot wave begins to crest, he drops down through the face of it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS150 	00:12:04,00 --> 00:12:11,50 	someone, on his bright yellow long board, drops into a gentle five-foot curl.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS420 	00:39:32,00 --> 00:39:39,50 	now, the young surfer stumbles onto the sand, drops his board, and collapses.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS444 	00:42:59,00 --> 00:43:05,50 	blond drops his pants and front flips off the roof.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS532 	00:51:33,00 --> 00:51:38,50 	as he drops an essay in the mailbox, someone's wife emerges from the garage.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS993 	01:37:11,00 --> 01:37:19,50 	as the water swells, one of the surfers drops down the face of a glossy 25-foot wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1069 	01:42:19,00 --> 01:42:24,50 	someone sighs, dropping his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1106 	01:46:08,00 --> 01:46:12,50 	someone's face drops.
CHRONICLE.srt 	CHRONICLE_DVS113 	00:15:48,00 --> 00:15:53,50 	the ball drops as it touches his nose.
CHRONICLE.srt 	CHRONICLE_DVS295 	00:44:39,00 --> 00:44:45,50 	the ball drops and rolls along the rope after him.
CHRONICLE.srt 	CHRONICLE_DVS304 	00:46:04,00 --> 00:46:11,50 	our view drops onto a coffee table and records someone and someone on a couch.
CHRONICLE.srt 	CHRONICLE_DVS457 	01:07:16,00 --> 01:07:20,50 	he drops him.
CHRONICLE.srt 	CHRONICLE_DVS500 	01:11:41,00 --> 01:11:51,50 	sparks fly as he drops onto a parked car and rolls to the street.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS32 	00:07:39,00 --> 00:07:46,50 	he removes a wristwatch, then drops a stack of cash across an open jewelry box.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS177 	00:38:18,00 --> 00:38:22,50 	he drops change on the table.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	another gentleman drops in a few bills.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS333 	01:23:47,00 --> 01:24:20,50 	someone drops some coins on the form and slides it all to the clerk.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS462 	01:48:13,00 --> 01:48:19,50 	in the locker room, someone drops some cash on his bag.
COLOMBIANA.srt 	COLOMBIANA_DVS139 	00:12:49,00 --> 00:12:56,50 	racing into a bathroom, she slides open a window, pulls herself out and drops onto a ledge.
COLOMBIANA.srt 	COLOMBIANA_DVS144 	00:13:13,00 --> 00:13:18,50 	she drops onto the roof of a parked car.
COLOMBIANA.srt 	COLOMBIANA_DVS275 	00:22:55,00 --> 00:23:02,50 	as he drops to his knees and embraces her, she allows herself to cry.
COLOMBIANA.srt 	COLOMBIANA_DVS478 	00:42:20,00 --> 00:42:25,50 	she drops it on the pavement.
COLOMBIANA.srt 	COLOMBIANA_DVS524 	00:47:23,00 --> 00:47:31,50 	scanning the feeds, she plucks out some more noodles, tilts her head back, then drops some into her mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS798 	01:17:13,00 --> 01:17:17,50 	she drops it in a glass of water.
COLOMBIANA.srt 	COLOMBIANA_DVS809 	01:18:39,00 --> 01:18:44,50 	she drops her cell and rummages through a drawer.
COLOMBIANA.srt 	COLOMBIANA_DVS894 	01:24:28,00 --> 01:24:32,50 	the gun drops from her hand.
COLOMBIANA.srt 	COLOMBIANA_DVS1075 	01:41:04,00 --> 01:41:12,50 	warm sunlight washes over her face as she drops to her knees in the grass under a towering tree.
DEAR_JOHN.srt 	DEAR_JOHN_DVS60 	00:07:55,00 --> 00:08:02,50 	someone drops his gaze, and someone studies him with a warm smile.
DEAR_JOHN.srt 	DEAR_JOHN_DVS434 	01:04:33,00 --> 01:04:47,50 	someone drops some letters on top of others in a metal box.
DEAR_JOHN.srt 	DEAR_JOHN_DVS498 	01:12:39,00 --> 01:12:50,50 	he drops the sling on the floor.
DEAR_JOHN.srt 	DEAR_JOHN_DVS584 	01:22:08,00 --> 01:22:15,50 	he swings his legs into the water, and drops his unhooked ankle leash onto his board.
DEAR_JOHN.srt 	DEAR_JOHN_DVS624 	01:25:10,00 --> 01:25:14,50 	her jaw drops.
DEAR_JOHN.srt 	DEAR_JOHN_DVS636 	01:26:54,00 --> 01:26:59,50 	smiling, someone drops his gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS662 	01:29:30,00 --> 01:29:34,50 	someone drops his eyes.
DISTRICT_9.srt 	DISTRICT_9_DVS254 	00:28:07,00 --> 00:28:11,50 	moves out and drops to his knees.
DISTRICT_9.srt 	DISTRICT_9_DVS612 	01:11:48,00 --> 01:11:53,50 	someone drops his gun completely.
DISTRICT_9.srt 	DISTRICT_9_DVS714 	01:24:08,00 --> 01:24:15,50 	a new chopper lands in district 9 and drops off a handful of reinforcements.
EASY_A.srt 	EASY_A_DVS130 	00:40:37,00 --> 00:40:46,50 	one guy drops his tray.
EASY_A.srt 	EASY_A_DVS247 	01:15:51,00 --> 01:15:58,50 	someone bashfully drops her gaze.
FLIGHT.srt 	FLIGHT_DVS50 	00:08:02,00 --> 00:08:06,50 	someone drops his towel.
FLIGHT.srt 	FLIGHT_DVS164 	00:34:30,00 --> 00:34:35,50 	he drops the phone on his stomach.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS70 	00:17:59,00 --> 00:18:07,50 	now at night, a new york city cab drops someone off in an urban neighborhood.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS73 	00:18:20,00 --> 00:18:48,50 	someone drops his bags.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS98 	00:25:37,00 --> 00:25:43,50 	someone drops the flowers and kisses someone.
