21_JUMP_STREET.srt 	21_JUMP_STREET_DVS642 	01:37:01,00 --> 01:37:15,50 	he puts gunpowder from the shells and two lithium batteries from someone's digital camera in a liquor bottle.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS54 	00:12:03,00 --> 00:12:07,50 	she puts his hand on them.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS130 	00:34:55,00 --> 00:35:00,50 	someone puts another item on the checkout counter.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS343 	01:15:55,00 --> 01:16:01,50 	embers rise into the air as he puts out the fire.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS16 	00:03:35,00 --> 00:03:45,50 	nearby, someone stands behind a half door and puts on a nametag.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS25 	00:07:38,00 --> 00:07:44,50 	he puts down his cards beside a can of fanta.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS58 	00:32:59,00 --> 00:33:09,50 	morning, dressed for work, someone uses tongs to put a waffle on a plate with some bacon.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS197 	00:33:07,00 --> 00:33:11,50 	someone puts his bag back on.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS622 	01:04:04,00 --> 01:04:12,50 	someone picks up a black leather jacket and puts it on, as someone dons a combat vest filled with grenades.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS625 	01:04:43,00 --> 01:04:50,50 	someone picks up an assault rifle and puts the strap over his head.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS730 	01:13:34,00 --> 01:13:40,50 	someone unfolds the frame and puts them on, as he arrives at someone's body.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS755 	01:15:06,00 --> 01:15:11,50 	the masseur puts him in a chokehold.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS173 	00:33:08,00 --> 00:33:12,50 	someone puts on his coat.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS270 	00:50:07,00 --> 00:50:11,50 	she puts on an overcoat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS124 	00:14:20,00 --> 00:14:27,50 	crossing to a front door, someone puts on sunglasses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS195 	00:26:42,00 --> 00:26:49,50 	silhouetted against the moonlit mist, someone puts on his stovepipe hat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS207 	00:27:59,00 --> 00:28:07,50 	as someone approaches, he puts the remainder back in a bowl and dusts his hands off on his pants.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS340 	00:48:43,00 --> 00:48:50,50 	as someone offers her hand, someone rises to his feet and puts the ring on her finger.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS401 	00:58:10,00 --> 00:58:15,50 	someone puts a dagger to someone's throat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS542 	01:16:26,00 --> 01:16:32,50 	someone slumps regretfully then puts his arms around her.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	he puts his back to the wall and aims in either direction.
BAD_TEACHER.srt 	BAD_TEACHER_DVS221 	01:01:11,00 --> 01:01:29,50 	she puts down her purse and puts on a pair of rubber gloves.
BAD_TEACHER.srt 	BAD_TEACHER_DVS221 	01:01:11,00 --> 01:01:29,50 	she puts down her purse and puts on a pair of rubber gloves.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS80 	00:12:22,00 --> 00:12:28,50 	checking himself out in a mirror, someone puts up his dukes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS261 	00:44:38,00 --> 00:44:43,50 	someone puts a hat on his head.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS373 	00:59:28,00 --> 00:59:34,50 	as he puts away some new sunglasses, someone hands her a cup of ice cream.
BLINDDATING.srt 	BLINDDATING_DVS159 	00:41:32,00 --> 00:41:41,50 	someone impulsively puts her lips to his.
BLINDDATING.srt 	BLINDDATING_DVS280 	01:10:26,00 --> 01:10:31,50 	someone puts his arm around her.
BLINDDATING.srt 	BLINDDATING_DVS285 	01:11:18,00 --> 01:11:35,50 	someone puts on her glasses and exhales.
BLINDDATING.srt 	BLINDDATING_DVS350 	01:25:07,00 --> 01:25:12,50 	he puts the glasses back on.
BLINDDATING.srt 	BLINDDATING_DVS362 	01:28:56,00 --> 01:29:04,50 	someone gently puts a hand on her shoulder and guides her to the waiting area.
BRUNO.srt 	BRUNO_DVS80 	00:16:53,00 --> 00:16:57,50 	puts his marker to a photo of p diddy.
BURLESQUE.srt 	BURLESQUE_DVS204 	00:30:26,00 --> 00:30:31,50 	the cashier puts down chairs.
BURLESQUE.srt 	BURLESQUE_DVS434 	01:00:11,00 --> 01:00:17,50 	as someone puts her back to the audience, her top flies off.
BURLESQUE.srt 	BURLESQUE_DVS488 	01:07:55,00 --> 01:08:09,50 	at home, someone struts in her sparkly four-inch louboutins as she puts on the new outfit.
BURLESQUE.srt 	BURLESQUE_DVS537 	01:14:23,00 --> 01:14:30,50 	someone puts on a cd labeled, instrumental only, last of me.
BURLESQUE.srt 	BURLESQUE_DVS695 	01:46:40,00 --> 01:46:44,50 	she puts her head on someone' shoulder.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS107 	00:17:54,00 --> 00:18:06,50 	someone puts on glasses with dark lenses.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS288 	00:55:18,00 --> 00:55:24,50 	putting on a brown leather jacket, someone carries his bag and shield to a parked jeep.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS458 	01:22:19,00 --> 01:22:27,50 	someone puts on his helmet.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS571 	01:39:08,00 --> 01:39:16,50 	someone puts the shield on his back and climbs onto the hood of the car as someone maneuvers underneath the plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS605 	01:43:01,00 --> 01:43:13,50 	someone puts someone in a chokehold.
