21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS433 	01:12:12,00 --> 01:12:27,50 	the biker wipes out into a truck, busting open its side gate and spilling flammable propane tanks onto the pavement.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS459 	01:14:59,00 --> 01:15:05,50 	he wipes out and his bike slides underneath the vehicle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS193 	00:26:22,00 --> 00:26:30,50 	using his hand, someone wipes it away with a horrified expression.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS564 	01:18:57,00 --> 01:19:02,50 	someone reaches the front and wipes off the headlamp.
BLINDDATING.srt 	BLINDDATING_DVS58 	00:18:25,00 --> 00:18:30,50 	he wipes ketchup off someone's chin.
BRUNO.srt 	BRUNO_DVS117 	00:26:25,00 --> 00:26:36,50 	he cringes, then wipes at his eye.
BURLESQUE.srt 	BURLESQUE_DVS163 	00:23:12,00 --> 00:23:21,50 	with a dramatic swoon, someone wipes her brow and lies back.
BURLESQUE.srt 	BURLESQUE_DVS205 	00:30:28,00 --> 00:30:34,50 	as the band practices, a bartender wipes down a bottle.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS317 	00:26:31,00 --> 00:26:37,50 	taking a break, someone thoughtfully wipes his hands off with a rag.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1063 	01:41:52,00 --> 01:41:57,50 	someone soberly wipes his mouth and chin.
CHRONICLE.srt 	CHRONICLE_DVS74 	00:09:11,00 --> 00:09:15,50 	he wipes his mouth.
CHRONICLE.srt 	CHRONICLE_DVS76 	00:09:34,00 --> 00:09:40,50 	someone leans into view, then wipes the lens with his shirtsleeve.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS234 	00:51:21,00 --> 00:51:26,50 	someone wipes his face with a towel.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS356 	01:27:28,00 --> 01:27:34,50 	someone stands in the open pit, wiping his hands.
COLOMBIANA.srt 	COLOMBIANA_DVS212 	00:18:14,00 --> 00:18:22,50 	wiping her mouth, she settles back into her seat and uses one finger to poke around the vomit.
COLOMBIANA.srt 	COLOMBIANA_DVS265 	00:22:07,00 --> 00:22:12,50 	someone wipes sweat from his face.
COLOMBIANA.srt 	COLOMBIANA_DVS279 	00:23:23,00 --> 00:23:29,50 	cupping her face in his hands, he wipes away her tears with his thumb.
COLOMBIANA.srt 	COLOMBIANA_DVS749 	01:11:47,00 --> 01:11:53,50 	she wipes away tears as he steps over to her.
COLOMBIANA.srt 	COLOMBIANA_DVS1090 	01:43:13,00 --> 01:43:18,50 	she wipes away a tear then replaces the receiver.
DISTRICT_9.srt 	DISTRICT_9_DVS207 	00:23:20,00 --> 00:23:32,50 	he waves the camera and ran off, and takes out a tissue to wipe his face.
DISTRICT_9.srt 	DISTRICT_9_DVS281 	00:31:12,00 --> 00:31:23,50 	startled, someone glances at his companions and wipes it with a napkin.
