500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS109 	00:20:41,00 --> 00:20:45,50 	they study one another.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	as the two fighters square off, someone steps closer, studying the footage intently.
DISTRICT_9.srt 	DISTRICT_9_DVS347 	00:38:25,00 --> 00:38:36,50 	doctors study x-rays.
GREEN_ZONE.srt 	GREEN_ZONE_DVS367 	01:24:36,00 --> 01:24:42,50 	someone steps closer, studying his captive.
IRON_MAN_2.srt 	IRON_MAN_2_DVS228 	00:42:47,00 --> 00:42:54,50 	someone and the man study each other.
MORNING_GLORY.srt 	MORNING_GLORY_DVS440 	01:34:16,00 --> 01:34:24,50 	two members of staff chat and study a piece of paper.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS359 	01:28:33,00 --> 01:28:39,50 	toward his shaving mirror, studying his scarred reflection.
SALT.srt 	SALT_DVS22 	00:03:52,00 --> 00:04:37,50 	her sultry eyes study him lovingly from above her high cheekbones and pouty lips.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS261 	00:31:37,00 --> 00:31:42,50 	studying the map he deflates.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS406 	00:57:54,00 --> 00:57:59,50 	studying the highlighted urban scene, someone brighten
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS951 	01:28:09,00 --> 01:28:15,50 	studying his new foot, the young man smiles, teary-eyed.
