30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS201 	00:50:55,00 --> 00:51:01,50 	as the car slides into a turn, he loses control and spins out completely.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS230 	00:19:14,00 --> 00:19:19,50 	spinning around, someone spots the van nearby.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS254 	00:22:08,00 --> 00:22:17,50 	as the van spins a 180 degrees, someone's truck pushes a sideway sedan into his front end.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS280 	00:24:04,00 --> 00:24:14,50 	someone pulls the emergency brake and as he spins, the rocket soars over his flatbed and strikes a garbage truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS281 	00:24:11,00 --> 00:24:20,50 	spinning out of control, someone's truck rams off a motorcycle and barrel rolls over a line of parked cars.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS309 	00:27:08,00 --> 00:27:16,50 	someone's truck accelerates beside the van and performs a pit maneuver, spinning someone out of control.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS310 	00:27:19,00 --> 00:27:25,50 	clenching his jaw, someone yanks at the wheel as the van wildly spins.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS315 	00:27:51,00 --> 00:27:58,50 	he hits the truck again and someone's van spins away, passing by someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS818 	01:21:26,00 --> 01:21:34,50 	outside, the chopper's rotors spin.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS862 	01:24:38,00 --> 01:24:45,50 	spinning wildly, the chopper's tail rotor chops through the block letter sign.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS880 	01:25:50,00 --> 01:26:00,50 	the spinning chopper nears the roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS315 	00:45:52,00 --> 00:45:59,50 	sinking his teeth into her neck, he spins her around lifting her off her feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS554 	01:17:40,00 --> 01:17:47,50 	gaining confidence, he builds speed until the ax spins in a blur.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	someone takes out two vampires then twirls the ax behind his back to someone who spins the versatile weapon and strikes another vampire with its butt.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS267 	00:45:04,00 --> 00:45:09,50 	he twirls his right hand as if spinning a lasso.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS308 	00:50:19,00 --> 00:50:26,50 	spinning out of control, someone falls off the stage and lands on his stepfather.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS396 	01:04:29,00 --> 01:04:36,50 	as they spin around again, someone crouches by the window and raises his binoculars.
BRUNO.srt 	BRUNO_DVS95 	00:21:34,00 --> 00:21:40,50 	someone waves his fist by his head, and spins in a circle.
BRUNO.srt 	BRUNO_DVS195 	00:53:11,00 --> 00:53:15,50 	effects punch and spins away.
BURLESQUE.srt 	BURLESQUE_DVS256 	00:36:35,00 --> 00:36:42,50 	the rehearsing dancers spin.
BURLESQUE.srt 	BURLESQUE_DVS256 	00:36:35,00 --> 00:36:42,50 	then someone spins on the street and resumes her walk.
