21_JUMP_STREET.srt 	21_JUMP_STREET_DVS254 	00:43:31,00 --> 00:43:39,50 	now in his old room, someone nervously taps a cordless phone against his palm, then makes a call.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS269 	00:46:52,00 --> 00:47:01,50 	now they make punch.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS317 	00:53:40,00 --> 00:53:45,50 	now, someone makes out with a brunette.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS322 	00:53:54,00 --> 00:53:59,50 	someone pinches his own nipples and makes them dance.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS627 	01:34:44,00 --> 01:34:50,50 	as someone makes a hard right in his limo, someone lops over.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS663 	01:39:07,00 --> 01:39:12,50 	someone joins him in making the arrest.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS197 	00:50:32,00 --> 00:50:38,50 	as the datsun makes a sharp right, pedestrians dodge to a sidewalk.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS229 	00:54:38,00 --> 00:54:42,50 	someone makes a call.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS323 	01:12:40,00 --> 01:12:48,50 	they make the switch.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS45 	00:20:17,00 --> 00:20:23,50 	as two other ladies make out, someone watches with someone and someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS196 	01:37:37,00 --> 01:37:43,50 	near the dancefloor someone and bernadette make out.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS47 	00:03:24,00 --> 00:03:28,50 	she makes an origami paper model.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS165 	00:30:28,00 --> 00:30:32,50 	we don't make fancy quality, we make true every day quality".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS165 	00:30:28,00 --> 00:30:32,50 	we don't make fancy quality, we make true every day quality".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS237 	00:44:14,00 --> 00:44:19,50 	a suit makes a beeline for someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS64 	00:04:39,00 --> 00:04:43,50 	someone makes a call.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS266 	00:23:05,00 --> 00:23:10,50 	someone struggles to make the sharp u-turn.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS397 	00:36:12,00 --> 00:36:19,50 	someone rips off someone's sleeve and makes a tourniquet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS555 	00:53:41,00 --> 00:53:46,50 	the chopper makes a hard left turn.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS609 	01:02:44,00 --> 01:02:49,50 	the car makes a slight left and rolls to a stop.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS336 	00:59:33,00 --> 00:59:40,50 	frowning someone snatches his watch back from the nun, who both make the sign of the cross.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS464 	01:06:00,00 --> 01:06:07,50 	his hand close to hers, he presents a gleaming toy sword made of silver.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	he and someone make their way across the engine.
BAD_TEACHER.srt 	BAD_TEACHER_DVS185 	00:52:01,00 --> 00:52:09,50 	the red head struggles to stop making the odd face.
BAD_TEACHER.srt 	BAD_TEACHER_DVS284 	01:17:11,00 --> 01:17:19,50 	elsewhere, someone makes his way to a parking lot.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS79 	00:12:08,00 --> 00:12:13,50 	someone makes a call.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS172 	00:29:10,00 --> 00:29:15,50 	someone makes a peace sign.
BLINDDATING.srt 	BLINDDATING_DVS229 	00:56:16,00 --> 00:56:24,50 	at the far table, someone's date applies make up.
BLINDDATING.srt 	BLINDDATING_DVS266 	01:05:21,00 --> 01:05:26,50 	she makes the call, later.
BURLESQUE.srt 	BURLESQUE_DVS390 	00:54:10,00 --> 00:54:20,50 	someone makes her way up some stairs, toward a platform.
BURLESQUE.srt 	BURLESQUE_DVS455 	01:02:39,00 --> 01:02:44,50 	the speedster makes a turn.
BURLESQUE.srt 	BURLESQUE_DVS634 	01:36:12,00 --> 01:36:17,50 	in the kitchen, someone makes coffee.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS19 	00:02:45,00 --> 00:02:51,50 	slowly, the two men make their way toward the nose of the plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS267 	00:48:56,00 --> 00:49:04,50 	later, he makes a film with american troops.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS370 	00:34:52,00 --> 00:34:57,50 	now at home, someone makes a poster charting his training goals.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS376 	00:35:21,00 --> 00:35:25,50 	someone makes a sandwich.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS544 	00:52:55,00 --> 00:53:00,50 	they make brief eye contact, then someone rides away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS662 	01:04:18,00 --> 01:04:24,50 	with a pencil, he makes a third someone on his notepaper.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS792 	01:18:35,00 --> 01:18:39,50 	she scoots over to make room for him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS942 	01:32:25,00 --> 01:32:32,50 	from a makeshift parking area, countless surfers and spectators make their way toward the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1021 	01:39:10,00 --> 01:39:17,50 	it makes it over, nearly capsizing as it slams down behind the fishing boat.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1062 	01:41:49,00 --> 01:41:54,50 	the fishing boat makes it way over to the board.
