21_JUMP_STREET.srt 	21_JUMP_STREET_DVS486 	01:18:29,00 --> 01:18:33,50 	beside someone, someone lowers his sad gaze.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS611 	01:33:41,00 --> 01:33:50,50 	his gaze steely, someone lowers his gun.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS22 	00:03:57,00 --> 00:04:06,50 	he notices a scruffy indian-american guy alone in the passenger seat of a silver car, then lowers his gaze and sips his beer.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS178 	01:27:29,00 --> 01:27:34,50 	someone raises her hand, then lowers it
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS491 	00:47:52,00 --> 00:47:58,50 	someone lowers his smiling gaze.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS611 	01:03:17,00 --> 01:03:21,50 	someone lowers the binoculars.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS667 	01:08:42,00 --> 01:08:52,50 	outside, the helicopter slowly lowers the tank into position on the ground.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS690 	01:11:01,00 --> 01:11:05,50 	someone lowers the gun.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS761 	01:15:32,00 --> 01:15:40,50 	he lowers the phone from his ear and whips it at the wall.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS63 	00:06:48,00 --> 00:06:56,50 	someone lowers his gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS87 	00:09:57,00 --> 00:10:02,50 	catching his breath, someone lowers his pistol.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS323 	00:46:45,00 --> 00:46:51,50 	someone lowers his demoralized gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS430 	01:01:53,00 --> 01:01:59,50 	someone shoots a cutting look at someone who lowers his gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS499 	01:10:28,00 --> 01:10:35,50 	someone's eyes widen and he lowers his remorseful gaze.
BAD_TEACHER.srt 	BAD_TEACHER_DVS170 	00:46:38,00 --> 00:46:45,50 	someone lowers his gaze.
BLINDDATING.srt 	BLINDDATING_DVS239 	00:58:02,00 --> 00:58:26,50 	spotting chocolate on her date's chin, she points to her chin, then lowers her tongue and points again.
BRUNO.srt 	BRUNO_DVS217 	01:00:58,00 --> 01:01:11,50 	his legs crossed tightly, and his hands folded neatly on his knee, lowering his stare.
BURLESQUE.srt 	BURLESQUE_DVS561 	01:22:53,00 --> 01:23:00,50 	with his eyes on someone, he lowers the phone.
BURLESQUE.srt 	BURLESQUE_DVS625 	01:33:35,00 --> 01:33:42,50 	silhouetted against a brilliant spotlight, someone closes her hands and gently lowers her arms.
BURLESQUE.srt 	BURLESQUE_DVS635 	01:36:33,00 --> 01:36:38,50 	someone sighs and lowers a spoon.
BURLESQUE.srt 	BURLESQUE_DVS709 	01:47:54,00 --> 01:47:59,50 	then lowers her gaze, her lips curling into a genial smile.
BURLESQUE.srt 	BURLESQUE_DVS715 	01:48:16,00 --> 01:48:21,50 	someone lowers her mascara brush as she sees him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS298 	00:57:02,00 --> 00:57:19,50 	grinning, someone lowers his goggles over his eyes and jumps out of the plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS436 	01:18:55,00 --> 01:19:04,50 	she lowers the gun and smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS614 	00:58:54,00 --> 00:59:01,50 	as someone beams lovingly, he removes his goggles, steps on a foot switch, and lowers a paper facemask.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS736 	01:13:24,00 --> 01:13:28,50 	his cheeks flushed, someone lowers his humiliated gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS968 	01:35:01,00 --> 01:35:07,50 	staying by someone's side, someone lowers his emotional gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1040 	01:40:21,00 --> 01:40:28,50 	the photographer lowers his camera to see the board tumble backwards behind the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1057 	01:41:33,00 --> 01:41:37,50 	someone lowers his binoculars.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1065 	01:42:02,00 --> 01:42:07,50 	he lowers his binoculars.
CHRONICLE.srt 	CHRONICLE_DVS54 	00:06:31,00 --> 00:06:36,50 	he lowers his pointing finger.
CHRONICLE.srt 	CHRONICLE_DVS127 	00:19:18,00 --> 00:19:26,50 	filming himself in the mirror, he lowers his arms from the camera and lets it hover in front of him.
CHRONICLE.srt 	CHRONICLE_DVS508 	01:12:49,00 --> 01:12:55,50 	someone flinches, then lowers his bloody right hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS19 	00:04:03,00 --> 00:04:15,50 	as the woman lowers her gaze, he breaks into a smile.
COLOMBIANA.srt 	COLOMBIANA_DVS129 	00:11:02,00 --> 00:11:09,50 	under the bearded gangster's haughty gaze, the thug lowers his gun.
COLOMBIANA.srt 	COLOMBIANA_DVS141 	00:12:58,00 --> 00:13:06,50 	lowering herself to another ledge, she uses the top one for cover as a bald gunman shoots down at her.
COLOMBIANA.srt 	COLOMBIANA_DVS254 	00:21:17,00 --> 00:21:25,50 	she peers out her window then lowers her gaze to her zena warrior princess comic.
COLOMBIANA.srt 	COLOMBIANA_DVS407 	00:36:08,00 --> 00:36:15,50 	now the intruder lowers a ceiling vent hatch and stealthily climbs out.
