21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS417 	01:10:36,00 --> 01:10:43,50 	he rips the student driver sign off the roof and bashes it over the hood.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS49 	00:11:16,00 --> 00:11:22,50 	she rips off her top baring her breasts.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS107 	00:26:48,00 --> 00:26:53,50 	someone rips off his mask.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS263 	00:22:52,00 --> 00:22:59,50 	as someone follows, his truck rips off the open door of a parked car.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS397 	00:36:12,00 --> 00:36:19,50 	someone rips off someone's sleeve and makes a tourniquet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS544 	00:52:56,00 --> 00:53:02,50 	they rip through green netting and crash-land on a wooden platform.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS820 	01:21:43,00 --> 01:21:52,50 	someone rips off his jacket and pulls a pistol from his waistband.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS850 	01:23:53,00 --> 01:24:00,50 	the heavy caliber bullets rip into the building, following the helicopter's searchlights.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS96 	00:10:37,00 --> 00:10:51,50 	he rips open someone's shirt, scratching his chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS174 	00:23:34,00 --> 00:23:45,50 	someone watches someone as he takes it behind the counter and rips it open.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS659 	01:33:09,00 --> 01:33:16,50 	someone rips a silver chain with someone's miniature sword from her neck.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS665 	01:34:02,00 --> 01:34:18,50 	one rips a vampire apart.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS585 	01:32:26,00 --> 01:32:33,50 	someone rips off someone's mask, throws down the disguise, and backs away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS641 	01:38:32,00 --> 01:38:38,50 	he rips off someone's blonde wig and mask.
BURLESQUE.srt 	BURLESQUE_DVS47 	00:04:48,00 --> 00:04:52,50 	then she rips the card to shreds.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS243 	00:42:18,00 --> 00:42:26,50 	as water rushes in, someone rips off the canopy, yanks out someone, and tosses him onto the shore.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS333 	01:02:28,00 --> 01:02:38,50 	inside the facility, escaped prisoners fire on a group of guards as explosions rip through the compound.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS347 	01:04:19,00 --> 01:04:24,50 	someone rips off leather restraints.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS421 	00:39:39,00 --> 00:39:44,50 	someone rips off his hood.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS450 	00:43:46,00 --> 00:43:53,50 	as someone takes off across the pool, someone rips off his wet shirt and tosses it aside.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS922 	01:30:16,00 --> 01:30:22,50 	plucking out the envelope, he rips it open and reads the letter within.
COLOMBIANA.srt 	COLOMBIANA_DVS842 	01:20:50,00 --> 01:20:55,50 	a fiery blast rips a hole in the bathroom wall.
DEAR_JOHN.srt 	DEAR_JOHN_DVS483 	01:11:22,00 --> 01:11:28,50 	as someone helps noodles stand, four bullets rip through him.
DISTRICT_9.srt 	DISTRICT_9_DVS115 	00:13:39,00 --> 00:13:45,50 	rips his arm off and kicks him across the yard.
DISTRICT_9.srt 	DISTRICT_9_DVS453 	00:51:15,00 --> 00:51:23,50 	sitting in the dirt, someone rips the lid off a can.
DISTRICT_9.srt 	DISTRICT_9_DVS456 	00:51:36,00 --> 00:51:45,50 	reaching into the back of his mouth, he rips out something else.
DISTRICT_9.srt 	DISTRICT_9_DVS588 	01:09:15,00 --> 01:09:31,50 	a ponderous explosion rips into the building's facade.
DISTRICT_9.srt 	DISTRICT_9_DVS845 	01:39:57,00 --> 01:40:13,50 	one rips his head off.
EASY_A.srt 	EASY_A_DVS274 	01:23:04,00 --> 01:23:11,50 	she rips off someone's woodchuck costume, revealing his blue devil costume.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS437 	01:02:37,00 --> 01:02:45,50 	as another monk gropes in the dark, someone grabs him from behind, rip him and lets him fall.
IN_TIME.srt 	IN_TIME_DVS602 	01:04:27,00 --> 01:04:32,50 	and one rips out the phone's receiver.
IRON_MAN_2.srt 	IRON_MAN_2_DVS166 	00:31:18,00 --> 00:31:54,50 	on the road, a car zooms past someone as he rips open his orange shirt, revealing the arc reactor attached to his body frame.
IRON_MAN_2.srt 	IRON_MAN_2_DVS325 	00:58:30,00 --> 00:58:37,50 	someone stands, rips off a countertop, and smashes it against someone's back.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS625 	01:58:46,00 --> 01:58:50,50 	then struggles to rip it open.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS81 	00:27:20,00 --> 00:27:28,50 	someone rips her pant legs into shorts.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS242 	01:27:01,00 --> 01:27:08,50 	he runs to someone and rips off her necklace.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS746 	01:17:39,00 --> 01:17:46,50 	he gets a claw stuck in the wood and rips it free then shows his teeth to someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS872 	01:28:05,00 --> 01:28:19,50 	ocean water pours over the frenzied teen as he rips the canvas free of each hook, trying to uncover his friend.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1030 	01:40:35,00 --> 01:40:41,50 	now someone rips a spherical object from a glowing branch.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS343 	00:43:53,00 --> 00:44:00,50 	on their way down, the penguins trip a couple and rip off a woman's dress.
PROMETHEUS.srt 	PROMETHEUS_DVS82 	00:04:45,00 --> 00:04:54,50 	his neck rips apart, beheading him as he touches down.
PROMETHEUS.srt 	PROMETHEUS_DVS899 	01:39:38,00 --> 01:39:46,50 	he rips someone's head off and strikes someone with it.
SALT.srt 	SALT_DVS419 	01:13:04,00 --> 01:13:09,50 	she rips it away from her nose and mouth.
SUPER_8.srt 	SUPER_8_DVS483 	01:23:25,00 --> 01:23:31,50 	meanwhile, the creature rips seats out of the bus as it makes its way toward someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS125 	00:19:48,00 --> 00:19:54,50 	someone drops to the floor as bullets rip through the front door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS193 	00:28:51,00 --> 00:28:56,50 	in the cargo hold, someone rips a plank off a crate.
THE_CALL.srt 	THE_CALL_DVS546 	00:42:04,00 --> 00:42:11,50 	ripping off his blood-stained shirt, he wipes blood from his undershirt and tosses it down.
THE_CALL.srt 	THE_CALL_DVS591 	00:45:53,00 --> 00:46:00,50 	clenching his jaw, the killer rips off the release lever and grabs the frightened teen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS465 	00:53:56,00 --> 00:54:06,50 	he twists a fist into the fabric of her black panties and rips them off.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1175 	02:05:32,00 --> 02:05:37,50 	he rips open someone's button over shirt
