30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS24 	00:04:17,00 --> 00:04:24,50 	she cradles his dark sideburns and kisses him passionately on the lips.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS115 	00:29:46,00 --> 00:29:51,50 	she wraps her arms around his neck and kisses him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS222 	00:53:51,00 --> 00:53:56,50 	someone kisses his car.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS347 	01:16:53,00 --> 01:16:59,50 	in the mustang, someone grabs someone and kisses him as he drives.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS47 	00:22:40,00 --> 00:22:52,50 	the party girl wraps her arms around him and kisses him hungrily.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS121 	01:04:25,00 --> 01:04:31,50 	as they kiss, she wraps her legs around him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS143 	01:14:55,00 --> 01:14:59,50 	they kiss hungrily.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS158 	01:21:06,00 --> 01:21:11,50 	she kisses him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS186 	01:31:10,00 --> 01:31:16,50 	she kisses him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS230 	01:51:05,00 --> 01:51:19,50 	they kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS64 	00:05:09,00 --> 00:05:13,50 	they kiss in bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS127 	00:25:09,00 --> 00:25:13,50 	they kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS129 	00:25:17,00 --> 00:25:21,50 	kissing with increasing passion.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS171 	00:30:42,00 --> 00:30:47,50 	at night, they tumble, kissing on to the bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS184 	00:32:03,00 --> 00:32:08,50 	he cheerfully greets the people he meets, even kissing one woman's hand.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS266 	00:49:21,00 --> 00:49:25,50 	she kisses him gently.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS267 	00:49:37,00 --> 00:49:42,50 	she links her arms around someone's neck and they kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS501 	01:21:18,00 --> 01:21:22,50 	and she kisses her new husband.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS54 	00:15:45,00 --> 00:15:50,50 	someone stands and kisses someone's forehead.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS422 	01:13:02,00 --> 01:13:07,50 	someone kisses his wife and son.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS456 	01:18:57,00 --> 01:19:02,50 	someone stands and kisses her on the forehead.
