21_JUMP_STREET.srt 	21_JUMP_STREET_DVS88 	00:11:41,00 --> 00:11:48,50 	the uniform cops walk through a storage area and enter a small chapel.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS115 	00:16:53,00 --> 00:16:59,50 	later, as someone walks through the bullpen the lights cut out.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS132 	00:21:50,00 --> 00:21:58,50 	now, at a police impound a female officer walks them to a 1970s camaro.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS287 	00:49:36,00 --> 00:49:42,50 	they walk in on a two girls, one guy three-way with one woman thrusting in back.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS57 	00:30:33,00 --> 00:30:38,50 	she walks off.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS97 	00:51:05,00 --> 00:51:15,50 	now someone walks his bike past someone's door.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS104 	00:54:43,00 --> 00:54:50,50 	now in a hotel corridor, someone walks past a maid and knocks on a door.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS137 	01:09:22,00 --> 01:09:31,50 	as someone walks past a couch, she kicks the back.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS63 	00:05:07,00 --> 00:05:12,50 	someone and someone walk hand in hand.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS85 	00:12:49,00 --> 00:12:55,50 	he stares after her as she walks away through the open plan office.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS120 	00:24:32,00 --> 00:24:37,50 	someone's at the photocopier when someone walks up.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS133 	00:25:36,00 --> 00:25:40,50 	then she walks away.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS143 	00:27:16,00 --> 00:27:22,50 	she walks off, unimpressed by his attempt at humor.
