21_JUMP_STREET.srt 	21_JUMP_STREET_DVS53 	00:05:29,00 --> 00:05:35,50 	now they flip their guns.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS645 	01:37:23,00 --> 01:37:31,50 	a second blast flips it like a tiddlywink.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS68 	00:15:44,00 --> 00:15:48,50 	he flips the bird and leaves.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS206 	00:51:22,00 --> 00:51:30,50 	another police car t-bones the datsun, which flips onto its roof and skids toward us.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS352 	01:17:23,00 --> 01:17:29,50 	a fiery explosion flips the van upside down.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS275 	00:52:24,00 --> 00:52:36,50 	day 266 flips back to day 191.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS99 	00:08:28,00 --> 00:08:34,50 	he flips past paperwork and uncovers a mug shot of his son.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS282 	00:24:22,00 --> 00:24:29,50 	the tail end flips upward and the truck comes down perfectly on its wheels.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS324 	00:28:47,00 --> 00:28:54,50 	the truck rams off a concrete barrier, flipping the massive vehicle through the air.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS79 	00:21:22,00 --> 00:21:29,50 	he flips through its pages, glances around himself, then closes it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS98 	00:10:50,00 --> 00:10:55,50 	he grabs someone by the hair and flips him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	he boldly grabs the front leg of an oncoming horse, flipping the steed on its back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	the vampire grabs the ax and flips someone on to the back of another horse.
