40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS221 	01:48:22,00 --> 01:48:30,50 	someone grins at his earnest gaze, laughs a little, and steps into a kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS230 	00:43:17,00 --> 00:43:22,50 	she nuzzles his arm and he grins.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS325 	00:59:57,00 --> 01:00:03,50 	someone stares at auburn haired someone, then grins tipsily.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS367 	00:58:47,00 --> 00:58:51,50 	she grins at someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS447 	01:11:24,00 --> 01:11:31,50 	he grins.
BURLESQUE.srt 	BURLESQUE_DVS154 	00:21:32,00 --> 00:21:36,50 	he grins.
BURLESQUE.srt 	BURLESQUE_DVS237 	00:34:14,00 --> 00:34:28,50 	onstage, someone prances, paws out, and grins adorably.
BURLESQUE.srt 	BURLESQUE_DVS562 	01:23:13,00 --> 01:23:19,50 	as someone sips his drink, the deejay grins at him.
BURLESQUE.srt 	BURLESQUE_DVS573 	01:25:41,00 --> 01:25:45,50 	he grins.
BURLESQUE.srt 	BURLESQUE_DVS733 	01:50:13,00 --> 01:50:17,50 	he grins widely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS850 	01:23:45,00 --> 01:23:50,50 	grinning proudly, someone pours orange juice.
CHRONICLE.srt 	CHRONICLE_DVS21 	00:03:12,00 --> 00:03:17,50 	the young man grins.
CHRONICLE.srt 	CHRONICLE_DVS213 	00:31:12,00 --> 00:31:17,50 	he grins at us and executes a roll.
CHRONICLE.srt 	CHRONICLE_DVS300 	00:45:37,00 --> 00:45:44,50 	someone grins from ear-to-ear as he's greeted with handshakes and pretty smiles.
DEAR_JOHN.srt 	DEAR_JOHN_DVS142 	00:22:55,00 --> 00:23:10,50 	tumbling into the shallow water, she grins.
DEAR_JOHN.srt 	DEAR_JOHN_DVS252 	00:39:13,00 --> 00:39:17,50 	she grins at the boy.
DEAR_JOHN.srt 	DEAR_JOHN_DVS283 	00:44:28,00 --> 00:44:32,50 	the clerk grins.
DEAR_JOHN.srt 	DEAR_JOHN_DVS394 	01:00:56,00 --> 01:01:02,50 	someone glances at someone, who grins at mr.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS356 	01:26:17,00 --> 01:26:22,50 	he grins at someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS425 	01:44:32,00 --> 01:44:36,50 	someone grins toothily.
EASY_A.srt 	EASY_A_DVS63 	00:22:02,00 --> 00:22:08,50 	she grins at him.
EASY_A.srt 	EASY_A_DVS257 	01:17:28,00 --> 01:17:33,50 	she grins at him over her shoulder.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS197 	00:52:52,00 --> 00:52:59,50 	she grins, licks her fingertip, and strokes his ear.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS510 	01:13:36,00 --> 01:13:40,50 	he grins.
GREEN_ZONE.srt 	GREEN_ZONE_DVS456 	01:40:26,00 --> 01:40:34,50 	someone grins at the pentagon official.
GROWN_UPS.srt 	GROWN_UPS_DVS299 	01:36:09,00 --> 01:36:13,50 	he grins.
