21_JUMP_STREET.srt 	21_JUMP_STREET_DVS475 	01:17:40,00 --> 01:17:49,50 	they hurry on stage and break up the fight.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS163 	00:43:28,00 --> 00:43:32,50 	he hurries past someone to the door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS60 	00:04:15,00 --> 00:04:19,50 	she hurries in.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS241 	00:19:52,00 --> 00:20:03,50 	he and his men hurry inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS443 	00:42:42,00 --> 00:42:48,50 	she hurries toward someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS937 	01:30:58,00 --> 01:31:04,50 	hurrying toward her family, someone breaks into a run.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS267 	00:39:01,00 --> 00:39:06,50 	the tall young man hurries away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS384 	00:53:52,00 --> 00:53:57,50 	he hurries away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS635 	01:29:38,00 --> 01:29:55,50 	someone and someone fall to the structure under the track then hurry along its beams.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS37 	00:03:21,00 --> 00:03:26,50 	he hurries up the front walkway to his house and enters.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS70 	00:11:00,00 --> 00:11:05,50 	he hurries to a motel room door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS259 	00:44:25,00 --> 00:44:31,50 	back in the common room, girls hurry in with armfuls of clothing.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS527 	01:22:44,00 --> 01:22:48,50 	he hurries out the door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS580 	01:31:26,00 --> 01:31:31,50 	in someone's fat suit, he hurries down a staircase,
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS607 	01:35:03,00 --> 01:35:08,50 	she hurries toward the library.
BRUNO.srt 	BRUNO_DVS89 	00:20:03,00 --> 00:20:09,50 	on the street, harrison ford hurries away from someone.
BURLESQUE.srt 	BURLESQUE_DVS100 	00:11:18,00 --> 00:11:27,50 	a dancer bumps into her as she hurries past.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS24 	00:03:42,00 --> 00:03:54,50 	he hurries into a castle tower lit by torches, then bars the door.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS160 	00:34:46,00 --> 00:34:52,50 	nearby, a woman hurries after a man who marches away with luggage.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS432 	01:44:54,00 --> 01:45:04,50 	later, outside the rundown tenement, a man hurries to a railing overlooking the alley.
COLOMBIANA.srt 	COLOMBIANA_DVS95 	00:07:29,00 --> 00:07:39,50 	the family hurries back into the kitchen.
COLOMBIANA.srt 	COLOMBIANA_DVS162 	00:14:24,00 --> 00:14:30,50 	someone hurries down a flight of stairs into an alley.
COLOMBIANA.srt 	COLOMBIANA_DVS241 	00:20:16,00 --> 00:20:22,50 	the woman hurries off past the security guard.
COLOMBIANA.srt 	COLOMBIANA_DVS438 	00:38:42,00 --> 00:39:00,50 	the officers hurry up a set of emergency access stairs.
COLOMBIANA.srt 	COLOMBIANA_DVS614 	00:58:14,00 --> 00:58:21,50 	he frames his crotch with his hands then hurries over and belly flops onto the bed.
COLOMBIANA.srt 	COLOMBIANA_DVS633 	00:59:41,00 --> 00:59:48,50 	with her fingers curled around the gun's handle, she hurries into the mansion.
COLOMBIANA.srt 	COLOMBIANA_DVS759 	01:13:28,00 --> 01:13:32,50 	he hurries outside.
COLOMBIANA.srt 	COLOMBIANA_DVS1082 	01:42:45,00 --> 01:42:49,50 	the agent hurries off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS278 	00:43:39,00 --> 00:43:46,50 	someone hurries down a sidewalk and briefly stops for someone to catch up.
DEAR_JOHN.srt 	DEAR_JOHN_DVS307 	00:47:55,00 --> 00:48:06,50 	she ducks under a dividing rope, and hurries around to the other side.
DISTRICT_9.srt 	DISTRICT_9_DVS359 	00:39:45,00 --> 00:39:56,50 	two techs hurry from the opposite side of the room where a dead pig hangs upside down.
DISTRICT_9.srt 	DISTRICT_9_DVS387 	00:43:01,00 --> 00:43:14,50 	the head doctor hurries off with the executive close behind.
DISTRICT_9.srt 	DISTRICT_9_DVS406 	00:44:44,00 --> 00:44:50,50 	he hurries up a flight of stairs and burst out
DISTRICT_9.srt 	DISTRICT_9_DVS636 	01:14:41,00 --> 01:14:48,50 	he hurries down a hill.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS100 	00:55:56,00 --> 00:56:02,50 	later he hurries up to the concierge.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS156 	01:27:17,00 --> 01:27:21,50 	she hurries off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS68 	00:11:11,00 --> 00:11:21,50 	on the street, they hurry over to the silver hatchback parked among other cars.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS230 	00:37:10,00 --> 00:37:18,50 	he beckons the bearded supplier who hurries over with the missile launcher.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS414 	01:00:20,00 --> 01:00:25,50 	he hurries through one of the passages.
