21_JUMP_STREET.srt 	21_JUMP_STREET_DVS123 	00:18:46,00 --> 00:18:50,50 	someone picks up a vase.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS472 	01:17:15,00 --> 01:17:26,50 	someone picks up one of the fake boulders and chucks it at his partner.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS491 	01:18:41,00 --> 01:18:49,50 	in her bedroom someone picks up her vibrating cell phone and sees an incoming call from doug.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS667 	01:40:35,00 --> 01:40:40,50 	handcuffed someone tries to pick it up with his mouth.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS35 	00:07:28,00 --> 00:07:34,50 	he picks up a plate, but the major grabs it.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS264 	01:02:22,00 --> 01:02:26,50 	someone picks up the phone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS318 	01:11:18,00 --> 01:11:23,50 	someone ditches his jacket then picks the bag back up.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS131 	00:25:33,00 --> 00:25:37,50 	she picks up her file.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS314 	00:56:35,00 --> 00:56:41,50 	someone picks up the cards and trudges slowly out of the office.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS358 	00:32:06,00 --> 00:32:11,50 	his son picks his handcuffs open.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS583 	00:59:32,00 --> 00:59:39,50 	someone crouches by the passenger door of a maserati and attempts to pick the lock.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS626 	01:04:47,00 --> 01:04:53,50 	someone picks up a similar weapon and slings it over his shoulder.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS296 	00:54:51,00 --> 00:54:57,50 	someone picks up a breadstick, sniffs it, then bites into it.
BAD_TEACHER.srt 	BAD_TEACHER_DVS63 	00:19:13,00 --> 00:19:23,50 	she picks up a dolphin paperweight.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS139 	00:20:26,00 --> 00:20:33,50 	the two would-be ladies pick up their bags and shuffle through a gate up some front steps.
BLINDDATING.srt 	BLINDDATING_DVS67 	00:20:42,00 --> 00:20:46,50 	he picks up the check.
BLINDDATING.srt 	BLINDDATING_DVS341 	01:21:45,00 --> 01:22:02,50 	he picks up the glasses and the battery pouch.
BURLESQUE.srt 	BURLESQUE_DVS166 	00:23:35,00 --> 00:23:39,50 	someone picks up the shot glasses.
BURLESQUE.srt 	BURLESQUE_DVS200 	00:30:02,00 --> 00:30:06,50 	he picks her up.
BURLESQUE.srt 	BURLESQUE_DVS273 	00:38:04,00 --> 00:38:09,50 	she picks up a thin makeup brush.
BURLESQUE.srt 	BURLESQUE_DVS302 	00:41:02,00 --> 00:41:06,50 	he picks up a newspaper.
BURLESQUE.srt 	BURLESQUE_DVS320 	00:44:03,00 --> 00:44:07,50 	he picks it up and unfolds it.
BURLESQUE.srt 	BURLESQUE_DVS525 	01:13:18,00 --> 01:13:23,50 	she picks up her clutch purse.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS150 	00:27:11,00 --> 00:27:16,50 	someone smiles, then motions for someone to pick up a glass.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS234 	00:40:42,00 --> 00:41:09,50 	someone picks up the cab door and uses it as a shield.
