21_JUMP_STREET.srt 	21_JUMP_STREET_DVS299 	00:51:28,00 --> 00:51:33,50 	someone's punch lands on someone's boob.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS207 	00:51:32,00 --> 00:51:38,50 	someone and someone unbuckle their seatbelts and land on their heads.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS193 	00:32:57,00 --> 00:33:03,50 	a little cartoon bluebird flits up to someone and lands on his shoulder.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS395 	00:36:04,00 --> 00:36:08,50 	landing first, someone urges the two older men onward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS550 	00:53:22,00 --> 00:53:32,50 	the pair emerge from the tube, and break through several more wooden platforms before landing in a large metal dumpster of cardboard and plastic wrapping.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS907 	01:27:28,00 --> 01:27:35,50 	they plunge into the leak-filled pool as the helicopter lands on the flaming truck.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS96 	00:25:11,00 --> 00:25:22,50 	someone swings the axe, he hits the trunk and flies through the air and lands in a patch of spiky plants.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS287 	00:41:33,00 --> 00:41:55,50 	someone lunges at him swiping at his legs, but the vampire jumps, flips and lands on a horse behind someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS289 	00:42:08,00 --> 00:42:27,50 	someone lands on his back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS310 	00:45:02,00 --> 00:45:30,50 	in slow motion, someone twirls through the air and lands at someone's feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS394 	00:55:44,00 --> 00:55:59,50 	she backflips through the air catches it and lands in the seat on top of someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS474 	01:07:11,00 --> 01:07:16,50 	his gaze lands on a spot on the carpet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	someone lands between the railcars in a tangle of chains.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS225 	00:37:18,00 --> 00:37:25,50 	someone listens through the door as he slips backward and lands in the bath tub.
BURLESQUE.srt 	BURLESQUE_DVS114 	00:15:21,00 --> 00:15:30,50 	in a black bra and panties, she lands in a split.
BURLESQUE.srt 	BURLESQUE_DVS141 	00:19:36,00 --> 00:19:44,50 	now a stack of burlesque-related books lands on her hotel bed.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS517 	01:33:02,00 --> 01:33:08,50 	he speeds up a sloped rampart and lands inside the base.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS562 	01:38:09,00 --> 01:38:15,50 	he lands on the runway and chases after the plane.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS208 	00:16:46,00 --> 00:16:50,50 	they land on the grass.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS447 	00:43:21,00 --> 00:43:27,50 	someone lands safely in the pool off a daring back tuck and someone beams.
CHRONICLE.srt 	CHRONICLE_DVS230 	00:32:58,00 --> 00:33:03,50 	our view rolls, landing in the grass.
CHRONICLE.srt 	CHRONICLE_DVS235 	00:33:28,00 --> 00:33:34,50 	someone plunges down and lands in a roll.
CHRONICLE.srt 	CHRONICLE_DVS312 	00:46:47,00 --> 00:46:58,50 	travelling parallel, the balls bounce once and land in side-by-side cups.
CHRONICLE.srt 	CHRONICLE_DVS411 	01:01:25,00 --> 01:01:33,50 	launches himself high, he lands in front of the last remaining thug.
CHRONICLE.srt 	CHRONICLE_DVS488 	01:10:50,00 --> 01:10:55,50 	someone lands clumsily on another building's rooftop.
CHRONICLE.srt 	CHRONICLE_DVS501 	01:11:48,00 --> 01:11:55,50 	as someone lands nearby, a helicopter searchlight shines down on him.
CHRONICLE.srt 	CHRONICLE_DVS526 	01:14:44,00 --> 01:14:52,50 	his gaze lands on a nearby statue which depicts a shirtless warrior aiming a spear.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS549 	02:09:13,00 --> 02:09:18,50 	someone lands a right hook right and wallops him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS559 	02:10:54,00 --> 02:10:59,50 	lands a left punch to someone's midriff and a hook
COLOMBIANA.srt 	COLOMBIANA_DVS154 	00:13:45,00 --> 00:13:55,50 	scrambling over a low wall, someone smashes through a wood plank roof and lands on a table.
COLOMBIANA.srt 	COLOMBIANA_DVS390 	00:34:56,00 --> 00:35:01,50 	it lands in the spoon which dips slightly.
COLOMBIANA.srt 	COLOMBIANA_DVS853 	01:21:32,00 --> 01:21:37,50 	she lands gracefully at ground level.
COLOMBIANA.srt 	COLOMBIANA_DVS987 	01:34:32,00 --> 01:34:38,50 	he lobs it into the other room where it lands beside the murdered gunman.
DEAR_JOHN.srt 	DEAR_JOHN_DVS236 	00:36:43,00 --> 00:36:53,50 	the soldiers hop out of the landed chopper, one by one.
DEAR_JOHN.srt 	DEAR_JOHN_DVS305 	00:47:45,00 --> 00:47:50,50 	now a gray cargo plane lands on an airstrip.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS408 	01:41:47,00 --> 01:41:53,50 	it lands on the table.
DISTRICT_9.srt 	DISTRICT_9_DVS281 	00:31:12,00 --> 00:31:23,50 	a droplet lands on his thumb.
DISTRICT_9.srt 	DISTRICT_9_DVS749 	01:28:39,00 --> 01:28:58,50 	inside, the smoke grenade lands on the floor, a few feet from someone.
DISTRICT_9.srt 	DISTRICT_9_DVS749 	01:28:39,00 --> 01:28:58,50 	he flinches as another grenade lands in the shack and deploys.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS24 	00:06:03,00 --> 00:06:17,50 	it lands on a baggage carousel.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS99 	00:15:24,00 --> 00:15:40,50 	it lands in the middle of the lot, filling our view as it spins to a halt.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS134 	00:21:01,00 --> 00:21:07,50 	the boy lands on all fours in the dirt.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS186 	00:29:46,00 --> 00:30:06,50 	as he lands on slippery rocks, his ankle snaps.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS448 	01:04:10,00 --> 01:04:18,50 	as a butterfly lands on a sprouting mushroom, the image focuses on a moss ridden monk.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS532 	01:15:42,00 --> 01:15:55,50 	he lands hard in a gravel pit below.
