BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS67 	00:10:45,00 --> 00:10:52,50 	a neon palm tree glows on a sign that reads oasis motel.
BRUNO.srt 	BRUNO_DVS220 	01:01:31,00 --> 01:01:44,50 	now, a time appears - 2:23 a.m. a green-hued night-vision vision shows four tents glows from within.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS109 	00:18:25,00 --> 00:18:32,50 	someone operates a control panel, the machine glows with blue light.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS302 	00:57:53,00 --> 00:58:02,50 	on the factory floor, workers assemble mechanical parts with glowing blue components.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS319 	01:00:22,00 --> 01:00:30,50 	he examines a chest-high cylindrical object studded with glowing blue components, then grabs a small device about the size of a cigarette lighter and slips it into his pants pocket.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS342 	01:03:39,00 --> 01:03:47,50 	in the control room, someone picks up a clear canister containing the glowing blue energy source as the timers continue to countdown.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS600 	01:42:32,00 --> 01:42:39,50 	passing the mechanism containing the glowing blue energy source, he creeps toward the back of the chair.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS650 	01:49:08,00 --> 01:49:16,50 	now, an underwater robot stretches out a claw and picks up the glowing blue energy cube off the ocean floor.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS299 	01:11:59,00 --> 01:12:09,50 	as someone draws on his cigar, the tips glows bright orange.
COLOMBIANA.srt 	COLOMBIANA_DVS1095 	01:43:31,00 --> 01:43:39,50 	golden sunlight glows down on her as she turns away from the phone and dons a hat.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS93 	00:24:07,00 --> 00:24:24,50 	glowing ink transfers to her hand and she gawks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS101 	00:15:42,00 --> 00:15:51,50 	flames glow within its engine and exhaust vents.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	the goateed thug shoots, his bullets making glowing holes in the rider's scorched leather jacket.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS231 	00:37:23,00 --> 00:37:39,50 	lifting it onto his shoulder, the wavy haired criminal peers through its thermal sight and finds ghost rider's glowing image as he speeds along the cliff above the quarry.
GREEN_ZONE.srt 	GREEN_ZONE_DVS33 	00:08:02,00 --> 00:08:09,50 	the soldiers' flashlights glow from underneath the muzzles of their rifles.
GREEN_ZONE.srt 	GREEN_ZONE_DVS318 	01:11:02,00 --> 01:11:14,50 	green zone, street lights glow around the domed palace.
HUGO.srt 	HUGO_DVS269 	00:39:45,00 --> 00:39:52,50 	later, they stand in a street gazing up at a glowing theatre sign - le cinema.
IN_TIME.srt 	IN_TIME_DVS121 	00:14:32,00 --> 00:14:39,50 	someone stares at the glowing clock ticking down his own body's time.
IN_TIME.srt 	IN_TIME_DVS373 	00:39:18,00 --> 00:39:24,50 	the green light from their body clocks glows in the water.
IN_TIME.srt 	IN_TIME_DVS570 	01:00:46,00 --> 01:00:52,50 	the neon letters on the sign flicker, then glow steadily.
IRON_MAN_2.srt 	IRON_MAN_2_DVS38 	00:04:36,00 --> 00:04:40,50 	the tube glows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS268 	00:49:12,00 --> 00:49:18,50 	the reactor glows through someone's shirt.
IRON_MAN_2.srt 	IRON_MAN_2_DVS323 	00:58:14,00 --> 00:58:21,50 	with his eyes glowing, someone turns to the window and stares at the party-goers, who stand motionless.
IRON_MAN_2.srt 	IRON_MAN_2_DVS368 	01:09:51,00 --> 01:10:03,50 	standing beside someone, major allen and another man watch as someone removes the chest plate from the suit, then takes out the glowing arc reactor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS451 	01:22:58,00 --> 01:23:05,50 	glowing golf ball sized holographic dots radiating pulsing rings float around him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS508 	01:31:49,00 --> 01:31:55,50 	the arc reactor glows brighter and brighter.
IRON_MAN_2.srt 	IRON_MAN_2_DVS520 	01:34:09,00 --> 01:34:15,50 	eight drones with glowing faces rise at the front of stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS571 	01:39:42,00 --> 01:39:53,50 	the child raises his left arm, revealing a glowing light in his hand.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS320 	01:01:08,00 --> 01:01:14,50 	the light up display of someone's own smartphone glows through his kingly robe.
KARATE_KID.srt 	KARATE_KID_DVS273 	00:24:47,00 --> 00:24:56,50 	now, twin skyscrapers under construction stand silhouetted against a rising sun that glows through the smog.
