21_JUMP_STREET.srt 	21_JUMP_STREET_DVS26 	00:03:12,00 --> 00:03:18,50 	he gives the trashcan a kick then grabs his aching leg.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS43 	00:04:43,00 --> 00:04:47,50 	the teacher gives a thumbs up.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS166 	00:29:15,00 --> 00:29:20,50 	someone gives a perplexed shake of the head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS169 	00:29:30,00 --> 00:29:35,50 	she gives him a quiz and winks flirtatiously.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS204 	00:35:20,00 --> 00:35:28,50 	someone gives a spastic nod.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS213 	00:36:25,00 --> 00:36:30,50 	the coach starts to give the pass back, then pauses.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS279 	00:48:36,00 --> 00:48:42,50 	someone gives someone an enthusiastic hug.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS574 	01:29:54,00 --> 01:29:59,50 	someone gives a sneering nod.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS78 	00:20:32,00 --> 00:20:36,50 	the boss gives him an address.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS116 	00:30:15,00 --> 00:30:21,50 	she climbs in his car, giving him a view of her butt.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS185 	00:48:08,00 --> 00:48:14,50 	someone gives two sacks to someone, who tosses one to someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS244 	00:58:16,00 --> 00:58:20,50 	someone gives her a weak stomp.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS159 	01:21:22,00 --> 01:21:26,50 	she give him his lunch.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS194 	01:35:44,00 --> 01:35:50,50 	someone tugs on someone's ear, then gives a tightlipped nod.
