21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	someone shifts his frustrated gaze.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS538 	01:23:03,00 --> 01:23:09,50 	the boyish young man shifts his humbled gaze.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS266 	01:03:34,00 --> 01:03:40,50 	someone shifts his gaze then nods understandingly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS82 	00:06:22,00 --> 00:06:28,50 	someone's stony expression softens as he shifts his gaze.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS159 	00:14:40,00 --> 00:14:46,50 	shifting his gaze, someone's eyes linger on its protruding front end.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS285 	00:24:36,00 --> 00:24:44,50 	elsewhere, someone continues down a highway, shifting his glaring eyes between his mirror and the road.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS402 	00:37:05,00 --> 00:37:11,50 	someone shifts his exasperated gaze as his son helps someone to his feet and urges him onward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS779 	01:17:33,00 --> 01:17:41,50 	someone shifts his gaze between them.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS922 	01:28:48,00 --> 01:28:52,50 	someone shifts his weight and grimaces.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS445 	01:04:07,00 --> 01:04:13,50 	someone shifts his sorrowful gaze and someone heads out.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS568 	01:19:17,00 --> 01:19:22,50 	he shifts his gaze.
BAD_TEACHER.srt 	BAD_TEACHER_DVS60 	00:18:39,00 --> 00:18:45,50 	he shifts his baffled gaze.
BAD_TEACHER.srt 	BAD_TEACHER_DVS116 	00:30:56,00 --> 00:31:02,50 	shifting her bewildered gaze the student shrugs.
BAD_TEACHER.srt 	BAD_TEACHER_DVS301 	01:20:16,00 --> 01:20:22,50 	frowning, someone nervously shifts his eyes.
BLINDDATING.srt 	BLINDDATING_DVS44 	00:13:57,00 --> 00:14:03,50 	someone shifts his wide-eyed gaze.
BRUNO.srt 	BRUNO_DVS44 	00:08:13,00 --> 00:08:23,50 	someone swallows, and shifts his wounded gaze.
BRUNO.srt 	BRUNO_DVS52 	00:10:13,00 --> 00:10:31,50 	his script at his side, someone shifts his haunted wide-eyed gaze.
BRUNO.srt 	BRUNO_DVS218 	01:01:13,00 --> 01:01:22,50 	someone glances at robert, then shifts his eyes to someone and someone on his other side.
BURLESQUE.srt 	BURLESQUE_DVS271 	00:38:01,00 --> 00:38:06,50 	someone's eyes shift to her makeup,
BURLESQUE.srt 	BURLESQUE_DVS377 	00:52:10,00 --> 00:52:16,50 	someone shifts her gaze from coco to another dancer, who nods.
BURLESQUE.srt 	BURLESQUE_DVS721 	01:49:01,00 --> 01:49:07,50 	with her head tilted, someone shifts her gaze over his face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS295 	00:22:47,00 --> 00:22:53,50 	beside him, the teen shifts his intimidated gaze
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS381 	00:36:04,00 --> 00:36:08,50 	someone shifts his conflicted gaze.
