21_JUMP_STREET.srt 	21_JUMP_STREET_DVS130 	00:21:26,00 --> 00:21:30,50 	they go outside.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS250 	00:41:55,00 --> 00:42:03,50 	the other nerds go back to their game.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS288 	00:49:42,00 --> 00:49:46,50 	they go downstairs.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS349 	00:58:15,00 --> 00:58:19,50 	he goes to meet her.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS571 	01:29:14,00 --> 01:29:18,50 	someone goes limp.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS79 	00:20:50,00 --> 00:20:58,50 	the delivery guy goes to his car, starts the timer and drives out of the vito's pizza parking lot.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS315 	01:10:59,00 --> 01:11:04,50 	its headlights go dim and someone steps out.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS73 	00:09:50,00 --> 00:09:56,50 	someone goes back to work.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS195 	00:33:02,00 --> 00:33:07,50 	he strokes its head and lets it go.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS293 	00:53:45,00 --> 00:53:49,50 	and lets the balloon go.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS373 	01:07:43,00 --> 01:07:48,50 	clutching a present, someone goes inside.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS529 	01:26:54,00 --> 01:26:58,50 	she goes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS367 	00:33:58,00 --> 00:34:04,50 	as they go, someone dials a number on the borrowed cellphone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS525 	00:50:56,00 --> 00:51:08,50 	they pop up from behind the bar and shoot at the two remaining men, who go down in a storm of bullets.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS881 	01:25:57,00 --> 01:26:02,50 	as the truck swings wide, someone lets go.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS152 	00:18:56,00 --> 00:19:02,50 	someone starts to go.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS161 	00:21:22,00 --> 00:21:34,50 	with a polite smile, he goes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS287 	00:41:33,00 --> 00:41:55,50 	he lets go.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS322 	00:46:21,00 --> 00:46:37,50 	he goes to strike, but his arm stops mid-stab.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS449 	01:04:24,00 --> 01:04:30,50 	the boy goes to his namesake who kisses his cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS498 	01:10:09,00 --> 01:10:14,50 	someone starts to go then pauses in the doorway.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS599 	01:22:59,00 --> 01:23:03,50 	someone goes.
BAD_TEACHER.srt 	BAD_TEACHER_DVS38 	00:13:01,00 --> 00:13:08,50 	as he goes someone sips a cup of coffee.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS48 	00:06:13,00 --> 00:06:20,50 	the rapper's mic goes dead.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS50 	00:06:28,00 --> 00:06:34,50 	someone goes over to his stepfather with two friends.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS588 	01:32:51,00 --> 01:32:56,50 	the russian lets him go.
BLINDDATING.srt 	BLINDDATING_DVS255 	01:01:35,00 --> 01:02:02,50 	the floodlights on the ball field go out.
BLINDDATING.srt 	BLINDDATING_DVS351 	01:26:18,00 --> 01:26:24,50 	someone glares, someone goes to someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS462 	01:22:51,00 --> 01:22:57,50 	one by one, they let go of the handles and land on top of the train.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS167 	00:13:12,00 --> 00:13:19,50 	as another break hits someone, the board goes vertical and flips out of his hands.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS748 	01:14:07,00 --> 01:14:13,50 	"go deeper."
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS851 	01:23:50,00 --> 01:23:56,50 	yielding a smile, the teen goes to the table and sits.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1039 	01:40:20,00 --> 01:40:24,50 	the board goes vertical.
CHRONICLE.srt 	CHRONICLE_DVS119 	00:16:39,00 --> 00:16:45,50 	someone goes up for a high-five, but topples the legos instead.
CHRONICLE.srt 	CHRONICLE_DVS282 	00:43:18,00 --> 00:43:36,50 	the cards go flying and land in a scattered heap.
CHRONICLE.srt 	CHRONICLE_DVS311 	00:46:46,00 --> 00:46:50,50 	both go in.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS34 	00:07:53,00 --> 00:08:08,50 	as our view moves across the flower print wallpaper, the picture goes dark.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS91 	00:16:54,00 --> 00:16:59,50 	it goes unnoticed by someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS322 	01:20:25,00 --> 01:20:29,50 	his opponent goes for his face
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS476 	01:49:51,00 --> 01:49:55,50 	as someone goes to address his manager, halts his open mouth with his palm.
COLOMBIANA.srt 	COLOMBIANA_DVS518 	00:46:58,00 --> 00:47:04,50 	someone goes to a table, and puts down her things.
DEAR_JOHN.srt 	DEAR_JOHN_DVS207 	00:32:32,00 --> 00:32:41,50 	he goes outside and jogs down off the porch.
DEAR_JOHN.srt 	DEAR_JOHN_DVS243 	00:38:17,00 --> 00:38:23,50 	someone's dark-haired buddy goes through the newly receive mail.
DEAR_JOHN.srt 	DEAR_JOHN_DVS292 	00:45:17,00 --> 00:45:22,50 	someone goes to a stereo in the living room.
DEAR_JOHN.srt 	DEAR_JOHN_DVS329 	00:51:03,00 --> 00:51:07,50 	someone goes to the front door.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS44 	00:04:28,00 --> 00:04:32,50 	someone goes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS59 	00:08:16,00 --> 00:08:22,50 	someone goes after someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS63 	00:10:26,00 --> 00:10:32,50 	the two execs, someone and someone, go.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS93 	00:22:18,00 --> 00:22:25,50 	someone smiles at someone and goes after someone, someone, someone and the muellers.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS96 	00:23:10,00 --> 00:23:13,50 	someone goes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS97 	00:23:21,00 --> 00:23:24,50 	someone goes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS143 	00:33:01,00 --> 00:33:06,50 	she goes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS232 	00:58:30,00 --> 00:58:37,50 	someone goes into his bedroom.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS250 	01:00:57,00 --> 01:01:03,50 	someone picks up someone's mobile by mistake and goes out.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS296 	01:14:09,00 --> 01:14:13,50 	someone goes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS302 	01:15:42,00 --> 01:15:46,50 	he's gone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS315 	01:17:36,00 --> 01:17:41,50 	then goes into his workshop.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS341 	01:22:49,00 --> 01:22:54,50 	someone gestures to someone to go ahead.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS391 	01:35:15,00 --> 01:35:22,50 	someone eyes someone as he goes back in.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS418 	01:43:07,00 --> 01:43:12,50 	someone and someone go into someone's apartment.
DISTRICT_9.srt 	DISTRICT_9_DVS313 	00:34:32,00 --> 00:34:39,50 	the lights go on in the house.
DISTRICT_9.srt 	DISTRICT_9_DVS323 	00:35:31,00 --> 00:35:37,50 	someone goes off.
DISTRICT_9.srt 	DISTRICT_9_DVS544 	01:03:57,00 --> 01:04:01,50 	we go up to the mothership.
DISTRICT_9.srt 	DISTRICT_9_DVS629 	01:13:44,00 --> 01:13:52,50 	go, drive.
DISTRICT_9.srt 	DISTRICT_9_DVS777 	01:31:55,00 --> 01:31:59,50 	mercenaries' bodies go limp,
EASY_A.srt 	EASY_A_DVS85 	00:31:06,00 --> 00:31:10,50 	he goes to the bed.
FLIGHT.srt 	FLIGHT_DVS96 	00:16:54,00 --> 00:16:58,50 	her hand goes still, as feet appear under the door.
FLIGHT.srt 	FLIGHT_DVS246 	00:52:04,00 --> 00:52:11,50 	the large eye patch gone, and now stitches remain above his eye.
FLIGHT.srt 	FLIGHT_DVS527 	01:15:54,00 --> 01:15:59,50 	he goes to her, and they hug.
FLIGHT.srt 	FLIGHT_DVS883 	01:43:56,00 --> 01:44:01,50 	he picks up a can of coke, and goes over to the fridge.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS32 	00:08:58,00 --> 00:09:11,50 	he hands her an iced green tea beverage and goes inside.
