21_JUMP_STREET.srt 	21_JUMP_STREET_DVS267 	00:46:28,00 --> 00:46:33,50 	now, someone's parents leave the house.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS547 	01:24:33,00 --> 01:24:38,50 	she leaves and he shakes his head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS596 	01:32:42,00 --> 01:32:48,50 	now, someone notices the money bag gone and someone leaving.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS625 	01:34:32,00 --> 01:34:39,50 	as the gang limo leaves, the undercover cops race into the lot.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS647 	01:37:41,00 --> 01:37:47,50 	the cops leave their car passing a charred corpse.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS68 	00:15:44,00 --> 00:15:48,50 	he flips the bird and leaves.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS70 	00:16:11,00 --> 00:16:17,50 	someone flings leaves across the yard, then gathers more in his skimmer.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS233 	00:55:54,00 --> 00:56:00,50 	left alone, someone glances at the cell phone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS293 	01:06:58,00 --> 01:07:04,50 	he heads upstairs, leaving the wounded major on the floor.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS55 	00:28:31,00 --> 00:28:35,50 	leaves the woman with someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS132 	01:06:54,00 --> 01:07:01,50 	someone eyes him sternly then leaves the room.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS188 	01:33:56,00 --> 01:34:03,50 	as he leaves, someone buries her face in her hands outside
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS213 	01:42:32,00 --> 01:42:37,50 	he leaves the bathroom.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS78 	00:10:44,00 --> 00:10:49,50 	someone exits, leaving someone awestruck.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS327 	01:00:17,00 --> 01:00:21,50 	someone leaves.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS346 	01:03:16,00 --> 01:03:20,50 	they get up and leave the buffet car.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS394 	01:10:04,00 --> 01:10:08,50 	he puts down his drink and leaves,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS400 	01:10:36,00 --> 01:10:41,50 	just leaving someone as a black silhouette
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS453 	00:44:17,00 --> 00:44:22,50 	leaving his daughter, someone heads toward a window.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS102 	00:26:41,00 --> 00:26:46,50 	as someone laughs, leaves shoot out of his mouth.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS171 	00:32:28,00 --> 00:32:33,50 	someone glares at someone as he leaves,
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS177 	00:33:41,00 --> 00:33:46,50 	back at his house, leaves drop of the bodhi tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS394 	01:09:25,00 --> 01:09:33,50 	someone leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS446 	01:16:21,00 --> 01:16:26,50 	one of the last remaining bodhi leaves falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS457 	01:19:05,00 --> 01:19:11,50 	back at the house, several more bodhi leaves drop off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS458 	01:19:08,00 --> 01:19:13,50 	leaving only three left on the branch.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS458 	01:19:08,00 --> 01:19:13,50 	leaving only three left on the branch.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS472 	01:21:10,00 --> 01:21:16,50 	the last three leaves drop of the bodhi tree, leaving it completely bare.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS472 	01:21:10,00 --> 01:21:16,50 	the last three leaves drop of the bodhi tree, leaving it completely bare.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS42 	00:04:11,00 --> 00:04:17,50 	as someone heads inside, the shadow leaves the wall.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS53 	00:05:13,00 --> 00:05:20,50 	the priest heads off and someone follows leaving his wife alone in bed.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS89 	00:10:04,00 --> 00:10:10,50 	leaving, he steps over the body and ambles around a corner of the dock.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS176 	00:24:00,00 --> 00:24:12,50 	as joshua leaves, someone locks up then throws down his apron and hurries to action.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS345 	00:49:03,00 --> 00:49:09,50 	he carries her off leaving his ax behind.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS364 	00:51:40,00 --> 00:51:45,50 	someone leaves someone with a book.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS450 	01:04:28,00 --> 01:04:34,50 	beaming shyly, the little boy leaves with a jaunty stride.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS502 	01:10:57,00 --> 01:11:03,50 	leaving the room, he hands over a telegram order.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS632 	01:28:54,00 --> 01:29:18,50 	left behind, the railcar teeters over a ledge sending someone and someone sliding down its roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS633 	01:29:15,00 --> 01:29:34,50 	as what's left of the train races onward, the burning bridge collapses in its wake.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS634 	01:29:31,00 --> 01:29:41,50 	someone leaves the downed railcar.
BAD_TEACHER.srt 	BAD_TEACHER_DVS7 	00:04:35,00 --> 00:04:42,50 	someone struts inside leaving the double doors open.
BAD_TEACHER.srt 	BAD_TEACHER_DVS40 	00:14:29,00 --> 00:14:35,50 	she leaves.
BAD_TEACHER.srt 	BAD_TEACHER_DVS53 	00:17:16,00 --> 00:17:21,50 	the beefy man leaves the bathroom.
BAD_TEACHER.srt 	BAD_TEACHER_DVS92 	00:25:17,00 --> 00:25:23,50 	as she leaves someone grins at someone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS282 	01:16:44,00 --> 01:16:52,50 	the kids part for someone who makes her way past them, leaving someone staring sadly.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS53 	00:07:08,00 --> 00:07:12,50 	his friends leave.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS180 	00:31:07,00 --> 00:31:13,50 	someone glances at her peers, then eagerly leaves her seat.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS398 	01:04:49,00 --> 01:04:58,50 	someone leaves.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS533 	01:23:19,00 --> 01:23:25,50 	he forces her foot to the pedal and they leave her driving instructor behind.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS565 	01:28:27,00 --> 01:28:31,50 	he points, then leaves.
BLINDDATING.srt 	BLINDDATING_DVS47 	00:14:52,00 --> 00:14:58,50 	someone leaves.
BLINDDATING.srt 	BLINDDATING_DVS201 	00:50:18,00 --> 00:50:24,50 	now, someone leaves with a hand on someone's shoulder.
BLINDDATING.srt 	BLINDDATING_DVS276 	01:08:07,00 --> 01:08:21,50 	someone's pained gaze lingers on someone, then she leaves.
