A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS200 	00:17:27,00 --> 00:17:33,50 	someone emerges through the haze, gripping someone's handcuffs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS893 	01:26:37,00 --> 01:26:45,50 	positioning the chopper in front of the room, someone narrows her eyes and grips the weapon trigger.
BLINDDATING.srt 	BLINDDATING_DVS252 	01:00:51,00 --> 01:00:55,50 	she grips a shelving unit.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS42 	00:05:49,00 --> 00:05:56,50 	inside, a skeleton grips a crystalline cube measuring about six inches per side.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1117 	01:47:07,00 --> 01:47:13,50 	someone stands on the deck of the boat, griping the rail and watching.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS481 	01:50:17,00 --> 01:50:27,50 	she grips his shoulders and looks into his eyes.
COLOMBIANA.srt 	COLOMBIANA_DVS629 	00:59:22,00 --> 00:59:27,50 	gripping its edge, she slides it away.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS269 	00:42:05,00 --> 00:42:18,50 	pulling her out through the driver's side window, he dismounts his motorcycle and grips her by the arms.
GREEN_ZONE.srt 	GREEN_ZONE_DVS426 	01:34:01,00 --> 01:34:10,50 	the general runs, gripping a pistol.
HUGO.srt 	HUGO_DVS64 	00:08:31,00 --> 00:08:38,50 	gripping a someone club, the inspector runs out the other end of the cafe.
INSIDE_MAN.srt 	INSIDE_MAN_DVS424 	02:00:55,00 --> 02:01:12,50 	now, a bare chested young man sleeps on a couch gripping a liquor bottle.
IRON_MAN_2.srt 	IRON_MAN_2_DVS166 	00:31:18,00 --> 00:31:54,50 	as the whips drop from someone's sleeves, he grips their handles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS224 	01:05:46,00 --> 01:05:52,50 	she grips the phone thoughtfully then raises it to her ear.
KARATE_KID.srt 	KARATE_KID_DVS328 	00:29:36,00 --> 00:29:41,50 	someone bows her head and tightly grips her violin.
KARATE_KID.srt 	KARATE_KID_DVS506 	00:45:35,00 --> 00:45:51,50 	now, someone grips the boy's wrists in one hand, and draws back his fist to punch.
KARATE_KID.srt 	KARATE_KID_DVS603 	00:52:38,00 --> 00:52:46,50 	someone tensely grips someone's arm.
KARATE_KID.srt 	KARATE_KID_DVS1015 	01:22:48,00 --> 01:22:54,50 	someone steps back, gripping a bamboo pole in each hand.
KARATE_KID.srt 	KARATE_KID_DVS1207 	01:38:45,00 --> 01:38:51,50 	he grips the wheel and smiles woefully.
KARATE_KID.srt 	KARATE_KID_DVS1227 	01:40:32,00 --> 01:40:39,50 	someone slumps forward, his hands loosely gripping the wheel.
KARATE_KID.srt 	KARATE_KID_DVS1258 	01:42:13,00 --> 01:42:18,50 	gripping one pole in each hand, someone crouches.
KARATE_KID.srt 	KARATE_KID_DVS1262 	01:42:21,00 --> 01:42:28,50 	the teacher unloops one hand from a handle and wipes at his face again, then grips the poles and crouches low.
KARATE_KID.srt 	KARATE_KID_DVS1272 	01:43:00,00 --> 01:43:07,50 	now, the student grips the poles, allowing his teacher to pull his arms upward.
KARATE_KID.srt 	KARATE_KID_DVS1314 	01:46:02,00 --> 01:46:28,50 	his body dangles inside the corner as he grips rails above his head.
KARATE_KID.srt 	KARATE_KID_DVS1318 	01:46:38,00 --> 01:46:45,50 	gripping an upper rail, he lowers himself toward a lateral split across the gap.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS112 	00:35:59,00 --> 00:36:07,50 	someone grips someone's chin and turns his head to look at dozens of lizard-like creatures emerging from niches in the plaza wall.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS352 	01:21:51,00 --> 01:21:55,50 	someone grips off his palm.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS887 	01:29:36,00 --> 01:29:45,50 	the teen grips the edge and steadies himself.
PROMETHEUS.srt 	PROMETHEUS_DVS735 	01:19:21,00 --> 01:19:25,50 	she grips his shoulders.
