30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS329 	01:14:23,00 --> 01:14:28,50 	someone cocks his pistol.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS364 	00:33:31,00 --> 00:33:37,50 	someone cocks his head.
BAD_TEACHER.srt 	BAD_TEACHER_DVS321 	01:26:22,00 --> 01:26:28,50 	someone gapes then cocks her head.
BURLESQUE.srt 	BURLESQUE_DVS381 	00:53:07,00 --> 00:53:12,50 	with a smile, someone cocks his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS653 	01:02:47,00 --> 01:02:55,50 	as someone grabs onto the boat's diving step, its grizzled owner cocks a gun from the deck.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS406 	01:38:12,00 --> 01:38:16,50 	someone cocks an eyebrow.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS410 	01:39:18,00 --> 01:39:23,50 	he cocks his head and nods.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS436 	01:45:13,00 --> 01:45:17,50 	hat cocked stylishly on her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS558 	02:10:49,00 --> 02:10:53,50 	someone cock his arm back.
DISTRICT_9.srt 	DISTRICT_9_DVS779 	01:32:18,00 --> 01:32:28,50 	the sniper cocks his rifle and steers fixedly into its sight.
FLIGHT.srt 	FLIGHT_DVS738 	01:35:21,00 --> 01:35:25,50 	someone cocks his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS103 	00:16:02,00 --> 00:16:18,50 	the rider's head cocks erratically.
IN_TIME.srt 	IN_TIME_DVS668 	01:12:28,00 --> 01:12:32,50 	he cocks an eyebrow.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	someone cocks his head, then claims the upper hand, pinning his opponent's wrist to the table.
INSIDE_MAN.srt 	INSIDE_MAN_DVS173 	00:50:02,00 --> 00:50:07,50 	she cocks her head.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS206 	01:02:02,00 --> 01:02:07,50 	someone cocks an eyebrow.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS335 	01:47:22,00 --> 01:47:26,50 	he cocks his head patiently.
KARATE_KID.srt 	KARATE_KID_DVS326 	00:29:10,00 --> 00:29:19,50 	transfixed by the pretty young musician, someone steps out from behind the partition and cocks his head dreamily.
KARATE_KID.srt 	KARATE_KID_DVS618 	00:53:17,00 --> 00:53:22,50 	master someone cocks his head.
KNOCKED_UP.srt 	KNOCKED_UP_DVS21 	00:17:49,00 --> 00:17:53,50 	someone cocks her head.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS82 	00:21:02,00 --> 00:21:07,50 	with a wry look she cocks her head.
MORNING_GLORY.srt 	MORNING_GLORY_DVS300 	01:06:17,00 --> 01:06:21,50 	she cocks her head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS34 	00:04:59,00 --> 00:05:04,50 	someone cocks an eyebrow at his assistant.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS518 	01:01:50,00 --> 01:01:55,50 	she cocks her head at the unhatched egg.
PROMETHEUS.srt 	PROMETHEUS_DVS547 	01:01:04,00 --> 01:01:09,50 	someone  blinks at him and cocks her head.
PROMETHEUS.srt 	PROMETHEUS_DVS666 	01:12:15,00 --> 01:12:19,50 	someone cocks his head.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS269 	00:51:05,00 --> 00:51:13,50 	someone curiously cocks his head and someone stares at him calmly.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS368 	01:10:18,00 --> 01:10:22,50 	he cocks his head.
SUPER_8.srt 	SUPER_8_DVS403 	01:12:51,00 --> 01:12:55,50 	someone cocks the rifle.
SUPER_8.srt 	SUPER_8_DVS484 	01:23:28,00 --> 01:23:35,50 	someone cocks the rifle.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS92 	00:17:36,00 --> 00:17:40,50 	someone cocks his head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS162 	00:27:18,00 --> 00:27:23,50 	he cocks his head.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1116 	01:57:13,00 --> 01:57:18,50 	he cocks it and gestures at his knife block.
THE_VOW.srt 	THE_VOW_DVS553 	01:15:25,00 --> 01:15:30,50 	someone cocks his head and nods appreciatively.
THE_WATCH.srt 	THE_WATCH_DVS430 	01:19:08,00 --> 01:19:12,50 	she cocks a handgun.
THOR.srt 	THOR_DVS434 	01:09:13,00 --> 01:09:18,50 	someone cocks his head to one side.
TRUE_GRIT.srt 	TRUE_GRIT_DVS244 	00:50:35,00 --> 00:50:40,50 	someone cocks his head, curiously.
TRUE_GRIT.srt 	TRUE_GRIT_DVS473 	01:31:42,00 --> 01:31:47,50 	someone limply points and cocks his pistol.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS333 	00:48:32,00 --> 00:48:36,50 	someone cocks his head.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS425 	00:37:21,00 --> 00:37:26,50 	the man in black steps closer, his head cocked.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS440 	00:38:50,00 --> 00:38:55,50 	someone skeptically cocks her head.
