21_JUMP_STREET.srt 	21_JUMP_STREET_DVS124 	00:19:50,00 --> 00:19:54,50 	she answers the door.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS227 	00:54:11,00 --> 00:54:15,50 	he answers his cellphone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS249 	00:58:51,00 --> 00:58:56,50 	someone hands someone a mirror, then answers his cellphone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS117 	01:02:24,00 --> 01:02:31,50 	inside his empty apartment, someone answers the door.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS288 	00:53:10,00 --> 00:53:14,50 	someone answers his phone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS409 	01:11:29,00 --> 01:11:34,50 	inside he untapes the phone and answers it.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS41 	00:04:14,00 --> 00:04:20,50 	someone eyes his phone, then answers an incoming call.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS62 	00:10:10,00 --> 00:10:14,50 	someone answers his phone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS621 	01:36:21,00 --> 01:36:26,50 	outside, someone answers his phone.
COLOMBIANA.srt 	COLOMBIANA_DVS671 	01:02:54,00 --> 01:02:59,50 	with a scowl, someone answers his phone.
COLOMBIANA.srt 	COLOMBIANA_DVS929 	01:29:29,00 --> 01:29:35,50 	someone smiles behind his back as he answers his cell.
COLOMBIANA.srt 	COLOMBIANA_DVS1068 	01:40:03,00 --> 01:40:07,50 	he answers a phone on the van's dash.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS52 	00:32:05,00 --> 00:32:12,50 	someone answers his cell.
GREEN_ZONE.srt 	GREEN_ZONE_DVS320 	01:11:54,00 --> 01:11:58,50 	he answers his satellite phone.
IN_TIME.srt 	IN_TIME_DVS591 	01:03:11,00 --> 01:03:16,50 	meanwhile, someone answers his phone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS396 	01:53:09,00 --> 01:53:15,50 	back in the supply room, someone answers his.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS90 	00:26:46,00 --> 00:26:51,50 	someone answers his cell.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS250 	01:10:51,00 --> 01:10:55,50 	someone answers his cell.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS333 	01:34:58,00 --> 01:35:02,50 	she answers her cell.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS314 	01:39:38,00 --> 01:39:43,50 	someone answers a bedside phone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS120 	01:10:49,00 --> 01:10:53,50 	someone answers the phone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS87 	00:21:48,00 --> 00:21:53,50 	he answers his cell.
MORNING_GLORY.srt 	MORNING_GLORY_DVS387 	01:24:58,00 --> 01:25:03,50 	the governor answers the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS124 	00:19:51,00 --> 00:19:55,50 	now he answers his door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS184 	00:25:43,00 --> 00:25:49,50 	now he answers the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS442 	00:51:53,00 --> 00:51:58,50 	now, someone answers the door for her and someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS455 	00:53:51,00 --> 00:53:55,50 	he answers his cell.
