40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS195 	01:36:08,00 --> 01:36:18,50 	sitting beside him with a beer in his hands, someone furrows his brow.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS209 	00:40:15,00 --> 00:40:22,50 	he arches his eyebrows and opens his mouth as if to speak, then furrows his brow.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS442 	01:15:55,00 --> 01:16:00,50 	someone furrows his brow as he stares straight ahead.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS426 	01:00:16,00 --> 01:00:23,50 	craning her neck, tubman regards the newcomers with a furrowed brow.
BRUNO.srt 	BRUNO_DVS51 	00:10:02,00 --> 00:10:06,50 	someone's brow furrows.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS510 	01:31:46,00 --> 01:31:52,50 	everyone turns to someone who gazes ahead with a furrowed brow.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS632 	01:46:30,00 --> 01:46:36,50 	someone blinks, then furrows her brow, and presses her lips together.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS664 	01:51:47,00 --> 01:51:54,50 	furrowing his brow, someone stares at her, then glances toward a sunlit window.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS146 	00:11:50,00 --> 00:11:55,50 	with a furrowed brow, someone heads down to the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS313 	00:26:19,00 --> 00:26:26,50 	someone stares as his wife with a furrowed brow, then concedes a small nod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS399 	00:37:12,00 --> 00:37:18,50 	someone's brow furrows sadly as he flips through them.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS617 	00:59:13,00 --> 00:59:18,50 	his brow furrowed, he gives a nod.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS783 	01:17:50,00 --> 01:17:56,50 	his brow furrowed, the older man turns his face toward the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS861 	01:24:42,00 --> 01:24:46,50 	her brow furrowed, someone holds him tight.
CHRONICLE.srt 	CHRONICLE_DVS442 	01:04:16,00 --> 01:04:21,50 	his brow furrowed, he hangs his head and swallows.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS373 	01:32:03,00 --> 01:32:09,50 	furrowing his brow, someone trades look with his fighter.
COLOMBIANA.srt 	COLOMBIANA_DVS267 	00:22:17,00 --> 00:22:23,50 	his fist stops mid punch and his brow furrows.
COLOMBIANA.srt 	COLOMBIANA_DVS304 	00:26:07,00 --> 00:26:12,50 	his brow furrowed, he plants his hands on the table
COLOMBIANA.srt 	COLOMBIANA_DVS481 	00:42:32,00 --> 00:42:38,50 	he looks up with a furrowed brow at the sizable vent cover
DEAR_JOHN.srt 	DEAR_JOHN_DVS415 	01:03:05,00 --> 01:03:11,50 	sitting on a crate, someone furrows his brow thoughtfully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS548 	01:17:33,00 --> 01:17:42,50 	his brow furrowed, someone spots a cot in the corridor, and strides toward it to find his father.
FLIGHT.srt 	FLIGHT_DVS1251 	02:11:43,00 --> 02:11:47,50 	someone's brow furrows, then he smiles.
