21_JUMP_STREET.srt 	21_JUMP_STREET_DVS116 	00:16:56,00 --> 00:17:02,50 	passing the chapels few remaining pews he approaches the alter
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS179 	00:30:34,00 --> 00:30:42,50 	he circles the remaining answers at random then steps up behind the teacher to turn in his quiz.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS203 	00:51:07,00 --> 00:51:13,50 	the datsun peels out with the remaining police car on its tail.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS116 	00:24:20,00 --> 00:24:25,50 	he remains, staring after her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS228 	00:42:29,00 --> 00:42:34,50 	someone remains sitting thoughtfully on the bleachers.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS145 	00:13:43,00 --> 00:13:48,50 	someone remains still with his brow tense,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS181 	00:16:10,00 --> 00:16:17,50 	the three sedans remain still as the court session continues inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS487 	00:47:31,00 --> 00:47:38,50 	someone chucks the remaining carrot aside, then launches into a soft shoe dance.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS520 	00:50:25,00 --> 00:50:30,50 	the remaining thugs pelt it with bullets.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS525 	00:50:56,00 --> 00:51:08,50 	they pop up from behind the bar and shoot at the two remaining men, who go down in a storm of bullets.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS912 	01:27:52,00 --> 01:27:58,50 	a giant cloud of black smoke rises from the blazing remains.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS394 	01:09:25,00 --> 01:09:33,50 	outside on the bodhi tree, only a single branch still has leaves remaining.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS470 	01:20:56,00 --> 01:21:02,50 	the bodhi tree's three remaining leaves flutter in a breeze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS60 	00:06:08,00 --> 00:06:14,50 	the boy's gaze remains fixed on the open journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS90 	00:10:09,00 --> 00:10:15,50 	someone glances back at someone who remains flat on his back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	as the remaining bridge buckles, the locomotive struggles to climb the increasingly inclined track.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS648 	01:31:45,00 --> 01:31:53,50 	the president helps his mentor to his feet, then they both remain hunched over, catching their breath.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS497 	01:19:41,00 --> 01:19:48,50 	as the kiss ends, the two lovebirds remain close, their lips inches apart.
BLINDDATING.srt 	BLINDDATING_DVS144 	00:39:06,00 --> 00:39:19,50 	someone eyes blink open and her lips remain parted.
BLINDDATING.srt 	BLINDDATING_DVS177 	00:46:10,00 --> 00:46:18,50 	remains motionless on the bench.
BURLESQUE.srt 	BURLESQUE_DVS238 	00:34:25,00 --> 00:34:30,50 	someone remains watchful.
BURLESQUE.srt 	BURLESQUE_DVS752 	01:53:43,00 --> 01:53:53,50 	remaining opening titles: dianna agron,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS644 	01:48:18,00 --> 01:48:25,50 	scarring the landscape, deep furrows run toward the remains of the crashed plane.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS389 	00:36:46,00 --> 00:36:51,50 	she remains curled up on her belly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS841 	01:23:04,00 --> 01:23:12,50 	now in his room, someone uses a blue marker to fill the remaining empty space in the miles bar on his poster of training goals.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1091 	01:43:55,00 --> 01:44:00,50 	only a handful of surfers remain in the water.
CHRONICLE.srt 	CHRONICLE_DVS344 	00:51:55,00 --> 00:52:03,50 	as the retired firefighter catches his breath lying face down, someone remains standing.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS173 	00:36:58,00 --> 00:37:06,50 	someone remains by the wood stove.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS245 	01:01:34,00 --> 01:01:44,50 	lying on their backs, their eyes remain wide open.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS281 	01:07:43,00 --> 01:07:48,50 	the door remains shut.
