40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS91 	00:47:29,00 --> 00:47:36,50 	someone shows a customer a tv displaying close-ups of butterflies.
CHRONICLE.srt 	CHRONICLE_DVS158 	00:23:55,00 --> 00:23:59,50 	someone displays his unharmed hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS80 	00:14:51,00 --> 00:14:57,50 	another sign mounted below the window displays the coca cola logo.
COLOMBIANA.srt 	COLOMBIANA_DVS670 	01:02:46,00 --> 01:02:54,50 	a photo displays the bloody swimming pool and a caption reads, "sharks eat shark."
DISTRICT_9.srt 	DISTRICT_9_DVS239 	00:26:36,00 --> 00:26:45,50 	inside another shack, the little alien stands at a table where device displays a hologram of the solar system.
DISTRICT_9.srt 	DISTRICT_9_DVS710 	01:23:24,00 --> 01:23:38,50 	the energy panel expands and displays the mothership.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	it displays a document titled, falsification of wmd intel, the truth about magellan.
IN_TIME.srt 	IN_TIME_DVS222 	00:23:37,00 --> 00:23:46,50 	someone glances around, then slides up the sleeve of his charcoal suit jacket and the black dress shirt underneath, displaying the balance on his clock.
IN_TIME.srt 	IN_TIME_DVS264 	00:26:56,00 --> 00:27:10,50 	now, in a stark building, someone and a blond timekeeper watch surveillance footage of someone on the bridge, while someone eyes a continually changing screen displaying time per capita in each zone.
IN_TIME.srt 	IN_TIME_DVS288 	00:29:31,00 --> 00:29:36,50 	a female timekeeper displays a photo.
IN_TIME.srt 	IN_TIME_DVS333 	00:34:29,00 --> 00:34:40,50 	someone checks his clock which now displays a minute and fifteen seconds less.
IN_TIME.srt 	IN_TIME_DVS643 	01:08:48,00 --> 01:08:56,50 	someone eyes a wall-sized digital map which displays the world's time zones.
IN_TIME.srt 	IN_TIME_DVS834 	01:28:20,00 --> 01:28:27,50 	where a digital sign on a storefront displays the time lender's loan rate.
IN_TIME.srt 	IN_TIME_DVS969 	01:41:54,00 --> 01:42:02,50 	setting his gun on a table, he heads away past a poster kiosk which displays photos of someone and someone.
