21_JUMP_STREET.srt 	21_JUMP_STREET_DVS531 	01:22:36,00 --> 01:22:40,50 	he returns to his mirror.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS136 	01:09:01,00 --> 01:09:08,50 	as she eyes him seductively, someone returns an uneasy stare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS243 	00:20:10,00 --> 00:20:24,50 	returning to the street, it sideswipes a car.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS574 	00:58:19,00 --> 00:58:24,50 	someone returns his gaze glumly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS613 	01:03:26,00 --> 01:03:33,50 	he returns his gaze to the power plant, where men work frantically and dart about the facility.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS39 	00:10:02,00 --> 00:10:09,50 	someone checks his phone then returns it to his jacket pocket.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS253 	00:48:14,00 --> 00:48:19,50 	at the front desk, the woman returns someone's driver's license.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS48 	00:04:41,00 --> 00:04:48,50 	on returning his attention to her bedside, he finds someone gaze on him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS272 	00:39:19,00 --> 00:39:24,50 	returning from a corral, someone throws down a pitchfork.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS448 	01:04:18,00 --> 01:04:25,50 	turning around, he returns to his father's desk and kisses his sunken cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS507 	01:11:27,00 --> 01:11:31,50 	someone returns a goblet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS569 	01:19:25,00 --> 01:19:35,50 	a net of chains rattles over someone's head as he returns the gaze with a faint smile.
BAD_TEACHER.srt 	BAD_TEACHER_DVS207 	00:57:33,00 --> 00:57:43,50 	now, she returns to the office finding someone semi reclined on the desk.
BAD_TEACHER.srt 	BAD_TEACHER_DVS243 	01:06:50,00 --> 01:06:55,50 	someone returns someone's smile.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS492 	01:18:13,00 --> 01:18:18,50 	later, they return to the dorm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS630 	01:37:25,00 --> 01:37:31,50 	they return to the main floor.
BLINDDATING.srt 	BLINDDATING_DVS159 	00:41:32,00 --> 00:41:41,50 	someone's fingers cradle her face as he returns the passionate
BURLESQUE.srt 	BURLESQUE_DVS94 	00:10:36,00 --> 00:10:44,50 	then she returns her eyes to the stage where the dancers shake their hips.
BURLESQUE.srt 	BURLESQUE_DVS272 	00:38:03,00 --> 00:38:07,50 	then return to the photo.
BURLESQUE.srt 	BURLESQUE_DVS420 	00:57:56,00 --> 00:58:00,50 	he returns to the door.
BURLESQUE.srt 	BURLESQUE_DVS589 	01:27:22,00 --> 01:27:28,50 	as he returns to the bedroom, she checks him out again.
BURLESQUE.srt 	BURLESQUE_DVS598 	01:28:12,00 --> 01:28:16,50 	he returns to the bedroom.
BURLESQUE.srt 	BURLESQUE_DVS708 	01:47:49,00 --> 01:47:54,50 	then returns to her makeup.
BURLESQUE.srt 	BURLESQUE_DVS728 	01:49:54,00 --> 01:50:00,50 	he clutches her shoulders, returning the embrace.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS687 	01:07:07,00 --> 01:07:12,50 	someone returns his solemn gaze to the sky.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS734 	01:13:08,00 --> 01:13:14,50 	someone faces blond who returns his gaze remorselessly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS952 	01:33:27,00 --> 01:33:33,50 	the two men return to the side of the van where someone prepares his wetsuit.
CHRONICLE.srt 	CHRONICLE_DVS57 	00:06:43,00 --> 00:06:49,50 	bracing himself on the desk, he returns to his chair.
CHRONICLE.srt 	CHRONICLE_DVS63 	00:07:12,00 --> 00:07:19,50 	someone returns his camera to someone, then videotapes several teens heading inside.
CHRONICLE.srt 	CHRONICLE_DVS65 	00:07:34,00 --> 00:07:47,50 	the camera catches a glimpse of a jumping girl's breasts, then returns to the chaos of the crowd.
CHRONICLE.srt 	CHRONICLE_DVS356 	00:54:26,00 --> 00:54:32,50 	the camera view rose to someone who returns a stoic look.
CHRONICLE.srt 	CHRONICLE_DVS416 	01:01:46,00 --> 01:01:52,50 	returning to the first thug, he takes his money, too.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS49 	00:09:42,00 --> 00:09:58,50 	now he returns to the basement apartment.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS520 	02:02:09,00 --> 02:02:13,50 	someone returns two jabs.
COLOMBIANA.srt 	COLOMBIANA_DVS64 	00:04:17,00 --> 00:04:21,50 	he returns to his seat.
COLOMBIANA.srt 	COLOMBIANA_DVS180 	00:15:45,00 --> 00:15:53,50 	returning to the ground, he looks down a staircase and sees the beefy thug peering around the corner of a building.
COLOMBIANA.srt 	COLOMBIANA_DVS183 	00:16:05,00 --> 00:16:09,50 	the gunmen return to the alley.
COLOMBIANA.srt 	COLOMBIANA_DVS293 	00:24:31,00 --> 00:24:37,50 	mama leads her to the kitchen table then returns to the stove.
COLOMBIANA.srt 	COLOMBIANA_DVS383 	00:34:32,00 --> 00:34:39,50 	next, she returns to the cabinet and balances the spoon in the circuit breaker.
COLOMBIANA.srt 	COLOMBIANA_DVS936 	01:30:34,00 --> 01:30:42,50 	he peers cautiously out the window then returns to the desk, takes his file, and goes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS317 	00:48:57,00 --> 00:49:02,50 	someone walks off, then returns to the sitting room.
DEAR_JOHN.srt 	DEAR_JOHN_DVS332 	00:51:18,00 --> 00:51:25,50 	someone glances at someone, rolls his eyes, then returns to the car.
