30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS117 	00:30:49,00 --> 00:30:54,50 	someone's sitting on a toilet fully clothed.
BAD_TEACHER.srt 	BAD_TEACHER_DVS244 	01:06:55,00 --> 01:07:13,50 	the otherwise fully clothed someone writhes atop of someone's clothes prone body.
HUGO.srt 	HUGO_DVS135 	00:17:46,00 --> 00:17:52,50 	as the light flickers, clothes materialize on the metallic man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS48 	00:13:06,00 --> 00:13:19,50 	a brunette woman clad in pastels acknowledges a valet as she crosses toward a lone figure at a full-length window.
INSIDE_MAN.srt 	INSIDE_MAN_DVS79 	00:19:39,00 --> 00:19:52,50 	at the end of the line, a chunky older woman, still clothed, scowls at him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS136 	00:42:43,00 --> 00:42:56,50 	fully clothed someone puts his phone in his pocket, steps out of the shower, and shuts its glass door.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS146 	00:29:45,00 --> 00:29:52,50 	he takes another look at his sister who sleeps soundly atop the covers, fully clothed.
KARATE_KID.srt 	KARATE_KID_DVS389 	00:34:43,00 --> 00:34:51,50 	he finds his mother adoring a dozen young boys and girls clad in red gis.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS207 	01:14:55,00 --> 01:14:59,50 	his legs clad in white pants.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS570 	01:43:12,00 --> 01:43:17,50 	fully clothed, he behind her with his arm around her
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS273 	01:04:33,00 --> 01:04:42,50 	now in a park, someone drops his hip clothes into a trashcan then joins his grandson on a nearby bench.
PROMETHEUS.srt 	PROMETHEUS_DVS187 	00:12:55,00 --> 00:13:05,50 	on illuminated floor panels, a soaking wet woman clad in bandage-like undergarments does push-ups with a determined stare.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS131 	00:22:22,00 --> 00:22:27,50 	someone jumps in after her, fully clothed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1286 	01:27:35,00 --> 01:27:42,50 	it features her and someone as teenagers clad in their matching red track suits.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS431 	01:21:14,00 --> 01:21:23,50 	he pops a candy into his mouth and climbs into bed fully clothed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS722 	01:19:51,00 --> 01:20:02,50 	with a brilliant flash of light, someone's hockey uniform vanishes, leaving him clad in his satiny tunic and tights.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS261 	00:25:03,00 --> 00:25:08,50 	now clothed, her neighbor smiles.
