21_JUMP_STREET.srt 	21_JUMP_STREET_DVS428 	01:11:37,00 --> 01:11:41,50 	someone catches up with him.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS358 	01:05:03,00 --> 01:05:07,50 	someone catches it and someone grins.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS146 	00:17:58,00 --> 00:18:12,50 	someone catches it and splits a tree trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS184 	00:25:04,00 --> 00:25:17,50 	the vampire hunter plunges through and a rope snare catches him around the ankle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS191 	00:26:05,00 --> 00:26:13,50 	he catches it in his feet then slashes the vampire's throat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS202 	00:27:39,00 --> 00:27:46,50 	from across the room, someone catches his gaze as she ignores her chattering fiance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS404 	00:58:27,00 --> 00:58:39,50 	he and someone catch up to the carriage and climb on to the back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS617 	01:26:53,00 --> 01:27:15,50 	someone catches someone's arm then flips him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS648 	01:31:45,00 --> 01:31:53,50 	the president helps his mentor to his feet, then they both remain hunched over, catching their breath.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS227 	00:37:40,00 --> 00:37:47,50 	he jogs over to a couch with the back of his skirt caught in the girdle.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS613 	01:35:21,00 --> 01:35:26,50 	someone catches up to her.
BLINDDATING.srt 	BLINDDATING_DVS267 	01:05:37,00 --> 01:05:47,50 	someone hurries to catch up as he exits.
BRUNO.srt 	BRUNO_DVS150 	00:37:41,00 --> 00:37:45,50 	someone catches up to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS242 	00:42:06,00 --> 00:42:14,50 	someone pilots the craft into deeper water, but someone catches up and punches through its glass canopy.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS287 	00:21:59,00 --> 00:22:05,50 	as someone catches his breath, the older man regards him gravely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS418 	00:39:21,00 --> 00:39:29,50 	someone tries to regroup with his board but another wave catches him off guard and sweeps him back toward the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS510 	00:49:48,00 --> 00:49:53,50 	someone's surfing buddy catches a towering wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS768 	01:16:33,00 --> 01:16:38,50 	catching sight of someone, he bites his lip.
CHRONICLE.srt 	CHRONICLE_DVS345 	00:52:00,00 --> 00:52:05,50 	his shoulders heave as he catches his own breath.
CHRONICLE.srt 	CHRONICLE_DVS459 	01:07:21,00 --> 01:07:26,50 	he catches mr.
COLOMBIANA.srt 	COLOMBIANA_DVS1025 	01:37:10,00 --> 01:37:17,50 	she releases the weapon, catches it in her other hand, and points at him again.
DEAR_JOHN.srt 	DEAR_JOHN_DVS145 	00:23:21,00 --> 00:23:34,50 	he finally catches her in his arms.
EASY_A.srt 	EASY_A_DVS13 	00:02:57,00 --> 00:03:01,50 	the teacher catches a boy with a joint.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS327 	00:49:53,00 --> 00:49:58,50 	riding a motorbike, someone catches up to them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS337 	00:50:59,00 --> 00:51:12,50 	now someone's motorcycle catches up to someone again.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	someone catches his wrist then vanishes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS533 	01:15:53,00 --> 01:16:03,50 	someone catches it easily and forces it down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS576 	01:23:07,00 --> 01:23:32,50 	the rider's flames catch on his long stringy hair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	ghost rider's skull snaps around, catching sight of someone's suv ahead.
GREEN_ZONE.srt 	GREEN_ZONE_DVS32 	00:07:53,00 --> 00:08:02,50 	we catch glimpses of a dusty floor and machinery.
IN_TIME.srt 	IN_TIME_DVS205 	00:21:28,00 --> 00:21:39,50 	he catches her.
IN_TIME.srt 	IN_TIME_DVS254 	00:26:06,00 --> 00:26:15,50 	as he strolls to the door, his gaze catches a young woman with chin length auburn hair and large blue eyes.
IN_TIME.srt 	IN_TIME_DVS758 	01:20:11,00 --> 01:20:18,50 	on board, someone and someone fall into a pair of unoccupied seats and catch their breath.
IRON_MAN_2.srt 	IRON_MAN_2_DVS194 	00:36:07,00 --> 00:36:21,50 	someone flings one whip at iron man, who catches it.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS339 	01:35:56,00 --> 01:36:02,50 	someone catches someone's eye and mouths, i'm so happy.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS126 	00:45:59,00 --> 00:46:04,50 	he wags his tongue, and someone catches it.
KARATE_KID.srt 	KARATE_KID_DVS217 	00:18:36,00 --> 00:18:46,50 	he swings, but the skilled fighter catches his arm.
KARATE_KID.srt 	KARATE_KID_DVS509 	00:46:09,00 --> 00:46:21,50 	he catches a third boy's leg in the sleeve, then guides his foot into someone's chest.
KARATE_KID.srt 	KARATE_KID_DVS597 	00:52:24,00 --> 00:52:29,50 	the instructor leaps off the platform and catches up to them.
