21_JUMP_STREET.srt 	21_JUMP_STREET_DVS282 	00:48:55,00 --> 00:49:00,50 	he passes it off to the nerds and follows.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS387 	01:05:39,00 --> 01:05:44,50 	later, someone follows his partner out of the church.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS439 	01:13:03,00 --> 01:13:10,50 	followed by emoticons.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS540 	01:23:35,00 --> 01:23:47,50 	someone follows in matching attire holding a cardboard box marked doves.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS540 	01:23:35,00 --> 01:23:47,50 	someone steps out wearing a top hat, followed by someone and the red-haired nerd.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS559 	01:26:29,00 --> 01:26:35,50 	as a few others follow, someone and someone keep a low profile.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS581 	01:31:11,00 --> 01:31:15,50 	someone starts to follow.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS628 	01:34:51,00 --> 01:34:58,50 	the bikers black limo follows and the cops white limo brings up the rear.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS640 	01:36:15,00 --> 01:36:22,50 	following them into an alley, the white limo stops.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS173 	00:45:09,00 --> 00:45:17,50 	the maroon datsun drives off and the old beige van follows.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS205 	00:51:17,00 --> 00:51:23,50 	the police car follows but gets t-boned by a crossing dump truck.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS49 	00:23:13,00 --> 00:23:22,50 	someone follows her to the door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS147 	00:28:01,00 --> 00:28:09,50 	someone follows.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS342 	01:02:47,00 --> 01:02:52,50 	someone follows someone to the buffet car.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS453 	01:17:43,00 --> 01:17:48,50 	someone follows her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS462 	01:18:21,00 --> 01:18:26,50 	someone follows someone out of the shop.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS54 	00:04:02,00 --> 00:04:10,50 	at waist level, we follow him as he walks past a scantily clad woman and into the kitchen.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS216 	00:18:26,00 --> 00:18:31,50 	the woman follows the dark-haired man outside.
