21_JUMP_STREET.srt 	21_JUMP_STREET_DVS278 	00:48:12,00 --> 00:48:20,50 	one of the nerds uses ms.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS433 	01:12:12,00 --> 01:12:27,50 	using a tennis racket, someone hits a golf ball into his head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS650 	01:37:56,00 --> 01:38:01,50 	he uses someone as a human shield.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS44 	00:08:25,00 --> 00:08:29,50 	using his car key, he pops it.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS485 	01:20:14,00 --> 01:20:19,50 	using chalks and a long ruler,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS47 	00:03:34,00 --> 00:03:39,50 	the young man uses a payphone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS165 	00:15:06,00 --> 00:15:13,50 	using a rounded mirror on a pole, a soldier checks the underside of the first sedan,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS297 	00:25:46,00 --> 00:26:05,50 	on another street, someone zips through traffic, using both sides of the road.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS339 	00:30:53,00 --> 00:30:57,50 	on a walkway, someone uses a phone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS356 	00:31:36,00 --> 00:31:40,50 	someone uses a cellphone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS719 	01:12:47,00 --> 01:12:52,50 	using a walk behind electric forklift,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS801 	01:20:24,00 --> 01:20:28,50 	someone uses the radio.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS193 	00:26:22,00 --> 00:26:30,50 	using his hand, someone wipes it away with a horrified expression.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS196 	00:26:47,00 --> 00:26:56,50 	in the general store, someone uses a hand mirror as he applies sap to a swollen bruise on his cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	using the horse like a track and field hammer, he hurls it at his enemy knocking him to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS455 	01:05:17,00 --> 01:05:24,50 	now in the white house, a maid uses a feather duster on a clock.
BAD_TEACHER.srt 	BAD_TEACHER_DVS52 	00:16:47,00 --> 00:16:52,50 	she uses a phone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS84 	00:23:14,00 --> 00:23:23,50 	someone waves him into a stall, then uses a urinal like a chair.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS610 	01:35:12,00 --> 01:35:16,50 	someone spots him and uses his phone.
BLINDDATING.srt 	BLINDDATING_DVS281 	01:10:40,00 --> 01:10:51,50 	in the or, gloved hands use a trimmer to shave the hair above someone's right ear.
BLINDDATING.srt 	BLINDDATING_DVS282 	01:10:49,00 --> 01:10:54,50 	someone uses his cell phone.
BRUNO.srt 	BRUNO_DVS20 	00:04:16,00 --> 00:04:20,50 	diesel uses an exercise.
BURLESQUE.srt 	BURLESQUE_DVS288 	00:39:54,00 --> 00:40:00,50 	someone uses a large soft brush to apply rouge to someone's cheeks.
BURLESQUE.srt 	BURLESQUE_DVS291 	00:40:13,00 --> 00:40:20,50 	with a faint smile, someone uses another brush to paint lipstick onto someone's parted lips.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS217 	00:17:34,00 --> 00:17:40,50 	using a pen on notepaper, he adds intricate detail to the drawing.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS412 	00:38:57,00 --> 00:39:04,50 	using his arms, someone pushes up and floats over the crest of a modest wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS841 	01:23:04,00 --> 01:23:12,50 	now in his room, someone uses a blue marker to fill the remaining empty space in the miles bar on his poster of training goals.
CHRONICLE.srt 	CHRONICLE_DVS472 	01:08:27,00 --> 01:08:35,50 	floating nearby, someone uses his power to blast out the windshield and suck someone from the car.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS241 	00:58:43,00 --> 00:58:50,50 	in the locker room, someone uses a spoon to finish the hash.
COLOMBIANA.srt 	COLOMBIANA_DVS95 	00:07:29,00 --> 00:07:39,50 	the beefy man in the passenger seat uses a radio.
COLOMBIANA.srt 	COLOMBIANA_DVS212 	00:18:14,00 --> 00:18:22,50 	wiping her mouth, she settles back into her seat and uses one finger to poke around the vomit.
COLOMBIANA.srt 	COLOMBIANA_DVS740 	01:10:13,00 --> 01:10:19,50 	now someone strides down an aisle in a used book store.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS394 	01:36:33,00 --> 01:36:42,50 	someone uses his tie as a shield.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS396 	01:36:47,00 --> 01:36:59,50 	someone leaps using the back of a chair as support.
DISTRICT_9.srt 	DISTRICT_9_DVS141 	00:16:39,00 --> 00:16:43,50 	he uses a radio.
DISTRICT_9.srt 	DISTRICT_9_DVS453 	00:51:15,00 --> 00:51:23,50 	using two fingers, he shovels the moist cat food into his mouth.
DISTRICT_9.srt 	DISTRICT_9_DVS775 	01:31:43,00 --> 01:31:47,50 	as the mercenaries fire, someone uses a piece of metal as a shield.
EASY_A.srt 	EASY_A_DVS179 	00:56:41,00 --> 00:56:48,50 	someone uses a wooden cross to edge it away.
EASY_A.srt 	EASY_A_DVS181 	00:57:02,00 --> 00:57:08,50 	later she uses her cellphone.
EASY_A.srt 	EASY_A_DVS186 	00:57:31,00 --> 00:57:37,50 	now micah uses his cell.
FLIGHT.srt 	FLIGHT_DVS175 	00:38:47,00 --> 00:38:52,50 	he quickly limps down the hall, using a cane.
FLIGHT.srt 	FLIGHT_DVS218 	00:48:18,00 --> 00:48:24,50 	using a cane for support, he strides into the bathroom, and dumps the pills down the toilet.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS20 	00:05:22,00 --> 00:05:28,50 	in a hired car, someone uses her cell.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS361 	01:36:16,00 --> 01:36:21,50 	now someone uses his phone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	shadowy corridor, he uses a flashlight.
GREEN_ZONE.srt 	GREEN_ZONE_DVS338 	01:16:11,00 --> 01:16:17,50 	the chief studies him quizzically then uses his radio.
GREEN_ZONE.srt 	GREEN_ZONE_DVS421 	01:33:29,00 --> 01:33:34,50 	in a room, the aide uses a radio.
GROWN_UPS.srt 	GROWN_UPS_DVS28 	00:07:36,00 --> 00:07:43,50 	a guy with a blond someone uses the phone.
GROWN_UPS.srt 	GROWN_UPS_DVS188 	00:52:20,00 --> 00:52:24,50 	using cups and string
GROWN_UPS.srt 	GROWN_UPS_DVS192 	00:53:31,00 --> 00:53:36,50 	now in bed, someone uses a cup phone.
HUGO.srt 	HUGO_DVS637 	01:32:12,00 --> 01:32:24,50 	one man uses an umbrella to hit the alien, who vanishes in a puff of red smoke.
INSIDE_MAN.srt 	INSIDE_MAN_DVS18 	00:04:59,00 --> 00:05:07,50 	he uses a handheld video game.
