21_JUMP_STREET.srt 	21_JUMP_STREET_DVS237 	00:38:59,00 --> 00:39:08,50 	the coach tries to take it away but he keeps his hips
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS247 	00:40:57,00 --> 00:41:07,50 	he tries the handle then pounds on its frosted window.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS346 	00:57:27,00 --> 00:57:47,50 	someone responds, "try something manlier," and includes a photo of a man in green spandex with a giant fake penis.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS636 	01:35:47,00 --> 01:35:52,50 	someone bats at someone who tries to unzip his fly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS667 	01:40:35,00 --> 01:40:40,50 	handcuffed someone tries to pick it up with his mouth.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS134 	00:37:27,00 --> 00:37:35,50 	later, someone leads someone around the side of a garage and tries a door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS110 	00:22:22,00 --> 00:22:27,50 	as someone and someone try to think, mackenzie hits the stage.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS868 	01:24:56,00 --> 01:25:03,50 	with glaring eyes, someone dives toward someone who tries to aim at him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS135 	00:16:26,00 --> 00:16:31,50 	he tries again, but only chips the trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS287 	00:41:33,00 --> 00:41:55,50 	he tries to bite someone's exposed neck, but the vampire hunter blocks the bite with his ax and pushes them off the horse.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS606 	01:24:13,00 --> 01:24:35,50 	the vampire tries to bite his neck, but he flips his foe out of the rail car decapitating him as he shuts the door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS219 	00:36:38,00 --> 00:36:42,50 	he tries to push it down.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS260 	00:44:29,00 --> 00:44:37,50 	someone sits on a reclining chair with a look of amazement as they try on outfits.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS299 	00:49:36,00 --> 00:49:45,50 	he tries to split.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS404 	01:05:20,00 --> 01:05:26,50 	as the fbi agent shifts to another window trying to find the guard,
BURLESQUE.srt 	BURLESQUE_DVS275 	00:38:08,00 --> 00:38:15,50 	she stops in the doorway and watches as someone tries to paint on eyeliner.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS126 	00:21:54,00 --> 00:22:01,50 	someone watches the other soldiers fight off one another as they try to climb a flagpole.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS224 	00:39:38,00 --> 00:39:47,50 	someone races up a parallel street, then tries to turn on to a main road, but instead crashes through a shop's front window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS557 	01:37:19,00 --> 01:37:28,50 	allied soldiers shoot three hydra troopers trying to climb up behind him.
