21_JUMP_STREET.srt 	21_JUMP_STREET_DVS666 	01:40:29,00 --> 01:40:33,50 	it lies in the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS85 	00:21:31,00 --> 00:21:37,50 	across a dirt clearing lies a shed with lights on inside.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS62 	00:35:20,00 --> 00:35:27,50 	as someone lies on a table, the beautician spreads wax above his left nipple.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS223 	01:50:01,00 --> 01:50:12,50 	now under luxurious bedding someone lies on top of someone as they embrace and kiss.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS226 	01:50:32,00 --> 01:50:42,50 	now someone and someone lie side-by-side
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS222 	00:40:26,00 --> 00:40:30,50 	lying on the bed,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS254 	00:47:36,00 --> 00:47:40,50 	he lies restlessly in bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS255 	00:47:42,00 --> 00:47:47,50 	someone lies still in her bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS269 	00:50:04,00 --> 00:50:09,50 	they're lying in bed in their pajamas.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS442 	01:16:41,00 --> 01:16:45,50 	lying in bed and talking,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS470 	01:19:06,00 --> 01:19:10,50 	someone's lying on his bed
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS650 	01:06:58,00 --> 01:07:05,50 	elsewhere, a dust covered gas mask lies among other piles of decrepit withering someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS389 	01:08:43,00 --> 01:08:49,50 	someone lies motionless, as someone rolls him onto his back.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS390 	01:08:51,00 --> 01:08:57,50 	a phone lies in broken glass on the floor.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS400 	01:10:09,00 --> 01:10:14,50 	his shadow falls across leaves lying on the grass.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS477 	01:21:48,00 --> 01:21:53,50 	his phone lies in the grass nearby.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS43 	00:04:17,00 --> 00:04:23,50 	lying on the floor, someone reaches for the edge of a rug.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS55 	00:05:27,00 --> 00:05:33,50 	he lies down beside his mother, his leather bound journal in hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS187 	00:25:34,00 --> 00:25:39,50 	his ax lies beside them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS216 	00:30:04,00 --> 00:30:10,50 	later, the bankers head lies upside down in a grave.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS418 	00:59:33,00 --> 00:59:40,50 	many slumber, lie down on unused pews while some curl up on the floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS419 	00:59:37,00 --> 00:59:42,50 	a baby lies in a makeshift cradle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS452 	01:04:41,00 --> 01:04:47,50 	the emancipation proclamation lies before him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS466 	01:06:13,00 --> 01:06:19,50 	now someone comes in as someone lies sick in bed.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS534 	01:15:42,00 --> 01:15:49,50 	in someone's room, someone lies in the small bed in a demure white nightgown.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS543 	01:16:29,00 --> 01:16:36,50 	the aging couple lies back on the bed in a warm embrace.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS606 	01:24:13,00 --> 01:24:35,50 	the vampire's head lies at his feet.
BAD_TEACHER.srt 	BAD_TEACHER_DVS135 	00:35:38,00 --> 00:35:50,50 	they lie on a pile of mats.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS299 	00:49:36,00 --> 00:49:45,50 	as they lie on the floor, someone does one arm push-ups.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS321 	00:53:55,00 --> 00:54:03,50 	he lies on his side with the sheet covering his torso, his head propped up on his forearm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS464 	01:12:44,00 --> 01:12:49,50 	someone lies on the mat and someone stretches over his stomach.
BLINDDATING.srt 	BLINDDATING_DVS283 	01:10:53,00 --> 01:11:05,50 	now, someone's shaved temple lies framed by surgical clothes.
BLINDDATING.srt 	BLINDDATING_DVS288 	01:11:57,00 --> 01:12:13,50 	now, in recovery, someone lies with his eyes closed.
BLINDDATING.srt 	BLINDDATING_DVS335 	01:20:10,00 --> 01:20:24,50 	someone lies on top of his bedspread.
BRUNO.srt 	BRUNO_DVS174 	00:47:32,00 --> 00:47:48,50 	now, they lie on top of each in the aisle.
BURLESQUE.srt 	BURLESQUE_DVS142 	00:19:41,00 --> 00:19:50,50 	someone lies on her stomach, flipping through photos of famed performers.
BURLESQUE.srt 	BURLESQUE_DVS143 	00:19:47,00 --> 00:19:53,50 	lying on her back, she rests another book on her chest.
BURLESQUE.srt 	BURLESQUE_DVS163 	00:23:12,00 --> 00:23:21,50 	with a dramatic swoon, someone wipes her brow and lies back.
BURLESQUE.srt 	BURLESQUE_DVS467 	01:04:37,00 --> 01:04:43,50 	now someone lies on the daybed with his eyes closed.
BURLESQUE.srt 	BURLESQUE_DVS512 	01:10:47,00 --> 01:10:58,50 	meanwhile, two contortionists lie with their chins to the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS31 	00:04:16,00 --> 00:04:23,50 	as the dust settles, the bearded man lifts a stone block off the goateed man who lies motionless.
