21_JUMP_STREET.srt 	21_JUMP_STREET_DVS87 	00:11:40,00 --> 00:11:44,50 	stepping inside.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS170 	00:29:33,00 --> 00:29:39,50 	her gaze lingers on him as she steps away.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS539 	01:23:25,00 --> 01:23:38,50 	someone steps out wearing a white tuxedo with black lapels, vest and tie.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS540 	01:23:35,00 --> 01:23:47,50 	someone steps out wearing a top hat, followed by someone and the red-haired nerd.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS676 	01:41:59,00 --> 01:42:03,50 	he steps away.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS86 	00:21:37,00 --> 00:21:44,50 	parking nearby the delivery guy steps out with the pizza and slams his door.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS89 	00:21:57,00 --> 00:22:01,50 	the customer steps out in a gorilla mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS111 	00:27:43,00 --> 00:27:48,50 	they step out to the hall.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS114 	00:29:39,00 --> 00:29:46,50 	a goateed thug with a shaved head and a tattoo on his neck steps out.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS158 	00:41:51,00 --> 00:41:55,50 	someone steps out.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS226 	00:54:05,00 --> 00:54:09,50 	someone steps out.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS268 	01:04:01,00 --> 01:04:05,50 	he steps aside and makes the call.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS282 	01:05:26,00 --> 01:05:31,50 	stepping around the corner he scans the area.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS312 	01:10:45,00 --> 01:10:51,50 	someone steps out and the mustang continues on down the dirt road.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS19 	00:06:02,00 --> 00:06:08,50 	as someone steps away, the salesman lurches.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS107 	00:55:02,00 --> 00:55:08,50 	a tall african american woman steps into view.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS366 	00:33:53,00 --> 00:33:58,50 	someone taps someone on the arm, signaling the agent to step away with them.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS686 	01:10:30,00 --> 01:10:34,50 	she steps away from someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS728 	01:13:23,00 --> 01:13:31,50 	someone glances toward the doorway then steps forward, shifting his gaze across the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS791 	01:19:41,00 --> 01:19:47,50 	stepping through the rounded vault entrance, someone readies his weapon.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS838 	01:23:06,00 --> 01:23:21,50 	stepping back, someone aims at the door.
