21_JUMP_STREET.srt 	21_JUMP_STREET_DVS41 	00:04:38,00 --> 00:04:43,50 	the oddly matched recruits cover each other.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS216 	00:36:42,00 --> 00:36:47,50 	board covered with number 4.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS256 	00:44:13,00 --> 00:44:18,50 	someone covers a laugh.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS550 	01:25:01,00 --> 01:25:06,50 	he covers his face with his hands.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS96 	00:22:43,00 --> 00:22:48,50 	duct tape covers the victim's mouth.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS131 	01:06:45,00 --> 01:06:53,50 	she covers her face.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS815 	01:21:01,00 --> 01:21:11,50 	someone covers his head.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS344 	01:00:14,00 --> 01:00:19,50 	clear plastic sheeting covers bare shelves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS353 	01:01:02,00 --> 01:01:06,50 	family photos cover a shelf.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS393 	01:09:05,00 --> 01:09:11,50 	he tears of a piece of tape and covers someone's mouth with it.
BAD_TEACHER.srt 	BAD_TEACHER_DVS135 	00:35:38,00 --> 00:35:50,50 	as she glares he covers his mouth and points apologetically to the joint.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS203 	00:33:22,00 --> 00:33:27,50 	someone covers her mouth.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS455 	01:12:12,00 --> 01:12:17,50 	the agent in drag covers his nose.
BLINDDATING.srt 	BLINDDATING_DVS139 	00:38:16,00 --> 00:38:25,50 	now, someone and someone walk beneath the pergola covered in vines of red blossoms.
BLINDDATING.srt 	BLINDDATING_DVS170 	00:44:00,00 --> 00:44:07,50 	her mother covers someone's hands with her own.
BLINDDATING.srt 	BLINDDATING_DVS364 	01:29:18,00 --> 01:29:39,50 	a bandage covers one side of his head as dr.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	his face already covered with chocolate.
BRUNO.srt 	BRUNO_DVS238 	01:05:29,00 --> 01:05:40,50 	a black box covers her crotch.
BRUNO.srt 	BRUNO_DVS239 	01:05:41,00 --> 01:05:49,50 	a black box covers her.
BRUNO.srt 	BRUNO_DVS246 	01:06:21,00 --> 01:06:27,50 	a black box covers his genitals.
BURLESQUE.srt 	BURLESQUE_DVS435 	01:00:14,00 --> 01:00:23,50 	a dancer hands her a fan and she covers her chest.
BURLESQUE.srt 	BURLESQUE_DVS447 	01:01:10,00 --> 01:01:17,50 	a pair of bongos cover her breasts and a candle conceals her crotch.
BURLESQUE.srt 	BURLESQUE_DVS596 	01:27:56,00 --> 01:28:00,50 	she covers her eyes, but peeks.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS18 	00:02:41,00 --> 00:02:47,50 	a dusting of snow covers the floor, exposed railing, and beams.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS21 	00:02:57,00 --> 00:03:04,50 	the men shine their lights on a desk-sized object covered with snow.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	someone dashes past a man who provides covering fire, then jumps into a waiting car.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS310 	00:58:59,00 --> 00:59:08,50 	the canvas tarp covering the back of the truck bulges repeatedly.
CHRONICLE.srt 	CHRONICLE_DVS319 	00:49:02,00 --> 00:49:08,50 	someone storms into view, her shoulder covered in vomit.
CHRONICLE.srt 	CHRONICLE_DVS403 	01:00:38,00 --> 01:00:44,50 	the breathing apparatus built into it covers his mouth and nose.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS326 	01:21:50,00 --> 01:21:55,50 	the crowd covers their mouth as someone throws more punches.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS532 	02:04:20,00 --> 02:04:31,50 	listening, someone covers her mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS341 	00:30:18,00 --> 00:30:24,50 	she slumps over, her long black bangs covering her face.
COLOMBIANA.srt 	COLOMBIANA_DVS683 	01:04:37,00 --> 01:04:43,50 	a drop cloth covers half of the canvas.
DEAR_JOHN.srt 	DEAR_JOHN_DVS65 	00:08:46,00 --> 00:08:51,50 	she covers the moon with her thumb.
DEAR_JOHN.srt 	DEAR_JOHN_DVS112 	00:16:47,00 --> 00:16:52,50 	he covers a wheel printed on the coin with a silver dollar.
DEAR_JOHN.srt 	DEAR_JOHN_DVS258 	00:40:45,00 --> 00:40:50,50 	she covers the moon with her thumb.
DISTRICT_9.srt 	DISTRICT_9_DVS739 	01:27:07,00 --> 01:27:28,50 	aboard one, a mercenary peers at the elaborate technology covering the sunny hall.
DISTRICT_9.srt 	DISTRICT_9_DVS749 	01:28:39,00 --> 01:28:58,50 	as it releases a burst of smoke, someone crouches and covers his mouth.
FLIGHT.srt 	FLIGHT_DVS99 	00:17:08,00 --> 00:17:15,50 	in the cockpit, someone sleeps with paper covering his eyes, and his sunglasses over the paper.
FLIGHT.srt 	FLIGHT_DVS235 	00:49:56,00 --> 00:50:02,50 	someone removes a blanket covering the windshield, and switches on the lights.
FLIGHT.srt 	FLIGHT_DVS498 	01:11:33,00 --> 01:11:38,50 	someone covers her mouth with her hand.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS123 	00:32:58,00 --> 00:33:07,50 	now at the gq offices, someone compares to cover mockups, one featuring someone, the other president obama.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS184 	00:49:52,00 --> 00:49:58,50 	someone covers his eyes with her hands, then removes them.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS146 	01:25:19,00 --> 01:25:25,50 	munching chocolate covered strawberries someone watches.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS194 	00:30:37,00 --> 00:30:54,50 	covered in swirling day-glo patterns, the van sputters fumes as it travels up the road.
GREEN_ZONE.srt 	GREEN_ZONE_DVS334 	01:15:26,00 --> 01:15:46,50 	graffiti covers its walls and bars protect its windows.
GREEN_ZONE.srt 	GREEN_ZONE_DVS426 	01:34:01,00 --> 01:34:10,50 	he ducks aside with his rifle and covers someone's advance.
GROWN_UPS.srt 	GROWN_UPS_DVS69 	00:20:12,00 --> 00:20:17,50 	someone covers someone's eyes.
HUGO.srt 	HUGO_DVS573 	01:23:59,00 --> 01:24:06,50 	the engineer and stoker cover their faces.
IN_TIME.srt 	IN_TIME_DVS269 	00:27:44,00 --> 00:27:50,50 	his body covered in a downy white comforter.
IN_TIME.srt 	IN_TIME_DVS304 	00:31:31,00 --> 00:31:36,50 	someone covers his clock with his sleeve.
INSIDE_MAN.srt 	INSIDE_MAN_DVS383 	01:51:29,00 --> 01:51:34,50 	lanky robber cover a shelving unit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	other metal plates pop up from behind someone's neck, and cover his head, to form a red helmet and a silver mask with glowing eyes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS71 	00:21:54,00 --> 00:21:59,50 	as the rumbled sheets covering her crotch.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS107 	00:33:44,00 --> 00:33:52,50 	later in bed, someone lies curled up covering her eyes, beside her someone beams.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS377 	01:46:11,00 --> 01:46:22,50 	someone covers her mother's hand with her own and someone touches his sister's forearm.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS31 	00:03:29,00 --> 00:03:40,50 	the jeep drives past a tall decrepit warehouse and a water tower covered in graffiti.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS219 	00:41:25,00 --> 00:41:38,50 	someone grabs the hot lid from the floor, and covers the pot.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS359 	01:09:13,00 --> 01:09:20,50 	blood covers the actor's white blouse.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS611 	01:57:38,00 --> 01:57:47,50 	celery green paint covers the door and a set of drawers, and seafoam blue covers the cupboards.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS611 	01:57:38,00 --> 01:57:47,50 	celery green paint covers the door and a set of drawers, and seafoam blue covers the cupboards.
KARATE_KID.srt 	KARATE_KID_DVS222 	00:19:14,00 --> 00:19:26,50 	the boy winces painfully and covers the injury with both hands.
KARATE_KID.srt 	KARATE_KID_DVS1276 	01:43:11,00 --> 01:43:19,50 	she peeks through the ornate screens covering the windows, and studies someone and someone outside.
