21_JUMP_STREET.srt  	21_JUMP_STREET_DVS139  	00:22:34,00 --> 00:22:41,50  	Now, the Camaro pulls into a high school parking lot bustling with teens.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS140  	00:22:45,00 --> 00:22:49,50  	They pull into a handicapped spot.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS311  	00:53:07,00 --> 00:53:14,50  	SOMEONE pulls the bloody blade from SOMEONE's back and SOMEONE pours vodka on the wound.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS325  	00:54:02,00 --> 00:54:07,50  	Outside, his parents pull up.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS360  	00:59:52,00 --> 00:59:58,50  	SOMEONE gives her a kiss but she pulls away and hugs him.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS413  	01:09:49,00 --> 01:09:56,50  	The Driver's Ed car pulls up behind them.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS431  	01:11:57,00 --> 01:12:05,50  	SOMEONE pulls him out then gets behind the wheel.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS433  	01:12:12,00 --> 01:12:27,50  	A biker pulls out a handgun and takes aim.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS441  	01:13:14,00 --> 01:13:18,50  	He pulls the driver out.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS451  	01:14:16,00 --> 01:14:24,50  	Yielding a silver revolver, the gang leader pulls up alongside the Beetle and shoots out the driver side window.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS456  	01:14:49,00 --> 01:14:56,50  	SOMEONE grabs SOMEONE's pistol and pulls the trigger himself.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS576  	01:30:04,00 --> 01:30:09,50  	SOMEONE and SOMEONE pull off disguises.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS649  	01:37:50,00 --> 01:37:55,50  	As SOMEONE draws, SOMEONE pulls his trigger.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS692  	01:43:26,00 --> 01:43:35,50  	At a desk, a writer types rapidly then pulls the paper from his typewriter.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS29  	00:06:13,00 --> 00:06:22,50  	He pulls up another watermelon.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS83  	00:21:16,00 --> 00:21:25,50  	The delivery guy checks it against his order ticket then pulls the rest of the way through and drives down a long dirt lot.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS174  	00:46:00,00 --> 00:46:06,50  	They pull down their masks and barge inside.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS192  	00:49:54,00 --> 00:49:59,50  	Now the getaway car pulls out, making a U-turn.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS200  	00:50:52,00 --> 00:50:57,50  	Reaching an intersection, he pulls the emergency break.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS211  	00:52:02,00 --> 00:52:07,50  	SOMEONE pulls out the bloody shard.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS216  	00:52:22,00 --> 00:52:28,50  	As the bus pulls out two police officers exit the alley.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS243  	00:58:11,00 --> 00:58:17,50  	SOMEONE pulls her down and slams her into SOMEONE's car, then grabs the bag.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS251  	00:59:43,00 --> 00:59:49,50  	The Mustang pulls over and SOMEONE runs a safe distance away.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS254  	01:00:16,00 --> 01:00:21,50  	He pulls off his barber cape and upends the table.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS267  	01:03:51,00 --> 01:03:57,50  	SOMEONE tries to pull the bomb vest up over SOMEONE's head.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS307  	01:10:11,00 --> 01:10:30,50  	The Mustang pulls out of the empty lot and drives off past a few warehouses.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS326  	01:13:23,00 --> 01:13:27,50  	SOMEONE pulls off his mask.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS349  	01:17:08,00 --> 01:17:15,50  	He pulls up alongside the Mustang, SOMEONE eyes SOMEONE through their open windows.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS131  	01:06:45,00 --> 01:06:53,50  	As SOMEONE pulls the condom of his toe, the teenage boy watches.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS133  	01:07:02,00 --> 01:07:07,50  	bathroom he pulls down his shorts and sits
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS152  	01:18:44,00 --> 01:18:50,50  	As she pulls away, SOMEONE's brow lifts slightly.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS172  	01:23:39,00 --> 01:23:45,50  	He pulls into SOMEONE's driveway on his bike.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS220  	01:47:54,00 --> 01:48:01,50  	She pulls herself into his arms and they kiss eagerly.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS460  	01:18:15,00 --> 01:18:18,50  	but she pulls away.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS213  	00:18:17,00 --> 00:18:25,50  	As SOMEONE starts away, SOMEONE pulls him toward the blue van.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS228  	00:19:03,00 --> 00:19:09,50  	Moving to the driver's door, SOMEONE pulls on the locked handle.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS280  	00:24:04,00 --> 00:24:14,50  	SOMEONE pulls the emergency brake and as he spins, the rocket soars over his flatbed and strikes a garbage truck.
