21_JUMP_STREET.srt  	21_JUMP_STREET_DVS171  	00:29:36,00 --> 00:29:43,50  	In drama, SOMEONE stands on a small stage facing the class.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS340  	00:56:31,00 --> 00:56:41,50  	As SOMEONE stands by glumly, the Captain hands SOMEONE a role of cash then sips his coffee peevishly.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS393  	01:06:36,00 --> 01:06:41,50  	Now, SOMEONE stands before his chemistry classmates.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS516  	01:21:37,00 --> 01:21:43,50  	They stand over weapons and ammo neatly laid out on the bed.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS635  	01:35:42,00 --> 01:35:49,50  	SOMEONE stands in the sunroof and shoots.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS642  	01:37:01,00 --> 01:37:15,50  	He stands in the sunroof and makes a perfect quarterback pass.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS675  	01:41:53,00 --> 01:41:58,50  	The SOMEONE stands by uncomfortably.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS162  	00:42:21,00 --> 00:42:29,50  	SOMEONE stands on the opposite side.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS291  	01:06:38,00 --> 01:06:44,50  	Jumping up SOMEONE stands over the Major.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS16  	00:03:35,00 --> 00:03:45,50  	Nearby, SOMEONE stands behind a half door and puts on a nametag.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS20  	00:06:05,00 --> 00:06:12,50  	Later, the cocky salesman, SOMEONE, stands with SOMEONE and SOMEONE.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS134  	01:07:19,00 --> 01:07:27,50  	Now at Smart Tech he stands on the sales floor.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS142  	00:27:09,00 --> 00:27:13,50  	SOMEONE's standing nearby.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS401  	01:10:39,00 --> 01:10:43,50  	standing with his shadow
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS474  	01:19:35,00 --> 01:19:42,50  	He stands back examining the clean wall and the piles of paper on the floor.
