0016_O_Brother_Where_Art_Thou_00.59.45.239-00.59.49.455 	He beams amid cheers and then, as three girls in gingham frocks run out to join him.
0016_O_Brother_Where_Art_Thou_01.18.49.599-01.18.51.532 	Big Dan looks around, beaming acknowledgement of the cheers.
0017_Pianist_01.02.31.771-01.02.36.879 	The SS Captain, with much jollity and jokes, hops up on to scaffolding and stands, beaming broadly, surveying the workers.
0020_Raising_Arizona_00.36.05.676-00.36.06.866 	As Ed and Dot enter, Ed beaming as they go to the crib.
0041_The_Sixth_Sense_00.57.31.634-00.57.32.519 	Climbing ropes hang from the wood beamed ceiling.
1005_Signs_00.11.37.799-00.11.43.779 	A wire wind chime in the shape of a beaming sun hangs on the veranda and swings mournfully in the soft breeze.
1020_Crazy_Stupid_Love_00.55.02.262-00.55.04.653 	he beams brightly at her.
1028_No_Reservations_01.22.57.488-01.23.00.450 	zoe beams up at them as she admires the drawing.
1029_Pride_And_Prejudice_Disk_One_00.53.23.517-00.53.25.094 	he beams at her.
1029_Pride_And_Prejudice_Disk_One_01.57.54.493-01.57.55.805 	she beams back at him.
1044_Pride_And_Prejudice_Disk_Two_02.34.54.911-02.35.01.578 	lizzie's face is a picture of joy, while even mr. darcy's usual stern expression has softened into a beaming smile.
1052_Harry_Potter_and_the_order_of_phoenix_00.32.00.646-00.32.02.789 	she beams at dumbledore.
1058_The_Damned_united_00.10.34.189-00.10.38.000 	he beams his toothy grin.
1058_The_Damned_united_00.39.16.683-00.39.22.000 	brian apes a scared face, then beams at the rest of the team.
1062_Day_the_Earth_stood_still_01.35.38.175-01.35.50.395 	the sphere emits a beaming pulse of energy and the swarms, millions of bugs, begin to fall like rain to the ground.
1058_The_Damned_united_00.10.34.189-00.10.38.000 	he beams his toothy grin.
1058_The_Damned_united_00.39.16.683-00.39.22.000 	brian apes a scared face, then beams at the rest of the team.
1062_Day_the_Earth_stood_still_01.35.38.175-01.35.50.395 	the sphere emits a beaming pulse of energy and the swarms, millions of bugs, begin to fall like rain to the ground.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.24.41.581-00.24.49.963 	as the choir's song concludes, dumbledore rises, beaming over the sea of black hats.
