0003_CASABLANCA_01.08.50.537-01.08.54.474 	Jan hesitates, then withdraws his hands.
0003_CASABLANCA_01.26.14.292-01.26.15.435 	She withdraws behind the door.
0010_Frau_Ohne_Gewissen_00.34.58.970-00.34.59.982 	He withdraws the top copy barely enough to expose the signature line on the supposed duplicate.
0011_Gandhi_01.48.16.117-01.48.18.927 	Gandhi is listening, but still withdrawn into himself.
0016_O_Brother_Where_Art_Thou_00.33.07.193-00.33.10.008 	The man stops withdrawing the gun and appraises his passengers.
0017_Pianist_01.08.32.314-01.08.37.004 	The SS Lieutenant reaches in and withdraws a handful of long yellow beans.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.31.33.453-00.31.38.182 	The SWORD is withdrawn from a POOL OF STEAMING WATER.
0030_The_Hustler_00.13.45.510-00.13.58.215 	Fats withdraws a cigarette from his gold case, then casually strolls toward Eddie's table standing apart and quietly observing the sharp, precise movements of his prospective opponent.
0030_The_Hustler_00.15.54.122-00.15.58.846 	The uniformed maids withdraw the cover off the green felt top, and Sausage, the racker, begins to bang the balls into the wooden racking triangle.
0031_The_Lost_Weekend_01.25.01.434-01.25.09.386 	In the wall above the couch, close to the door, there is a hole in the plaster, as if left by a large nail carelessly withdrawn so that some of the plaster went with it.
0032_The_Princess_Bride_01.27.09.372-01.27.13.707 	Then Inigo withdraws his sword and as the Count pitches down.
1005_Signs_01.01.03.924-01.01.08.227 	Graham withdraws the knife and puts it down on the floor beside him.
1055_Marley_and_me_00.42.20.292-00.42.30.886 	jenny nods, tight-lipped, and the doctor withdraws with a sympathetic smile of apology.
