0007_DIE_NACHT_DES_JAEGERS_00.27.41.184-00.27.45.058 	She hustles out of shot.
0007_DIE_NACHT_DES_JAEGERS_01.27.08.882-01.27.09.600 	They turn and we PAN with them as they hurry after RACHEL, and we bring in RACHEL, charging away from us with her brood hustling to keep up.
0012_Get_Shorty_00.50.18.479-00.50.25.712 	Karen starts to answer, but Nicki's already hustling Chili inside.
0016_O_Brother_Where_Art_Thou_01.17.04.636-01.17.09.196 	The color guard hustles up the aisle to draw up behind the two men leading Tommy to the gibbet.
1001_Flight_01.27.12.011-01.27.21.902 	He jumps off a ladder and hustles over to Nicole, kissing her.
1030_Public_Enemies_01.26.32.889-01.26.35.556 	john hustles down stairs, carrying two tommy guns.
1030_Public_Enemies_01.27.20.359-01.27.27.454 	as red delivers covering fire, dillinger hustles to a guest room next store and butts a window with his gun.
1043_Vantage_Point_00.05.10.422-00.05.13.549 	the president's hustled to safety.
1048_Gran_Torino_00.25.06.208-00.25.16.987 	spider hustles thao towards the car.
1053_Harry_Potter_and_the_philosophers_stone_00.20.51.000-00.20.57.199 	diagon alley is a narrow crooked lane hustling with witches and wizards in flowing cloaks and pointed hats.
1055_Marley_and_me_00.04.22.238-00.04.25.081 	she hustles him out.
2026_Legion_00.21.38.954-00.21.46.249 	kyle hustles passed percy.
1053_Harry_Potter_and_the_philosophers_stone_00.20.51.000-00.20.57.199 	diagon alley is a narrow crooked lane hustling with witches and wizards in flowing cloaks and pointed hats.
1055_Marley_and_me_00.04.22.238-00.04.25.081 	she hustles him out.
2026_Legion_00.21.38.954-00.21.46.249 	kyle hustles passed percy.
2040_The_Ugly_Truth_00.36.07.083-00.36.11.265 	he hustles her out of the room.
2040_The_Ugly_Truth_00.41.24.261-00.41.27.679 	she hustles him out the door.
