0007_DIE_NACHT_DES_JAEGERS_00.13.47.182-00.13.49.919 	A short, lighted, toy-like train departs the town along the river-bank, whistling.
0007_DIE_NACHT_DES_JAEGERS_00.45.16.793-00.45.19.883 	They look towards the departed PREACHER.
0020_Raising_Arizona_00.45.01.006-00.45.01.854 	Bellowing hopefully after his departing car.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.22.04.804-01.22.09.257 	The QUIET before the MEN depart for WAR.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_03.04.37.539-03.04.41.562 	Passing under a beautiful ELVEN ARCHWAY to reveal a WHITE SHIP, ready to depart from a WHITE STONE.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_03.10.16.484-03.10.26.436 	SAM in growing darkness, still follows the departing SHIP with his eyes, MERRY and PIPPIN are already preparing to leave.
0030_The_Hustler_00.12.57.355-00.13.05.872 	A departing customer holds the door for an incoming one: Minnesota Fats.
1006_Slumdog_Millionaire_00.35.14.250-00.35.17.214 	The children come to a railway siding where they chase a departing train.
1007_Spider-Man1_01.54.56.843-01.55.02.634 	she turns around sharply and looks at the departing peter.
1008_Spider-Man2_01.18.05.593-01.18.06.988 	peter stands with his back to the departing figure.
1047_Defiance_00.02.11.245-00.02.20.529 	the departing truck, escorted by nazi outriders, is being observed by two men hiding behind a tree.
1056_Rambo_00.22.14.867-00.22.23.632 	the floodlights of the now derelict pirate boat touches their departing stand , as the boat motors into the inky blackness.
2012_Unbreakable_01.18.26.936-01.18.34.304 	david stands in a quiet corner and watches the faces of passengers arriving and departing late night trains.
1056_Rambo_00.22.14.867-00.22.23.632 	the floodlights of the now derelict pirate boat touches their departing stand , as the boat motors into the inky blackness.
2012_Unbreakable_01.18.26.936-01.18.34.304 	david stands in a quiet corner and watches the faces of passengers arriving and departing late night trains.
