0030_The_Hustler_00.09.06.288-00.09.13.950 	they saunter over to the cashier's cage.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.15.37.926-02.15.40.925 	bellatrix licks her lips then saunters away.
1003_How_to_Lose_Friends_and_Alienate_People_00.04.21.691-00.04.24.830 	and obscuring his face with a tray of canapes, he saunters into the party past the nazi clipboard woman.
1003_How_to_Lose_Friends_and_Alienate_People_01.01.58.356-01.02.00.990 	sidney rises from the table and lets his hand linger on alison's shoulder before sauntering away.
1008_Spider-Man2_00.19.22.773-00.19.25.005 	with a smile on her face, she saunters away.
1017_Bad_Santa_00.12.52.703-00.13.01.737 	he saunters through the parking lot pressing the remotes and cars flash and unlock.
1017_Bad_Santa_00.14.21.345-00.14.29.490 	he tosses the chicken leg down the pan as he saunters aimlessly down the hallway, he tips oil paintings off the wall.
1026_Legion_00.12.45.018-00.12.46.925 	he saunters up to her.
1027_Les_Miserables_00.27.06.518-00.27.10.386 	once finished, he gets off her and saunters away, leaving her on her back.
1030_Public_Enemies_00.33.45.384-00.33.52.396 	he gets couple of glasses from a counter, then saunters off with two women.
1046_Australia_02.00.02.738-02.00.06.180 	he grins and saunters off.
1058_The_Damned_united_01.05.09.246-01.05.17.000 	brian's smile wilts as giles turns and saunters off with the other players, who pat him on the back as they go.
1060_Yes_man_00.23.39.947-00.23.46.997 	he saunters over to a pump and swipes a card in it.
