0005_Chinatown_01.33.53.044-01.33.55.480 	he's genuinely puzzled.
0016_O_Brother_Where_Art_Thou_00.16.20.680-00.16.22.295 	pete looks at the watch, puzzled.
0017_Pianist_02.16.01.008-02.16.03.303 	he's astonished, puzzled.
0053_Rendezvous_mit_Joe_Black_01.05.55.326-01.05.57.648 	susan regards joe, puzzled.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.35.42.025-01.35.44.783 	ron looks puzzled.
1003_How_to_Lose_Friends_and_Alienate_People_01.01.32.859-01.01.34.364 	alison's puzzled.
1005_Signs_01.35.16.980-01.35.20.738 	graham stares at her, puzzled, through his wet eyes.
1008_Spider-Man2_01.56.39.348-01.56.40.014 	octavius look puzzled.
1010_TITANIC_00.28.01.727-00.28.03.393 	jack's roommates exchanged puzzled looks.
1015_27_Dresses_00.25.04.671-00.25.10.998 	kevin looks puzzled as she bashes a wall with her handbag.
1029_Pride_And_Prejudice_Disk_One_01.24.22.956-01.24.28.095 	lizzie looks puzzled and a little disappointed.
1052_Harry_Potter_and_the_order_of_phoenix_00.29.21.678-00.29.27.013 	puzzled, harry inspects the animal more closely.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.26.46.648-00.26.52.192 	ron looks puzzled.
1062_Day_the_Earth_stood_still_00.01.40.000-00.01.44.745 	a bearded climber looks puzzled.
1062_Day_the_Earth_stood_still_00.47.19.276-00.47.21.331 	jacob looks puzzled.
