0008_Fargo_00.33.33.072-00.33.35.680 	His arms are flung over a woman in her thirties, wearing a nightie, mouth also open, not snoring.
0008_Fargo_01.06.56.390-01.06.58.898 	The escort is grabbed and flung out of bed.
0011_Gandhi_01.40.49.354-01.40.54.160 	As suitcoats, shirts, vests, trousers, are flung into a pile.
0020_Raising_Arizona_00.39.08.443-00.39.12.180 	One of the younger children sits in the middle of the table, occasionally taking a fistful of jello and flinging it at Hi.
0020_Raising_Arizona_00.49.17.051-00.49.17.269 	Still on the dead run, Hi is flinging the carton of Huggies.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.42.41.456-00.42.48.142 	Gandalf is flung to the floor.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.46.56.487-01.47.00.062 	Again the creature grabs Frodo and pulls him to the lake, Frodo is flung in the air as the Fellowship battle the creature.
0027_The_Big_Lebowski_00.36.28.068-00.36.28.444 	Walter has flung open his door and is leaning halfway out over the road.
0031_The_Lost_Weekend_01.18.10.256-01.18.11.099 	The doctor must have been in another building, because over his shoulders is flung a dark blue overcoat.
0051_Men_in_black_00.03.51.887-00.03.52.700 	the Agents fling open the rear doors, revealing a DOZEN FRIGHTENED MEXICANS, hopeful immigrants without official permission.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.02.27.737-00.02.29.777 	It tilts and sways, flinging people against the parapets.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.14.08.317-02.14.16.175 	Harry watches in horror as Dumbledore is flung backwards over the balustrade.
1007_Spider-Man1_00.15.46.225-00.15.54.895 	Having flung the bottle to the floor, Norman lifts opens the metal with strengths on the sliding trolley and lies down on it.
1053_Harry_Potter_and_the_philosophers_stone_02.21.17.717-02.21.24.858 	the delighted young wizards fling their pointed hats high above their heads.
