0006_Clerks_00.10.31.665-00.10.32.178 	he quickly flees.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.32.59.951-01.33.02.515 	gandalf gallops down the winding labyrinthine streets on shadowfax against the flow of fleeing soldiers.
1006_Slumdog_Millionaire_00.58.12.055-00.58.14.634 	the three children flee the scene.
1019_Confessions_Of_A_Shopaholic_01.05.48.603-01.05.50.550 	she flees.
1030_Public_Enemies_01.27.50.369-01.27.55.036 	inside baby face flees past homer and leaps through a bay window!
1034_Super_8_00.18.02.209-00.18.07.105 	the kids flee frantically through the debris as explosions mushroom around them.
1034_Super_8_01.26.47.382-01.26.54.285 	soldiers flee from their own malfunctioning machines which randomly spray shells, missiles, and bullets around them.
1034_Super_8_01.26.59.532-01.27.02.199 	the boys flee through a playground from an out of control tank.
1034_Super_8_01.36.02.187-01.36.05.325 	the others flee.
1047_Defiance_00.44.50.394-00.45.00.718 	zus and tuvia, their guns up and ready, urge the men and women to flee.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.21.22.816-00.21.26.218 	guards and goblins flee the flames.
