0004_Charade_01.47.14.139-01.47.15.125 	reggie huddled inside.
0007_DIE_NACHT_DES_JAEGERS_01.24.15.704-01.24.16.619 	they huddle on the stairs in reverent silence.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.01.05.351-01.01.06.315 	sam, merry, and pippin huddled over a small fire.
1005_Signs_01.39.31.991-01.39.33.871 	the family huddled together on the grass near the picnic table and brick barbecue.
1018_Body_Of_Lies_00.01.41.874-00.01.44.097 	more officers huddle on a street corner as the milk float drives around.
1023_Horrible_Bosses_01.14.10.414-01.14.12.191 	they huddle closer.
1047_Defiance_00.06.41.214-00.06.47.066 	the four of them huddle together in the pouring rain.
1047_Defiance_01.35.54.789-01.35.55.976 	tamara huddled in her black coat despite the sunshine.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.19.39.233-01.19.47.131 	hermione sits huddled on a flat-topped rock.
1058_The_Damned_united_01.25.32.490-01.25.39.000 	the boys huddle close behind brian, excitedly.
2005_Signs_01.02.06.169-01.02.09.865 	graham stares at his family huddled on the couch.
2005_Signs_01.39.41.427-01.39.47.924 	huddled together in the sunlight.
