0001_American_Beauty_01.00.50.351-01.01.04.148 	he unlocks the cabinet and opens it, revealing shelves stacked with war memorabilia.
0002_As_Good_As_It_Gets_01.20.44.016-01.20.46.594 	melvin is in his bedroom -- everything he's taking neatly stacked on the bed waiting to be packed (he is taking a camera).
0014_Ist_das_Leben_nicht_schoen_02.03.34.249-02.03.34.749 	the christmas tree is fully decorated with presents stacked around.
0016_O_Brother_Where_Art_Thou_01.34.06.787-01.34.07.897 	it contains, next to a tangled bunch of hairnets, several neatly stacked tins of dapper dan pomade.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.55.14.303-01.55.16.343 	bundles of dried firewood are being stacked around.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.01.49.593-02.01.53.869 	bundles of oil-soaked wood are stacked all around them.
0049_Hannah_and_her_sisters_00.03.37.989-00.03.49.833 	as holly talks, sipping her drink, hannah busily works in the kitchen, which contains a large center table stacked with bowls and plates of food, hanging pots and pans, and general party clutter.
0050_Indiana_Jones_and_the_last_crusade_00.06.10.392-00.06.13.224 	halfbreed runs after him but indy leaps from the boxcar onto some covered boxes stacked on a flatcar.
0051_Men_in_black_00.35.11.339-00.35.19.432 	inside, there are piles of sophisticated-looking devices stacked on shelves and tabletops.
1005_Signs_01.10.32.812-01.10.35.003 	later, in the dimly little kitchen, pans and bowls, one full of empty eggshells, are stacked up into two sinks.
1005_Signs_01.22.43.680-01.22.55.348 	she walks over to the torch, picks it up, and shines it at merrill, who's stacking crates and live sacks of dog food in front of the chute.
1012_Unbreakable_01.06.11.759-01.06.21.763 	finally, he walks around to the back of elijah's chair, takes the handles, and starts to wheel it down the aisle, maneuvering carefully between the heavily stacked shelves and displays.
1026_Legion_00.03.05.783-00.03.14.163 	inside the building, a man in a suit and carrying a torch walks along between stacking shelf, some covered with cellophane.
1057_Seven_pounds_00.43.54.649-00.43.56.071 	documents are stacked on the small table.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.57.22.107-00.57.34.185 	inside, harry sees a cavernous store room, stacked high with furniture and junk.
