0006_Clerks_00.19.19.712-00.19.22.006 	he storms out.
0006_Clerks_00.33.29.981-00.33.30.626 	she storms out.
0046_Chasing_Amy_01.18.20.778-01.18.22.365 	she storms away.
1009_Spider-Man3_00.52.15.702-00.52.17.253 	she storms off with a face like thunder.
1011_The_Help_00.23.02.334-00.23.05.553 	as skeeter storms away from the table, phelan frowns lamely.
1018_Body_Of_Lies_01.37.26.596-01.37.28.932 	he storms out of the apartment.
1026_Legion_00.28.56.470-00.28.58.438 	flies storm in trough the grill.
1030_Public_Enemies_00.28.00.307-00.28.01.825 	she storms out.
1031_Quantum_of_Solace_00.22.58.998-00.23.04.018 	furiously she storms past a guard in dark glasses.
1041_This_is_40_00.42.39.330-00.42.41.460 	debbie sighs as sadie storms away.
1041_This_is_40_01.54.13.582-01.54.15.915 	sadie gawks at her mom as she storms away.
2041_This_is_40_01.08.59.553-01.09.00.937 	she storms off.
2041_This_is_40_01.53.48.520-01.53.48.592 	debbie storms off back towards the foyer.
2051_Harry_Potter_and_the_goblet_of_fire_01.10.46.645-01.10.52.717 	hermione storms off.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.06.54.115-00.07.00.655 	as harry storms out with his trunk, we dolly to the street with him.
