0004_Charade_00.17.38.433-00.17.39.438 	a bulldurham tag hangs from his outside breast pocket, dangling from its string.
0007_DIE_NACHT_DES_JAEGERS_00.05.46.207-00.05.49.028 	and get up, pearl dangling the doll.
0007_DIE_NACHT_DES_JAEGERS_00.53.26.335-00.53.27.514 	pearl, dangling her doll, cries.
0007_DIE_NACHT_DES_JAEGERS_00.55.15.719-00.55.16.899 	pearl, frankly bored, dangling her doll, is yawning.
0008_Fargo_01.07.33.871-01.07.41.914 	after hitting him several times, she yanks carl's belt out of his dangling pants and strangles him with it.
0010_Frau_Ohne_Gewissen_00.08.55.618-00.09.04.323 	he looks around the room, then moves over to a baby grand piano with a sleazy spanish shawl dangling down one side and two cabinet photographs standing in a staggered position on top.
0011_Gandhi_03.00.30.110-03.00.34.753 	abha has signaled to the cheap watch dangling from his dhoti.
0013_Halloween_01.16.21.076-01.16.23.818 	strung up to the light fixture on the ceiling, dangling there in the middle of the room, is bob, eyes open and staring.
0020_Raising_Arizona_00.49.06.978-00.49.07.705 	standing in the raised platform-cubicle at the front of the store is the store manager, a fat man in a white short-sleeved shirt with a lit cigarette dangling from his mouth.
0026_The_Big_Fish_00.00.53.084-00.01.03.828 	the beast's journey takes it past a dangling fish hook, baited with worms.
0026_The_Big_Fish_00.30.24.989-00.30.30.363 	dangling from the line above he sees two dozen pairs of shoes, their laces tied together.
0026_The_Big_Fish_01.34.53.859-01.34.57.218 	he looks up to find his faded shoes still dangling from the power line, along with the rest of the town's.
0028_The_Crying_Game_00.05.37.990-00.05.40.004 	on the floor of the car jody lies, with three pairs of feet on top of him, a black bag over his head and the barrel of a gun dangling close to his face.
0032_The_Princess_Bride_01.04.06.242-01.04.08.405 	he shows the key, dangling from a chain around his neck.
0049_Hannah_and_her_sisters_00.16.41.890-00.16.47.933 	he is in his office; he leans back in his chair, dangling his stethoscope as he speaks.
0051_Men_in_black_00.09.00.014-00.09.02.696 	dee has moved away from them all and is sitting on a rock, staring up at the night sky, his sunglasses dangling idly from one hand.
0051_Men_in_black_01.08.22.886-01.08.24.603 	laurel notices something dangling from the cat's collar -- a circular icon of a strange and beautiful metal.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.46.47.278-00.46.49.268 	he dangles from the end of his broomstick.
1007_Spider-Man1_01.42.47.757-01.42.49.477 	inside the dangling cable car.
1009_Spider-Man3_01.35.36.909-01.35.46.041 	drying out and becoming human, flint stares at his hands, dangling from his fingers as the locket and chain with penny's photograph.
1010_TITANIC_00.05.45.759-00.05.51.096 	its bright lights illuminate a crystal chandelier, still dangling from a ceiling.
1010_TITANIC_02.11.35.947-02.11.37.590 	he grabs onto the side of the lifeboat and dangles high above.
1010_TITANIC_02.39.35.960-02.39.45.204 	all along the titanic people dangle from ropes, spill from railings or slide down into the ocean.
1010_TITANIC_02.42.28.373-02.42.47.867 	people dangling from railings lose their grips and fall.
1010_TITANIC_02.43.25.920-02.43.32.888 	dozens of passengers still dangle from poles or lie against railings and staircases.
1014_2012_01.58.09.687-01.58.13.527 	noah stares up at the anchors dangling from a gigantic ship's hull.
1015_27_Dresses_01.21.47.965-01.21.50.405 	tess dangles a cat by its hind legs.
1017_Bad_Santa_00.16.47.288-00.16.51.448 	willie has pulled his beer down as a fag dangles from the corner of his mouth.
1017_Bad_Santa_00.23.05.537-00.23.08.275 	he's got boogies dangling from his paunchy nose.
1027_Les_Miserables_01.01.35.804-01.01.37.605 	valjean pulls down a rope dangling from the side of a building.
1030_Public_Enemies_01.09.52.202-01.09.59.537 	small overhead lights with green lampshades hang from above next to dangling clusters of phone wires.
1030_Public_Enemies_01.28.34.679-01.28.37.077 	a cloth sack dangles from red's grip as both men hurry past a narrowed outcropping.
1031_Quantum_of_Solace_00.14.11.727-00.14.13.852 	the two men end up facing each other, dangling on ropes at either end of the steel gantry.
1034_Super_8_01.32.24.882-01.32.27.365 	joe spots alice dangling upside down.
1034_Super_8_01.33.12.132-01.33.14.798 	alice is still dangling, motionless, upside down.
1037_The_Curious_Case_Of_Benjamin_Button_02.35.36.553-02.35.41.141 	benjamin's legs dangle over the end of the bed as he plays with a digital clock.
1042_Up_In_The_Air_00.57.25.657-00.57.29.674 	he dangles his feet in the clear, blue water.
1049_Harry_Potter_and_the_chamber_of_secrets_01.46.58.396-01.47.08.141 	harry looks up to see dozens of large spiders lowering themselves from the tree roots to dangle about their heads.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.19.01.144-01.19.03.051 	the locket dangles from her hand.
1052_Harry_Potter_and_the_order_of_phoenix_00.14.04.997-00.14.10.916 	the weasley twins dangle a magic ear over the banisters.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.15.53.344-00.16.01.146 	harry quickly unties his shoelace and dangles his shoe over the edge of the bed.
1055_Marley_and_me_00.01.37.728-00.01.45.399 	the newlyweds dangle their feet in a bath and swig champagne from the bottle.
2012_Unbreakable_00.49.13.181-00.49.17.933 	a set of two unopened mab satin finish paint cans are dangling by their metal handles on the outside of each side of the weights.
2017_Bad_Santa_01.28.06.464-01.28.07.433 	she wears a pair of sunglasses from which a price tag dangles, and a long ermine stole.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.30.04.519-01.30.11.378 	harry and hermione make their way through the primitive passageway, ducking the roots that dangle overhead.
