0005_Chinatown_00.58.05.554-00.58.07.998 	Gittes buzzes Sophie.
0010_Frau_Ohne_Gewissen_00.04.41.303-00.04.55.718 	He pulls himself toward dictaphone again, still in the swivel chair, reaches it, lifts the horn off the bracket and the dictaphone makes a low buzzing sound.
0021_Rear_Window_01.04.22.314-01.04.26.696 	The phone buzzes on filter, then is picked up and answered by a woman.
1005_Signs_00.30.42.026-00.30.46.085 	Merrill and Graham undo their seat belts, then, turn round to the buzzing noise coming from the back.
1014_2012_00.55.08.923-00.55.12.120 	biplane buzzes over the research facility of yellowstone park.
1014_2012_01.05.36.596-01.05.43.129 	adrian follows anheuser into the corridor which is buzzing with activity.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.31.04.865-01.31.07.412 	she disturbs a swarm of buzzing flies.
2004_Juno_01.30.43.490-01.30.52.593 	pull out to reveal the surrounding green suburb buzzing with life and summer activity.
2026_Legion_00.22.39.668-00.22.42.823 	a fly begins to buzz around gladys's head.
2004_Juno_01.30.43.490-01.30.52.593 	pull out to reveal the surrounding green suburb buzzing with life and summer activity.
2026_Legion_00.22.39.668-00.22.42.823 	a fly begins to buzz around gladys's head.
2034_Super_8_00.31.34.441-00.31.34.626 	helicopters buzz in the distant sky.
