0013_Halloween_00.58.49.873-00.58.52.001 	its lights flick off.
0020_Raising_Arizona_01.00.59.724-01.01.01.240 	he flicks the fly away.
0028_The_Crying_Game_00.03.36.414-00.03.37.735 	her eyes flick around the carnival.
0043_Thelma_and_Luise_01.17.48.587-01.17.50.914 	he flicks his tongue at them.
0051_Men_in_black_01.29.22.294-01.29.28.269 	close on various tabloid headlines as a hand flicks through them.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.39.33.638-00.39.35.853 	dumbledore flicks his hand in the air and the lights dim.
1005_Signs_00.51.25.108-00.51.27.070 	graham's eyes flick pensively from side-to-side.
1008_Spider-Man2_01.55.35.985-01.55.37.630 	one pincer flicks out a blade.
1009_Spider-Man3_01.17.58.199-01.18.00.655 	he flicks the omelette in half.
1049_Harry_Potter_and_the_chamber_of_secrets_01.27.30.216-01.27.32.048 	he flicks through the book again.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.09.15.507-00.09.16.952 	voldemort flicks the wand.
1051_Harry_Potter_and_the_goblet_of_fire_00.25.14.330-00.25.15.533 	moody flicks his wand.
1052_Harry_Potter_and_the_order_of_phoenix_01.51.35.836-01.51.38.856 	pursued, hermione flicks her wand.
1052_Harry_Potter_and_the_order_of_phoenix_01.58.51.993-01.58.56.243 	voldemort flicks his wand.
1053_Harry_Potter_and_the_philosophers_stone_00.06.34.466-00.06.37.393 	it flicks its tongue and nods.
1053_Harry_Potter_and_the_philosophers_stone_01.06.36.945-01.06.41.176 	ron flicks his wand.
1053_Harry_Potter_and_the_philosophers_stone_01.06.55.177-01.06.59.677 	hermione flicks her wand.
1057_Seven_pounds_01.18.17.450-01.18.18.533 	he flicks a switch on it.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.05.27.000-00.05.31.617 	griphook's eyes flick to the sword.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.49.28.463-01.49.32.114 	harry flicks his wand, and the elder wand cartwheels through the air across the courtyard.
