0004_Charade_01.05.09.237-01.05.25.062 	TEX takes the list, examines it, then folds it and puts it in his pocket.
0005_Chinatown_01.13.40.140-01.13.42.998 	He pulls out the obituary column he'd folded up earlier in the day.
0006_Clerks_00.04.19.127-00.04.24.989 	The car trunk pops open and a hand reaches inside, pulling out a folded white sheet.
0006_Clerks_00.11.03.916-00.11.13.756 	DANTE is sitting on the floor, head in his folded arms.
0007_DIE_NACHT_DES_JAEGERS_00.31.03.056-00.31.07.448 	She folds her hands in prayer and lifts her eyes.
0007_DIE_NACHT_DES_JAEGERS_00.49.21.426-00.49.22.507 	PREACHER, well-fed and at leisure, dabs his mouth delicately with his napkin, folds it, puts it in a ring, and folds his hands.
0007_DIE_NACHT_DES_JAEGERS_01.17.20.717-01.17.32.549 	He tethers his horse and, as we PAN and TRACK on behind him, walks to the bottom of the steps; RUBY moves into side of SHOT: beyond PREACHER, RACHEL stands behind her screen door, hands folded under apron.
0010_Frau_Ohne_Gewissen_00.56.17.324-00.56.19.309 	She pulls the rug off the corpse (which is not visible) and stands looking into the car, unable to take her eyes off what she sees, while at the same time her hands mechanically begin to fold the rug.
0011_Gandhi_00.58.45.938-00.58.50.152 	He takes off his glasses and folds them and in silence starts back toward his place on the platform.
0011_Gandhi_01.15.05.020-01.15.07.672 	His desk is arrayed with several tall stacks of folders -- all with exactly the same covers -- and on one corner of the desk, some folded newspapers.
0011_Gandhi_01.56.49.190-01.56.54.583 	The Advocate General is speaking from a folded journal.
0011_Gandhi_02.12.52.197-02.12.52.373 	In the chaos an old man calmly picks up a piece of paper from the floor, a handful of salt, and folds another packet.
0011_Gandhi_02.31.56.397-02.32.03.150 	For a moment he folds his hands absently, then he stands.
0012_Get_Shorty_00.17.49.351-00.17.50.327 	Chili turns aronud and sees her standing in the doorway now, her arms folded across that chest, the Lakers T-shirt coming down just past her crotch.
0012_Get_Shorty_01.32.05.677-01.32.12.801 	Karen stands there with her arms folded across her chest.
0014_Ist_das_Leben_nicht_schoen_01.19.50.160-01.19.53.324 	Uncle Billy folds Potter's paper over the envelope containing his money, and flings his final taunt at the old man.
