0006_Clerks_01.24.29.341-01.24.30.473 	randal tumbles into the cakes as entenman's products scatter beneath and around him.
0007_DIE_NACHT_DES_JAEGERS_01.23.41.015-01.23.43.476 	they scatter out of shot; ruby lingers.
0014_Ist_das_Leben_nicht_schoen_01.22.44.551-01.22.48.939 	the office is in a mess, drawers are opened, and papers scattered on the floor and on the desk.
0017_Pianist_00.52.27.989-00.52.29.264 	furniture, torn mattresses and pillows lie scattered.
0017_Pianist_01.21.30.110-01.21.33.637 	corpses lie scattered on the pavement.
0017_Pianist_01.44.21.889-01.44.23.364 	the pedestrians have scattered except for the old man, gasping for breath, hobbling on his walking stick, who eventually manages to disappear inside a building.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.07.25.192-00.07.29.857 	rising out of the long, overgrown white flowers are scattered among the well seeded grasses.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.15.45.668-00.16.05.409 	with glowing flowers as they rain down from the branches.evaporating just above the up turned faces of the delighted party-goers 144 hobbits, feasting and drinking carts of beer and wine are scattered about, and the tables are piled high with steaming scones and savories.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.43.55.884-00.43.58.658 	a variety of vegetables have scattered everywhere.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.45.15.714-00.45.23.176 	scattered leaves rise into the air whirling down the road as if blown by an invisible wind.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.17.36.606-01.17.38.257 	a sudden wind rushes through the tent, lifting hangings, scattering maps, knocking over goblets.
0027_The_Big_Lebowski_00.05.38.464-00.05.38.785 	scattered by a strike.
0027_The_Big_Lebowski_00.16.29.355-00.16.30.168 	scattered by a strike.
0027_The_Big_Lebowski_00.25.49.250-00.25.51.947 	crash--scattered by a strike, in slow motion.
0027_The_Big_Lebowski_01.23.14.499-01.23.17.651 	we hit the pins, scattering them, and rush on into black.
0029_The_Graduate_01.29.23.689-01.29.26.024 	there are many other students scattered around the room.
0030_The_Hustler_02.06.36.571-02.06.37.831 	the one ball rolls in, while others scatter about the table.
0033_Amadeus_01.02.13.986-01.02.14.561 	more pages fall than he can read, scattering across the floor in a white cascade, as he circles the room.
0046_Chasing_Amy_00.08.16.416-00.08.19.702 	the crowd screams and starts to scatter, hooper jumps over the table and raises his fists in the air.
0049_Hannah_and_her_sisters_00.35.49.229-00.35.50.209 	papers are scattered on the floor.
0049_Hannah_and_her_sisters_01.35.46.619-01.35.49.107 	next, the film cuts to an almost isolated path in central park, complete, with old-fashioned streetlamps and scattered leaves.
1001_Flight_00.14.30.794-00.14.33.889 	she flings her bag on a table, and it hits a box which falls and scatters its contents.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.59.27.776-01.59.31.623 	dark clouds scattered behind them, spray and spume washed over them.
1005_Signs_00.20.56.138-00.21.00.643 	17 circles are scattered across a map of india.
1009_Spider-Man3_00.00.46.547-00.00.50.979 	a spinning war vortex of blue light becomes a silver blue spider's web which scatters the words the opening credits.
1009_Spider-Man3_00.45.03.497-00.45.09.296 	as pedestrians scatter, one of the cops stops along the side of the lorry with his gun drawn.
1009_Spider-Man3_01.37.55.799-01.38.02.233 	grabbing a martini from a customer, peter swings across the room on a chandelier, puts his legs around the chair, and slides back across the dance floor, scattering customers.
1011_The_Help_01.18.48.566-01.18.50.740 	toilets are scattered on the yard.
