0011_Gandhi_02.07.37.896-02.07.39.948 	some of the newspaper cameramen trot behind to get the picture of gandhi's arrest.
0016_O_Brother_Where_Art_Thou_00.21.17.261-00.21.21.960 	he grabs his battered guitar case as the car pulls over and trots up to the open window.
0016_O_Brother_Where_Art_Thou_01.33.06.994-01.33.15.171 	a crowd carrying torches jogs behind a man in clanking leg irons and wrist manacles who is being escorted by four policemen trotting alongside, their nightsticks held across their chests in riot-ready formation.
0020_Raising_Arizona_00.23.10.136-00.23.11.399 	the two men are trotting out to a mercury that sits untended at a gas island, a gas hose on automatic stuck in its tank.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.12.32.303-00.12.35.107 	bilbo hangs up gandalf's hat on a peg and trots off down the hall.
0027_The_Big_Lebowski_00.38.34.947-00.38.36.834 	donny is trotting excitedly up.
0043_Thelma_and_Luise_00.03.48.957-00.03.50.423 	darryl comes trotting down the stairs.
0043_Thelma_and_Luise_01.40.04.151-01.40.07.590 	she gets out and trots around to the back of the car.
0050_Indiana_Jones_and_the_last_crusade_00.05.03.400-00.05.08.598 	indy puts two fingers in his mouth and whistles for his horse, who trots over.
0053_Rendezvous_mit_Joe_Black_00.03.42.761-00.03.49.858 	parrish, groomed for the day, trots down the stairs, observing the activity outside through the windows.
1001_Flight_00.04.25.709-00.04.30.804 	he trots to the mobile stairway leading to the passenger walkway and slips on the first step.
1012_Unbreakable_00.17.59.176-00.18.03.306 	he tosses the ball to another player and trots back again.
1017_Bad_Santa_00.06.04.398-00.06.08.298 	he crashes into a display at the bottom and trots up to run through the shop.
1029_Pride_And_Prejudice_Disk_One_00.38.33.094-00.38.36.761 	she trots over the field towards netherfield hall, standing proudly in the distance.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.14.59.500-01.15.02.129 	the gypsies stare after him as he trots by.
1044_Pride_And_Prejudice_Disk_Two_02.09.08.658-02.09.15.235 	now, he's on horseback, trotting through a shady avenue of trees, on his way to longbourn.
1046_Australia_00.40.58.795-00.41.08.414 	she trots off in a huff as they start to ride around the cattle, moving them in to a single herd.
1048_Gran_Torino_01.20.19.095-01.20.24.737 	as he trots along, he sees spider's honda coming the other way.
1049_Harry_Potter_and_the_chamber_of_secrets_01.17.27.000-01.17.28.969 	high-stepping white horses trot out of the snow-covered forest, drawing handsome sleighs full of students well-wrapped against the cold.
1055_Marley_and_me_00.50.25.033-00.50.39.132 	he then trots back into the bedroom and settles himself on his bed, enjoying a scratch before lying down.
1055_Marley_and_me_01.28.27.968-01.28.32.291 	the windy dog gets up and trots out.
