0003_CASABLANCA_01.26.19.976-01.26.21.012 	rick sees carl attending to laszlo, who appears to be injured.
0019_Pulp_Fiction_00.50.39.154-00.50.40.750 	mia moves away to attend to both.
0033_Amadeus_00.22.27.370-00.22.28.257 	a group of people who have attended the concert, among them constanze, are standing outside the private apartment.
0033_Amadeus_02.43.38.842-02.43.40.655 	postillions attend to the horses.
0049_Hannah_and_her_sisters_00.03.56.836-00.03.58.959 	hannah walks past holly to attend to some food on a different stove.
1008_Spider-Man2_02.06.29.454-02.06.36.905 	in a dressing room, mrs. watson, in a mauve satin outfit with a wide-brimmed hat, is attending a stony-faced mj, who's wearing a white off-the-shoulder dress with short layered sleeves.
1015_27_Dresses_00.38.08.806-00.38.10.885 	attending a leather and bondage wedding, jane, sporting a spiked leather collar, tries to appear in party mood.
1018_Body_Of_Lies_00.37.36.293-00.37.38.683 	a doctor attends to him.
1029_Pride_And_Prejudice_Disk_One_00.05.19.771-00.05.23.669 	a maid rushes to attend mrs. bennet.
1038_The_Great_Gatsby_01.28.03.306-01.28.04.468 	servants attend to them.
1047_Defiance_01.57.00.618-01.57.01.732 	riva, the nurse, stops to attend him.
1062_Day_the_Earth_stood_still_00.27.25.645-00.27.31.888 	the patient lies under a protective tent attended by a technician.
1062_Day_the_Earth_stood_still_00.43.33.638-00.43.40.000 	a security guard chases the thief as his colleague attends the fallen man.
