0001_American_Beauty_00.09.53.401-00.09.54.138 	CLOSE on the face of RICKY FITTS, illuminated by the screen of his DIGICAM as he videotapes.
0001_American_Beauty_00.09.53.401-00.09.54.138 	CLOSE on the face of RICKY FITTS, illuminated by the screen of his DIGICAM as he videotapes.
0005_Chinatown_01.14.50.243-01.14.56.887 	Evelyn's car pulls up before the elegant Spanish rest home, its entryway illuminated by streetlights.
0008_Fargo_00.25.39.207-00.25.40.324 	A sweep of headlights illuminates a sign on the pedestal:
0013_Halloween_00.37.01.026-00.37.03.317 	Brackett's flashlight comes on, illuminating the two men.
0013_Halloween_01.00.42.083-01.00.43.947 	As it gets closer, we see that Laurie is carrying a Jack-O-Lantern, with a candle illuminating from the center of the pumpkin.
0013_Halloween_01.02.36.254-01.02.38.602 	The only light is a candle illuminating the sheets as they move slowly up and down and from side to side.
0017_Pianist_00.54.12.244-00.54.15.031 	Thin slivers of light illuminate the two men on their backs in the cramped space.
0020_Raising_Arizona_00.05.38.155-00.05.39.281 	Eyes closed, he is illuminated by a flash.
0021_Rear_Window_00.49.38.603-00.49.39.803 	The flame of the match illuminates his face for a moment.
0033_Amadeus_00.00.21.838-00.00.23.541 	A faint light illuminates the screen.
0049_Hannah_and_her_sisters_00.35.46.218-00.35.48.311 	Mickey is back in the present in his darkened living room, illuminated by a glow from a window behind the couch.
0049_Hannah_and_her_sisters_01.15.31.408-01.15.33.658 	Mickey opens the door, the light from a hallway illuminating him.
0050_Indiana_Jones_and_the_last_crusade_00.10.20.134-00.10.21.379 	The page shows a beautifully illuminated picture of what might be a stained-glass window.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.24.01.726-00.24.06.611 	The train steams across vast, brown landscape, illuminated by the evening sun.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.00.54.930-02.01.10.824 	Dumbledore sends a ball of light across the lake, it rises and falls over the surface of the water then flares up illuminating a tiny island in the distance.
1004_Juno_01.17.06.670-01.17.16.515 	Juno parks the Previa in the street outside the family's wooden slatted house, where the porch light illuminates a straw heart hanging on the door knocker.
1005_Signs_00.35.51.137-00.35.56.573 	The white torch light angled low illuminates the limp straggly green leaves, which bend back as he pushes through them.
1005_Signs_00.38.08.462-00.38.09.333 	And the beam returns, briefly illuminating his face.
1005_Signs_01.15.26.640-01.15.32.820 	Two China dogs sitting on it, one on each side, illuminated by the dim glow of two wall lamps above them.
1005_Signs_01.20.17.190-01.20.28.620 	Merrill finds another flashlight and directs its beam around the walls of the basement, illuminating old wooden shelves, supporting neatly-arranged pickling jars, bowls, ski boots, roller skates, and disordered clatter.
1005_Signs_01.23.16.222-01.23.26.304 	The beam illuminates his brother, sitting on the floor, leaning against a pillar.
1006_Slumdog_Millionaire_01.29.34.626-01.29.37.276 	Lights come on and illuminate the host's false smile.
1007_Spider-Man1_00.48.38.818-00.48.40.408 	a police's spotlight illuminates a second floor window through which the thief has fallen.
1007_Spider-Man1_01.19.16.804-01.19.19.154 	lighting illuminates the buildings around them.
1008_Spider-Man2_01.08.28.764-01.08.32.811 	big flashes illuminate the darkness.
1008_Spider-Man2_01.53.50.464-01.53.52.773 	the tritium glows brightly, illuminating the way for spider -man to creep across a beam.
