0006_Clerks_00.45.37.193-00.45.38.860 	the woman backs up and, shielding her eyes, looks toward the roof.
0008_Fargo_01.28.59.548-01.29.00.736 	marge twists her body sideways, shielding herself.
0011_Gandhi_00.33.51.586-00.33.54.895 	and the miners begin to go down, some face up, shielding their faces with their hands, some burying their faces in the earth and covering their heads with their hands.
0013_Halloween_01.25.29.390-01.25.32.921 	laurie bends down and shields them from the sight of the shape.
0016_O_Brother_Where_Art_Thou_01.27.33.084-01.27.36.078 	shielding himself with one arm, he bellows into the mike.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.57.13.707-01.57.17.052 	legolas fires deadly arrows into goblin throats, desperately trying to shield the hobbits!
0032_The_Princess_Bride_00.41.07.336-00.41.09.002 	the giant trees, thick and black-green, look ominous as hell and they shield all but intermittent stripes of sun.
0041_The_Sixth_Sense_00.28.08.165-00.28.10.303 	malcolm demonstrates by holding up his arm to shield his face.
0050_Indiana_Jones_and_the_last_crusade_01.01.38.303-01.01.42.002 	the radiomen move cautiously toward the flame, shielding their faces with one hand, holding their guns with the other.
0051_Men_in_black_01.12.39.131-01.12.39.793 	jay leaps back and draws the noisy cricket, kay pulls out his series four deatomizer, and edgar holds his shotgun under laurel's chin, using her body to shield his own.
1003_How_to_Lose_Friends_and_Alienate_People_00.34.42.473-00.34.55.731 	sidney shields his eyes from glare of the flashing cameras puts a coat over sophie's shoulders.
1003_How_to_Lose_Friends_and_Alienate_People_01.38.58.188-01.39.00.334 	vincent shields his eyes from the light.
1005_Signs_00.36.17.490-00.36.28.416 	he then lowers the flashlight to his side and begins to pick his way through the crop, one arm raised to shield his face from the leaves.
1005_Signs_01.19.58.764-01.20.01.609 	he shields his eyes from the bright torch beam.
1009_Spider-Man3_00.20.57.565-00.20.59.449 	harry flies through the explosion, shielding his eyes.
1009_Spider-Man3_00.23.52.664-00.23.57.470 	the air is thick with sand as he gets to his feet, trying to shield his face.
1009_Spider-Man3_02.05.42.817-02.05.47.835 	peter puts a hand to his face to shield it from the blast.
1011_The_Help_01.11.08.719-01.11.10.663 	theatrically shielding her eyes from the sun, she waits for aibileen's reply.
1014_2012_00.59.41.757-00.59.44.005 	kate and gordon shield their eyes.
1024_Identity_Thief_01.17.29.332-01.17.31.565 	she faces the man, shielding her mouth with her hand.
1029_Pride_And_Prejudice_Disk_One_02.28.40.219-02.28.45.205 	she takes her time staring up into the branches that shield her from the glare of the sun.
1030_Public_Enemies_01.16.13.781-01.16.16.448 	the gangsters shield themselves with the hostages as they exit the bank.
1030_Public_Enemies_01.29.21.279-01.29.24.946 	winstead's shots clobber the trunk shielding dillinger, who calmly reloads.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.00.04.000-00.00.06.602 	on a page of parchment, the warner brothers shield.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.08.23.936-00.08.29.345 	irene adler is led to a table in the center of the restaurant and sits by a curtain, shielding her from a nearby table.
1051_Harry_Potter_and_the_goblet_of_fire_01.02.21.844-01.02.26.446 	hagrid shields his eyes as he looks up into the empty sky.
1052_Harry_Potter_and_the_order_of_phoenix_01.59.28.941-01.59.30.864 	hovered against the wall, harry shields his face from the heat.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.10.39.179-01.10.45.400 	a powerful silver mist flows from harry's wand, shielding him from the terrifying power of the threatening dementor.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.14.18.285-01.14.21.207 	an old man in a portrait shields his eyes from harry's brightly lit wand.
1056_Rambo_01.01.02.432-01.01.09.433 	they raise their rifles and rambo leaps onto sarah to shield her.
1062_Day_the_Earth_stood_still_00.21.33.714-00.21.37.145 	the power is so intense helen has to look away and raises an arm to shield her eyes.
2012_Unbreakable_01.24.10.391-01.24.12.016 	as david gets closer, he shields his face from the strong smell.
2026_Legion_00.57.59.355-00.58.04.409 	just at the moment percy spins around her, shielding her from the spray, which hits him in the back.
