0021_Rear_Window_00.43.54.757-00.43.55.257 	it takes the form of a piece of mahogany through which a simple hole has been carved.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.52.07.586-00.52.14.680 	sam indicates a brooding stranger who sits alone at a table in the far corner, smoking a curiously carved long stemmed pipe, peering from beneath a travel stained cowl with gleaming eyes.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.13.51.397-01.13.56.836 	frodo's eyes flicker open he is lying in bed next to an open window.dappled sunlight plays on richly carved timbers.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.18.58.273-02.18.59.359 	upon a low stone pedestal, carved like a branching tree, sits a shallow silver basin.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.34.01.849-00.34.07.086 	between the pillars stand a silent company of tall kings carved in cold stone.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.56.11.227-00.56.16.648 	frodo and sam following gollum up the dizzying stairway, carved into the sheer cliff.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.24.29.057-01.24.33.926 	signs and figures are carved above its wide arch.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.47.33.152-01.47.37.990 	upon each tomb lies a sleeping form, carved in stone, hands folded.
0050_Indiana_Jones_and_the_last_crusade_00.30.47.905-00.30.51.974 	indy and elsa inspect markings carved onto the walls.
0050_Indiana_Jones_and_the_last_crusade_00.32.15.358-00.32.18.829 	more skeletons surround him, resting in their carved niches.
0050_Indiana_Jones_and_the_last_crusade_00.34.11.545-00.34.16.610 	indy and elsa begin to inspect the ornately carved coffins like the scholars of antiquity that they are.
0050_Indiana_Jones_and_the_last_crusade_01.39.53.929-01.39.56.849 	its spectacular grecian facade is carved directly into the rock.
0053_Rendezvous_mit_Joe_Black_00.26.15.858-00.26.20.178 	a beautiful, classic room, areas of dim, warm light, club chairs, books reaching to the ceiling, a rolling library ladder, a weathered dictionary on a stand, a model boat carved of bone set into the stacks which are separated from the reading area by a seven-foot high partition of obscured glass.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.01.50.441-02.01.52.474 	the carved prow of a small boat rises in front of them.
1007_Spider-Man1_01.28.29.132-01.28.30.796 	norman is holding the carving knife, blade pointing at peter.
1010_TITANIC_00.57.09.123-00.57.25.488 	jack glances up at the skylight and walks down the staircase to the landing where he studies a wall clock with an elaborately carved wooden casing.
1010_TITANIC_02.35.06.363-02.35.09.017 	the ornately carved wall clock at the top of the staircase sinks beneath the churning water.
1014_2012_00.50.54.541-00.51.01.141 	jackson gawps as the plane clears the city which has been carved in two by the gigantic fissure.
1017_Bad_Santa_01.13.30.602-01.13.34.269 	he hands willie a roughly carved bit of wood with a ribbon round it.
1049_Harry_Potter_and_the_chamber_of_secrets_02.04.25.385-02.04.30.858 	ahead of him runs a wide paved path lined on either side by huge carved snake heads.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.26.23.211-01.26.26.806 	carved on the slab, is a triangle containing a circle, with a vertical line through it.
1053_Harry_Potter_and_the_philosophers_stone_00.53.58.000-00.54.24.249 	the graceful birds swoop amongst the carved oak beams and fly from one end of the great hall to the other, delivering letters and parcels to their delighted owners.
1053_Harry_Potter_and_the_philosophers_stone_01.32.06.545-01.32.13.545 	through a stone arch, he glimpses a large mirror and a carved frame that goes down a few steps into the room beyond.
1053_Harry_Potter_and_the_philosophers_stone_01.32.19.545-01.32.32.708 	he stops in front of it, and tries to read the writing carved around the wooden frame.
