0005_Chinatown_01.39.33.471-01.39.35.198 	Ice cream has melted around her.
0021_Rear_Window_00.31.15.264-00.31.21.730 	The pleasantness on Jeff's face slowly melts into baffled discouragement.
0041_The_Sixth_Sense_01.23.23.395-01.23.34.561 	The father gazes at Cole as he melts into the crowd.
0053_Rendezvous_mit_Joe_Black_01.05.19.837-01.05.31.906 	She does, her pained grimace melts into a peaceful smile.
1009_Spider-Man3_00.43.01.608-00.43.04.857 	mary jane's glum expression melts away.
1009_Spider-Man3_01.17.05.367-01.17.16.488 	he spoons chopped peppers into one pan, melts butter in another, and turns up the music with a remote.
1019_Confessions_Of_A_Shopaholic_00.58.24.027-00.58.28.714 	using two hair dryers, she melts it down, and eureka!
2012_Unbreakable_00.38.37.519-00.38.44.087 	elijah watches the green army jacket melt into the thick part of the crowd and disappear as it moves away from the stadium.
2012_Unbreakable_00.38.37.519-00.38.44.087 	elijah watches the green army jacket melt into the thick part of the crowd and disappear as it moves away from the stadium.
2027_Les_Miserables_01.34.32.105-01.34.32.785 	joly starts to melt the tankards in a pot to make more bullets.
2040_The_Ugly_Truth_00.19.54.328-00.19.58.014 	after a moment of resistance, she melts into his arms.
