0006_Clerks_00.58.26.393-00.58.29.671 	a suited man carrying a notebook comes to the counter.
0006_Clerks_00.58.50.341-00.59.00.370 	the suited man scribbles in his notebook.
0006_Clerks_00.59.52.956-00.59.55.156 	the suited man rips a piece of paper out of his notebook and hands it to dante.
0006_Clerks_01.00.54.175-01.00.58.110 	the suited man exits, with dante trying to follow.
0029_The_Graduate_00.23.46.417-00.24.14.488 	looking down on the pool, on ben's black suited body at the bottom and the people standing around the pool, looking down into it.
1003_How_to_Lose_Friends_and_Alienate_People_00.20.17.677-00.20.22.324 	doc suited lawrence leads him into a private office.
1008_Spider-Man2_00.26.38.197-00.26.49.687 	as crowds walk into the foyer, and tickets are checked and stubs torn off, mj is suiting with a fellow actress in makeup.
1008_Spider-Man2_00.32.49.316-00.32.53.781 	the doors open and the man is about to enter when he pauses, seeing a fully suited spider-man standing casually inside.
1009_Spider-Man3_01.41.18.956-01.41.35.717 	perch tie up on the studded side of the steeple, black- suited spider-man looks at his hand, flexes his fist, then drops from his perch like a bird shot from a tree.
1018_Body_Of_Lies_00.45.08.526-00.45.16.750 	on a vast expanse of brown earth, a suited man stands beside a kneeling figure, whose head is covered with a black hood.
1038_The_Great_Gatsby_00.13.03.647-00.13.06.157 	the suited man stands at the end of the dock by railings.
1042_Up_In_The_Air_01.30.39.215-01.30.47.639 	smartly suited, ryan puts his backpack on a table and steps up to a lectern.
1042_Up_In_The_Air_01.43.12.385-01.43.22.545 	smartly suited and pulling his wheelie case along behind him, he walks up to the arrival/departure board.
1043_Vantage_Point_00.43.30.556-00.43.35.799 	another dark suited man climbs into the president's car.
1057_Seven_pounds_00.14.22.096-00.14.24.836 	a suited man sits on the edge of inez's bed.
1062_Day_the_Earth_stood_still_00.42.07.061-00.42.10.304 	the suited fugitive arrives on a railway station platform.
1062_Day_the_Earth_stood_still_01.09.59.924-01.10.07.887 	the suited agent steps into the operations room separated from a circular chamber by thick windows.
