0001_American_Beauty_00.02.33.684-00.02.36.910 	A MAN in a conservative suit (JIM #1) chastises the barking dog.
0001_American_Beauty_00.02.33.684-00.02.36.910 	A MAN in a conservative suit (JIM #1) chastises the barking dog.
0002_As_Good_As_It_Gets_00.11.39.328-00.11.40.623 	She barks a mirthless though hearty laugh.
0002_As_Good_As_It_Gets_00.17.16.131-00.17.17.996 	She barks a laugh to cover her embarrassment but speaks the truth.
0020_Raising_Arizona_00.49.23.392-00.49.23.979 	Beyond her we can see the pack of furiously barking dogs, nipping at her heels.
0031_The_Lost_Weekend_01.26.13.727-01.26.15.519 	Sophie, standing beside her, is barking wildly.
0031_The_Lost_Weekend_01.26.13.994-01.26.15.591 	From downstairs comes the barking of Mrs. Deveridge's dog.
0033_Amadeus_01.13.16.802-01.13.18.558 	Hysterical barking and howling.
0033_Amadeus_01.13.20.543-01.13.21.877 	Bluff, friendly and coarse-looking, he stands in his hall amidst the leaping and barking animals, greeting Mozart.
0051_Men_in_black_00.07.57.407-00.08.03.279 	Kay barks a few orders to them.
1005_Signs_00.34.45.500-00.34.52.167 	Agitated, Isabel shifts and jumps about, pulling at the chain, and barking into the quivering field of maize.
1005_Signs_01.15.20.640-01.15.26.307 	They all stare in the direction of the barking beyond the wooden mantle piece which stands at the far end of the room.
1026_Legion_00.02.15.831-00.02.19.091 	he holds out a broad-bladed dagger and points it in the direction of the dog which barks from behind the wire fence.
1057_Seven_pounds_00.07.24.971-00.07.29.068 	a black and white great dane stands barking at him in the garden.
2005_Signs_00.04.57.682-00.05.00.133 	the dogs keep running and barking as we pull back and reveal .
1057_Seven_pounds_00.07.24.971-00.07.29.068 	a black and white great dane stands barking at him in the garden.
2005_Signs_00.04.57.682-00.05.00.133 	the dogs keep running and barking as we pull back and reveal .
